,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.018417504789903755,,,,,,,-0.03948134648083423,,,,
BMP1,-0.022862378435849453,0.07909569295911877,0.014074647770112124,0.013531039053461948,0.03434151505731378,-0.08339723512015979,0.07398301318142077,0.055793516315623126,0.007020714477828726,-0.041048901878037114,0.040972262891517675,-0.019295116217206993,-0.005284175905679233,0.06959325569267248,0.035391227209074755,-0.050850928419251436,-0.06847719073929386,0.0800799786837842,0.09732365721495534
NDP,0.06248208524849214,-0.010210610021118708,-0.015268592314766165,0.00023551154436021068,0.05158967127099192,-0.024574887362250844,7.954252711230043e-05,-0.016367158427010704,0.09777486191913891,0.03690180148391877,0.04247845360172657,-0.09179701639513677,0.09286558137110544,0.0844976477906071,-0.05149228544492184,0.014598312766074843,0.008755708981596146,-0.04061486564316362,0.01021863332813055
TNFSF18,-0.0006900506406745946,-0.023606099074840334,-0.013976581415845407,0.00016683620847452834,,,0.058402538496733665,-0.027349441704361908,0.05984634835601471,,,,-0.0032894846307608347,,0.000244183820947708,,0.07171551389864769,-0.03090682490281555,
IL36G,,,,,,,,,,,,-0.02325342488313876,,,,,,,
RTN4,0.06934185803779266,0.11214417212280808,0.014428708668196727,-0.05589368726183861,-0.036503664517499486,0.06657288844067029,-0.00978627663383602,-0.05331394688770352,-0.009271905499310236,-0.02598991620255852,-0.012470737388692492,0.09420090572342157,0.05739368374814038,-0.07459767696946594,-0.02109682358246855,0.04934974237545199,0.07909702112130382,0.055468189768010885,0.06361297804379747
HEBP1,0.007856212037703102,0.02077946712012694,-0.022650626118816092,0.006273142074633628,-0.007382682680208768,0.004170315610009197,0.01748581084908123,0.045233012078881446,0.0529165172604649,0.039856917553466355,0.011716103043658712,-0.01978991005015331,0.04630854998454567,0.05454780803445875,-0.008747599948908967,0.011401615042379092,0.03356593622222743,-0.03648248805141643,0.0734682710304715
WNT7B,0.044069591417610056,0.08008293071365767,0.06215633181132327,0.06348654789501015,0.030247739294115256,0.04479022934605973,0.022754299280121102,-0.025340526116832754,-0.005318817391439818,-0.022887195961751747,,-0.012322650222774827,,0.008327197290947276,0.0027749478826069656,0.053046451101744205,-0.0364267051345582,-0.0069256591670295515,-0.03991737196428745
PTMA,-0.030445144405606753,-0.009734709952466955,0.027769125894672723,-0.009986907987261893,0.009701552405771599,-0.017795506854213976,0.03825749855809737,-0.02156488717001104,0.04746238863490321,0.029264601946538633,-0.009479235004318994,-0.10648633270037927,-0.04085965861203086,-0.1124178908327496,0.004115443768554514,-0.04422361323231164,0.12736749425655539,0.037960770370426174,0.08165543576781799
FASLG,-0.04652335133708143,,,,,,,,,,,,,,,,,,
CEACAM1,0.02232411100538408,,-0.03461799059518066,-0.02316889641613598,0.0226549822183849,-0.017345625402175595,,0.06343724978416501,0.001796027909935502,,,,0.0012426869661161175,0.1302077025211236,-0.04661676076315547,0.04154287717243312,,,
PDAP1,0.08185862773655492,-0.06671074140325146,0.005530352586094995,-0.02753015870589754,0.031732638128071367,0.005963486365033953,0.03075898941929789,0.010769852218294537,0.0545482458207672,0.0400102103267689,0.029997781795474725,-0.031130179935222053,-0.025363181907584468,0.038724240387344046,0.03409495389165705,0.016455036423743127,-0.003327813164887054,0.07310685473728273,0.044277097819570156
QDPR,-0.036104182555486176,0.004548572404162412,0.04021272471183564,0.02144320832279634,-0.0020893708701039374,0.0872894233772164,-0.027436703160889447,-0.01741309943094868,-0.012277526002734743,0.014593676319338252,-0.0014552396521890672,0.021710089437573642,0.039748391266780966,-0.09042352270152236,-0.040495751909391114,-0.05546726248128387,0.057833669302780236,0.00024289685361862784,0.043513318073402585
POMC,0.01321863684481196,0.007962144482186602,0.0018583412904185428,-0.03268131631898801,0.038053896368342485,0.14415706559247315,0.010668267020074795,-0.01970316932647591,-0.017036460940691438,0.017460197300557492,-0.04696972664492591,-0.003983472893693601,0.11978952791082154,0.01976842789458593,-0.02289835624524859,0.04693926166017589,,0.019137648663818837,-0.0468128834750162
CCL18,,-0.03165771985259959,-0.04319998141562156,,,,,,,,0.04375870680393955,,,-0.04041812196885709,,-0.015328953737622046,,,
CCL17,,,,,0.019197770950794762,,,,-0.018311988769447476,0.024256358071336147,,-0.02124266379525586,,,-0.0037237404728111675,,,,
VEGFD,,-0.0013024412077197098,0.05903410124818117,-0.034298285857812874,-0.03855881697894744,-0.01659531230743261,,0.019324035976065246,-0.019509875184526584,-0.035118215962287806,-0.024001515266478774,-0.022766420745555124,0.06592249306464959,,-0.06030878108526507,,,,
TNFSF13,,,0.0328097187558944,,0.05577310233497938,,-0.01725479666759646,,,,,,,,0.03629586389604558,-0.015179423569579693,,-0.01795127514410129,
