,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.012171246892528954,,,,,,,,,0.020938461578178087,,,-0.03307885167684854,,
BMP1,-0.06694304810440693,-0.03313710355169778,-0.022633698387095332,0.0056230937594668965,-0.016366065634264237,-0.020887692543134787,-0.0010796542564614677,0.05531243901090867,0.06632398938159727,0.018198523658723792,0.03813679013307247,0.08966434820367464,0.13732425197436643,0.07562802682345283,0.020009264862939424,0.08654595577928996,0.018429777651787126,-0.05658865381394773,0.097736508990787,0.02596908597633828,-0.05829611709793755,-0.037815527258080475,-0.028076294232062267
NDP,0.030017156781983263,0.05709483666750197,-0.023541399808448108,-0.0034213195556294512,-0.036297004157144805,0.02335545190414675,-0.02202959542361801,-0.03432361167428151,0.10695829148571538,0.009090554036228049,0.04509197997157562,0.18448486134501563,0.047878897294881886,0.00532741212823581,-0.06331854715435987,0.07586940664230558,0.04797364048544636,-0.09233733968550983,-0.05657992123614093,-0.0440317047101946,0.01786295830757399,0.04555011186459214,0.1600847347976112
TNFSF18,0.07215218264538574,-0.007462554946555418,0.02403394923764432,0.020526298351964192,,,,0.031181353277349676,-0.043115223234544184,-0.03398045746973625,,,,-0.09130313956027121,,,,-0.03964186989247946,,-0.07257617168556721,-0.055798108887211,-0.04224773715203446,
IL36G,,,,,,,,,,,,,0.04619422389652212,,,,,,,,,,
RTN4,0.17553408508421886,-0.08569313516273873,-0.029256240146105374,-0.014365812300965067,-0.02528187091247412,0.01600804715365936,-0.0012916393541333939,-0.1635088812852685,-0.05795880220580947,-0.030792094239475418,-0.09209416842061718,-0.24545957102405974,-0.049642417388092906,0.16494686574791576,0.13477205819108606,0.036995853193125344,-0.02476515102227943,0.14269570582039334,-0.013920872806789282,0.06421511594782926,0.01200813188559799,0.06305574689960478,0.045538151915977224
HEBP1,0.05963686334095537,-0.07687761430047443,0.03474388216975771,0.03827009295461493,0.004840189957939872,-0.01132919541937472,-0.04367178694078785,0.03074627822570204,0.04398070412535003,0.030786713421922515,0.04061192991152237,0.18231129962077408,0.047190746946881086,0.08466391715666263,0.03363590212290558,0.07465245903987112,0.04516625238865593,0.03890870608579576,0.01721214529637395,0.09862233088613703,0.05558891886160946,0.025670943217298504,0.010837127063960051
WNT7B,0.08207102518418151,0.013817274000614034,-0.023051531224794287,0.011908734353525838,-0.0505304494185466,0.055960521730621444,-0.035512312552513435,0.01043769027171131,-0.14205989457076287,-0.08439762206720756,-0.03941791967006858,,0.00791823608897093,-0.046809567471460554,-0.011156924464285307,-0.008386446728011053,0.026844784154444738,0.056658801475531005,0.02551058558620329,-0.04092921864993305,0.1130178154398238,-0.011696399637381177,0.06980976438273258
PTMA,0.15206917943050363,0.0283010071911629,-0.022233977379917436,0.07634869441916527,-0.1531849917287954,0.015836686574754805,-0.06177625051307791,0.18796071994639726,0.20816981034563015,-0.022603917553180294,0.1185851031051382,0.4549243860552308,0.20243156101358553,0.05147555901694194,0.20019635263248686,-0.11715080472391391,0.0048629259791057285,0.2554714464708309,0.018049128743751745,0.1390674452013809,-0.06874595404755261,0.03129983887840289,0.21508404648975712
FASLG,0.03561053379849439,,,,,,,,,,,,,,,,,,,,-0.028689276774317422,,
