,UKF248,UKF259,UKF269,ZH8811Abulk
IGFL3,,,-0.013231782459339776,
BMP1,-0.008671254578527698,0.004653978293984204,0.06326743616177431,0.0745792073606639
NDP,0.0053768741987784505,0.006405517006778215,0.00804252849865845,-0.009812997783613327
TNFSF18,0.0043224403273580195,,-0.01964879972312486,
RTN4,-0.0203713423184985,-0.006334098716750294,-0.09739436224506734,-0.07816818987059028
HEBP1,0.03276644459292513,0.020437182437935242,0.017693790363331702,0.011406380609689367
WNT7B,0.06709576702922104,-0.004505452424708056,-0.025948886826903664,-0.03299707118919353
PTMA,0.04222796419071374,0.0018549929292728032,-0.05826560378406181,-0.02673733785535528
CEACAM1,-0.01580393568753256,0.02647058281440087,0.09619691243746492,-0.018489886464457306
PDAP1,0.04007238190919051,0.004532615499187441,0.11354698508539948,0.0043880589197932696
QDPR,0.03933012421152176,0.0002962568117695762,-0.09084762044953995,-0.0334121741535773
POMC,-0.01673347730747629,-0.018204348391042287,-0.022036030868653248,0.04086173595369261
CCL18,0.01448720096945855,,,0.0601056223446925
CCL17,,-0.006945921749027748,,0.18656085949000248
VEGFD,0.015707312305087016,-0.012047104088618456,0.05006591705875645,
TNFSF13,-0.01488272184950288,-0.01925820293339543,,-0.008044968901062191
WNT5A,0.0013460659913631418,-0.005211578781290724,0.018781509478216298,0.047795142014402
CXCL8,-0.05561809593837265,0.01065219969378332,0.013197434414947452,0.031436294514585995
GRN,-0.014040860332917657,0.05322552494903419,0.043985082303771704,0.013913954946670665
MIA,-0.039292679281232826,-0.038113657476770514,0.022838552815175068,0.0638151704715113
COL4A4,-0.023685743805620017,-0.016896608196093604,-0.013038939482414861,0.01593713855345617
TAC1,-0.021628754376373717,-0.02003597067053198,-0.04933345146356297,
RARRES2,0.03753172247780105,0.06127735215475148,0.10983549102606868,0.09425901702358226
FGF7,,0.04298993807046779,0.08811487068373985,-0.016851312559399888
HBEGF,0.01496578139516424,0.043709006744555204,0.018199864586775135,0.008863991561493888
CSF3,,0.0009633520541272664,-0.013794947003974442,0.09128680660149363
PI3,-0.020748184587981264,-0.04163843327778447,-0.015533292400067922,0.02262474437688048
PCSK1N,0.040526657833545074,0.009393382978218581,0.018910082349478583,0.018633581355596576
NTS,,,0.07340648763860698,-0.030602180798750676
SFRP1,-0.011774873668903627,0.06146147975809219,-0.008355058636328115,0.04874861592269875
CXCL13,,,,0.08042758787184892
MICA,-0.007348620995150877,0.01951785555212754,0.06859850400061217,0.005327963683390316
TG,0.029189265414244894,0.017019676570994062,0.1212491844564544,-0.017430116462110297
ADA,0.0307968306693606,-0.019558981794111894,0.055053953129634334,-0.027435052412154225
LAMC3,-0.016940909060000314,0.04797095679294343,0.02458448295876877,0.05663616892281709
CCL7,-0.012544742632953531,-0.01900701344791346,,0.13842510512870979
NGF,-0.021538700140325016,-0.009154073850101072,,-0.02270616260404694
TNFSF15,,0.03242033703267967,,-0.019166660834635203
HMGB1,-0.01194927847060243,-0.03549015663434622,0.09275249840391092,-0.08058060133091538
ITGB3BP,0.050117695596009135,-0.032152093228264095,0.08079271901681065,-0.021822437364474048
AANAT,0.0010856286214331772,-0.019258204988786772,0.049118754464410205,-0.01724769893434453
RELN,-0.012058078124021272,0.06351638541500715,-0.03651288536864908,
IL15,-0.01950558128461326,0.013928222938546661,-0.03245749830367109,-0.002878617357135536
UTS2,,,0.05884162697881171,-0.014687677960083105
BSG,0.026945779507778603,0.004752114081615366,-0.00669358539696016,0.1081344861703705
ADAMTS3,0.013926674467436865,0.0731699131310979,0.0895773671844436,-0.015465964185678825
CD34,-0.004538176935934158,0.019913712510441904,0.0800999911482927,-0.025710807016967548
CCL23,,,-0.014158631594259584,
PLAT,0.0012813073848111597,0.052016573182710364,0.08661952493541444,-0.027125171838822508
NTF3,,,,-0.03701491395620168
LTA,,-0.012470881723368696,,
CKLF,0.05529452657297322,0.0033310933417033312,0.10416817713953788,0.02074428773776404
CD24,-0.019452951405594734,0.015630968120069356,0.03175644378593632,-0.04211685653734468
HSP90AA1,-0.03297080896411806,0.041520089913812404,-0.07168392517288896,-0.02029057383584112
BMP4,-0.02555512782577062,-0.007735054304770491,-0.0275423261708856,-0.049284184291751465
SCGB3A1,-0.012544741378496026,,,-0.02992392638545591
IGFBP4,0.003804415912080874,-0.019486203105528063,0.048707439879184564,0.08310242602012667
RSPO4,,0.01059680751968475,,
LEFTY2,-0.06394391162038997,0.0011433869668037821,0.10092357652624853,-0.01668943452054375
PF4,-0.013013155454645703,0.09240677531248587,,
ANGPTL2,-0.0253128830351771,0.02303595912725492,0.059122841075555536,0.006166887333435347
LRIG2,0.11296481473088779,-0.003758793334856843,0.03204022295557842,-0.018191023462985813
ICOSLG,0.005776901459892521,0.02011591083515984,0.011192287831387345,0.032999972906376775
WIF1,0.00552022104062516,,-0.04274687486907784,
NPPC,0.100881357149768,-0.025724702177346834,0.09614654037920119,0.0009014690625425671
LYZ,-0.02625553738966853,-0.04390936032350374,0.0870680289055463,0.006598804733326228
EREG,,,,0.15602980510910344
SPTAN1,0.05522771127365407,0.006553675030453676,-0.04567621800138412,-0.03739558982607896
LIPC,-0.01593152271662311,-0.02980132593291188,-0.03254557897523034,
COL8A1,-0.016063907371438042,0.021299307261738922,0.09675706108218284,0.027451228935793163
GSTM2,0.00472536542686224,0.0008522475425557216,0.03905976247818896,0.012403907470583878
SPX,0.11099444001072606,-0.011335707862666583,-0.04364019721204247,-0.019822498696330106
MFGE8,-0.0061504011033441525,-0.01665669970923901,-0.008266266628554241,0.047495914251198444
TGFA,0.033844781138901596,0.07380434008805353,0.048094961673602415,0.046648789268826624
SLIT2,-0.031710177188274145,0.002547470108801282,-0.032222716308587,0.051936358747455884
PLTP,0.007548010573381479,-0.004618068477581112,0.08238386988161142,0.01566043743796781
APOD,0.046631693297337885,0.018662321377323023,0.02902367143904746,-0.00249413583522807
B2M,-0.01192268209606222,0.051962619710154055,0.09112626121835937,0.0607767248435354
OMG,0.0501868855732002,0.035366062680193974,-0.03129923556540356,-0.0012989539423806258
CXCL3,-0.021191134869844988,-0.004663799842087393,-0.0163376097442514,0.03133175554458438
CXCL10,-0.01991988514775592,0.046509346827922765,0.05821636598083845,-0.020301862419565646
RSPO3,0.08220551081983571,0.010349837757912494,-0.020432748080539062,0.0284669955710628
CORT,0.013868580122365045,0.012576339950323754,0.007403677618703277,-0.022418033735464072
NCAN,0.03168731490619227,-0.04306247657103043,0.06439694444913441,-0.05919619727426144
PRG4,-0.018865794757603443,-0.019007016409874358,-0.01770031114736895,-0.02153355443869372
ZG16B,-0.01739577004732238,0.0042616561100614165,-0.019110330310230354,
TGM2,-0.033447189860925625,0.005998579189919431,0.0005366829239586232,0.047722787506627014
VEGFC,0.005348971707456196,0.002180946839364861,-0.023336748919900688,-0.025301776985738204
WNT6,-0.020240664911688102,-0.02628915109272735,-0.01740593825798527,0.033334539343316684
NRG4,0.01791261440486667,-0.023132408463377954,-0.022046860411016472,
PMCH,0.012015084822290169,-0.03205220556677082,,0.06733243993067346
COL9A1,-0.01256285367087282,-0.012390792363432055,-0.018618488956374718,-0.06486584693492567
GDF11,0.005694990943243782,0.0073955176502451285,0.06348672239200764,-0.0014608234420735082
IL24,,,,-0.014899157052479855
SORBS1,0.008130843241521662,0.09779415763805399,-0.046960016533656466,0.02793027791244563
DLL1,0.03274269679210021,0.018195997941923628,0.047696003157872646,-0.008019267510790249
TLN1,-0.00598785532852386,-0.07059138740001725,0.060295801935477844,0.06723027440190549
COL2A1,0.017365461421375128,,-0.01633761530412106,-0.005549467063308816
SHH,,-0.005161273654893602,-0.012843350753110794,0.048646830820737966
PON2,0.021675592561301634,-0.011465746685582222,0.13235269983642012,0.010904324773095666
ICAM5,0.00927488781999657,-0.030783975513465366,0.016251751621702754,-0.029357124192434865
HPX,-0.03134725865921178,0.06924394854733212,0.11371494165288092,-0.03773294038569448
SFRP2,-0.01667826709369396,-0.009170800370272073,-0.013038935642920928,0.006483416237160885
CD70,-0.030470781144144397,-0.01558599391948613,,0.14652203225737173
HP,0.07089538814945164,-0.051647689316140236,0.03924051786915837,0.029045339489201023
CXCL2,0.010564122610933504,0.009314569071154332,0.0008223692137292756,0.07747155117858673
NPPB,-0.016183930516179473,-0.021545434172963736,,0.0069597174829446485
CCK,0.011048800900253161,0.01778692975373687,-0.043153513971912714,0.017121691925631087
SEMA6A,0.021361348538177054,0.013417372196187978,0.06959423623358486,-0.03438180837948679
