,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.07692210265101138,,,,,,,,,,-0.02385785956988565,,-0.013541988810313446,
BMP1,0.11249426791804701,0.08880668811389028,0.01747940682858427,0.005955593741359606,0.041431677460840664,0.024304438855061963,0.09963566148032199,-0.023252839022963375,-0.016908218217953956,0.024495766558215542,-0.02051381131920591,0.02051299768451204,-0.05232493821910684,0.08691220752979478,0.03792590299251681,0.06778130931002009,0.0409218152290552,0.04728320493871029,0.289648157123895,-0.06369398478056201
NDP,0.05004314083036579,-0.05510675598815285,-0.015320538574402267,0.04409052772098509,0.0057252698400261795,0.04189655451943391,0.08769636441508935,-0.01604044773393603,0.023926855629715745,0.04879193419716236,0.09062544245549307,0.0513798125060334,-0.040067307003595606,0.008050311943665494,0.04669959030387953,0.05438678805837156,0.03566217307773547,-0.0534412923847575,-0.020958398121535386,0.004278975969880291
TNFSF18,-0.020160126131739425,0.07980345096398103,0.002721776298958784,,,0.08263249814107808,0.06411710447839769,-0.021599655884800097,,,,,0.07808231613523366,,,,-0.024604189458471613,,0.08013563659940957,0.005058089807124514
IL36G,,,,,,,,,,,,-0.015968595290621702,,,,,,,,
RTN4,0.0790186190649703,0.017123603430763603,-0.04604625582595508,-0.02846045074511228,-0.0591244728748235,-0.041924627390862404,-0.12831059025578392,0.02818538171697561,-0.060006413046021355,0.00678454476789145,-0.05898392160780625,0.08879361335956955,-0.09750625675950211,0.023493247811531656,0.039023961498634414,-0.05015164012700783,-0.017935035249677187,-0.02014716720714506,-0.09110258014425637,0.0006242028776388277
HEBP1,-0.00795318768126205,0.004063048621193505,0.015969904011749164,-0.02672252550358807,-0.061598170627341,0.032847782632416105,0.07026544135669172,0.01942006656482007,0.03599228318224515,0.07041627131137308,-0.08961146041202633,-0.05891982316872782,-0.07861171086421999,0.03059163958045608,0.05056380881453875,0.02644823350899963,-0.025777903513548958,0.07900040883055712,0.045606321227202665,-0.01004228975083959
WNT7B,0.11118793938109818,0.03767864249040415,-0.015248986300786933,-0.0023179770821971056,-0.003513416744483649,0.08461996588139728,-0.019624215067039933,-0.022974948021257723,-0.02291068414608514,,0.0024377526035422765,0.020163767844867557,-0.03532080615657258,-0.03447726716091047,-0.005792972631734451,0.023256920284536086,-0.010138082468465034,0.06710432193879154,0.10254559484787172,-0.00654251341740794
PTMA,-0.08077681717527767,-0.017865938837992736,0.01563274705811749,0.001396252898158487,0.05176905287817384,0.007947064983410699,-0.049307431130223074,0.0504169072291672,0.07138682973206437,0.054362706011198844,0.0963569663729041,-0.08854229569398812,0.12202168025720583,0.06453291654655911,-0.06616813896032345,0.00817157478746649,-0.012610911753139385,0.02696342658339645,0.21790377542547207,-0.021451997064055473
FASLG,,,,,,,,,,,,,,,,,,,0.06254862131627416,
CEACAM1,,-0.027496605212698037,-0.01170267982108685,-0.0414840128109069,0.05570026086583021,,0.07362645951475633,-0.017653153474825194,,,,,,-0.030919765424298664,0.06114925609437842,0.0003118078912719679,-0.03535365153967685,0.041775979568132435,0.0024445655651020464,
PDAP1,-0.0323297452659286,-0.007934306724182749,0.0021909501456986954,-0.016280302554397982,-0.00819624643757438,0.028089141227677483,0.11061209115255821,0.04417637665454028,-0.03995148807987151,0.05307717647593568,0.13457684084045626,-0.012121895504980012,0.013580603821479355,-0.010002269874504071,-0.040633182550687715,0.05424880135718408,0.023742564288108073,-0.03311927025006869,-0.010538854373152535,-0.05342751270943358
QDPR,0.06642446680890728,0.012520191969887401,0.049342212291925036,-0.017039340038393535,0.006758097864173555,-0.0015509951193005708,-0.14505399218968976,0.027574804745898775,-0.015705159384355082,0.032803722665837205,0.12718443815949904,-0.04607365494592336,-0.08589404043110654,0.01707285570091001,0.02922944770295218,0.01596219575014754,-0.0029855507476007795,-0.045075947219993265,-0.04980201082671481,0.0916774818873944
POMC,0.022613142767236947,0.04638305790802937,-0.020793794966134094,-0.03043752883765418,0.01926783664263777,0.04649251557727399,0.008762721207641069,-0.02506253262816921,-0.005590693600161482,-0.012405423666690112,0.013190661662612289,-0.023476801430418172,0.01991979456168616,-0.014141760988846702,0.09159531872833411,0.07852365635207172,0.016751467579557235,0.04064741356056442,0.07148894020921609,0.045206270321610585
CCL18,-0.02703638679344125,0.04923286318636835,,,,,,,,0.03953252261390514,0.1278635310855269,,,-0.021922622055537293,0.03826072565572785,-0.05676830368134429,,-0.0288465638283394,,
CCL17,,,,-0.011560584216997611,,,,0.03542821016088576,0.07523333949503466,,,0.008942200099650579,,,-0.031228648988949864,-0.03119977530741413,-0.0314552096931805,,0.0337674004759693,
VEGFD,0.048077495290072665,-0.04030187070851428,0.1178655166426252,-0.026788391909125693,-0.018751626275418026,,0.07700813102291698,-0.008328971130410623,-0.0208002057102702,-0.03021385000183216,0.12218029275157344,0.00545972980613663,,,,-0.028364046147783126,0.09026841755959875,,,
TNFSF13,,0.011393263289461011,,0.01855352752642156,,0.08335033579581226,,,,,,,,,0.07832223064460632,0.10412906124592136,0.026845855157866326,-0.026760066847949376,0.08629131327647152,0.058521603634947995
WNT5A,-0.06455778396886394,0.009861330500188933,0.02451079064654611,-0.03337752735224513,0.020035875656704484,-0.01896162289458424,0.06837541347893315,-0.02616731816508084,-0.007690415979465195,-0.02758348725202031,0.05125961098283279,0.014725073024983316,0.05315098394422026,0.0032427997873686414,0.05150097746677274,0.07588329918449817,0.007338373372751535,0.019430665366553943,0.09650177912185783,0.0006152974867384035
