,UKF248,UKF251,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,0.10263032162793483,,,,,,,0.041072953581503494
BMP1,0.005819537099793724,0.01701344906973995,0.039939485445435886,0.02070090155292916,-0.04512143057470951,0.007757517794210386,0.029782294970896177,0.04719239286052848,-0.03878466126858499,0.0705604744002913
NDP,-0.04469268780386736,-0.012758110957371348,0.06934377471850119,0.032526465251176806,-0.009427919011867736,0.0013139169040863187,0.0563539876636438,-0.013933178198516692,0.012945010541006902,0.024256929271911917
TNFSF18,-0.011006718140416656,0.03959613804049147,-0.019362436743223067,0.024569033149308736,,,,,,0.008759408773690117
IL36G,,,,,,,-0.01631018900900801,,,
RTN4,0.01650223373345803,-0.05203970230155577,-0.0687383859652651,-0.03785510021865465,-0.03482497718603774,-0.09602966286898258,-0.021113983284947263,-0.04465311987355863,-0.10162812496506651,0.021741533552584815
HEBP1,0.043703360472507016,-0.058888182449872706,0.07596574781101775,-0.03352990393990438,0.05025607105895424,0.05485804067302304,-0.03553504251610306,-0.044477748466464274,0.02100326913247578,0.055838344930514545
WNT7B,-0.02687134606022357,-0.015480750435078926,-0.0539677763185281,-0.011310660339973534,-0.01305482175440377,,-0.01792677732990707,0.11100423184877306,-0.02812567408354567,-0.021717061050427734
PTMA,0.0371376314951472,0.01532614052064221,-0.027383630726081406,-0.007091713948413386,0.01423904337068365,0.05932696705911688,0.02545475348411503,-0.023833000222009123,0.012116205518056821,0.07135013533223467
FASLG,,,,,,,,,,0.0566371337928582
CEACAM1,-0.01580393568753256,-0.01188054485448193,-0.025479863952144143,-0.02236936078904264,,,,-0.013504272924467946,-0.018667418940628004,-0.002552235148233112
PDAP1,0.04558072211783985,-0.000921336426396142,0.053960560336952096,-0.010067716107280548,-0.003866736638479827,-0.009914963174737975,0.041700580417774136,0.05413284338346227,0.0007647693805590042,-0.005662244621871852
