,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.007902921551192878,,,,,,,,,-0.018219043330381456,,-0.029555082336393777,
BMP1,0.03224009236147649,-0.0371540925131616,0.07320760166518167,0.07443535635965647,-0.01700288245352173,-0.03397999672954201,-0.04056936558732475,0.04912002932069242,0.11274161521970895,-0.0030033470856420503,0.04284819348554456,0.060392707010542994,0.05074589351234915,0.07632953901468793,-0.008666998842590732,0.002874266398455202,-0.0040424983250395355,0.04336196872180004,-0.022652929523389206,0.033570147815354986,-0.02565304087494688
NDP,-0.04762899619942399,-0.030086159753665832,0.008059176410375572,0.008605950985756098,0.1254791403092595,0.0014563088761594541,-0.010531614883338045,-0.025428088143625547,0.061053428793858694,-0.0006969589923069835,0.011630276171072736,0.08657606693601466,-0.026959849166255805,0.013416111068843644,0.050854108577427365,-0.042782662417881104,0.08059462720413776,0.030087177922998965,0.06146777981994716,0.04583160666661832,0.018881686131445023
TNFSF18,-0.019279987219288242,-0.025747742385066167,0.01504103031115441,-0.005051625142232824,,,,-0.013463321875443853,0.04209570917001243,-0.013506325325882383,,,,,-0.004321156430612541,,,-0.018788977801622524,,0.012539069168026004,-0.03118918788467019
IL36G,,,,,,,,,,,,,-0.019418565729533415,,,,,,,,
RTN4,0.029640834086972552,-0.07690861457334502,0.006623383606846039,0.05093302493066514,0.021540724984085043,-0.005329054413384019,-0.04308060237204722,-0.055379798967616634,-0.17137918959991505,-0.030164811778814703,0.02987978377704593,-0.04544135579925792,-0.035109133697065066,0.0631832651706221,0.018715801340244052,-0.012866040392336941,-0.044076096426533914,-0.09518119332085262,0.01631966158105965,-0.027400745572049422,-0.13604381866690124
HEBP1,-0.02157760089540679,-0.02051361964071072,0.03229504583725464,-0.037594138565177904,0.03386689849326438,-0.010366251376061125,0.010870855707072719,0.05582885363307643,0.04889848119838757,-0.005440078907207746,0.06493485439363823,0.032185797055253186,-0.017111979392465428,-0.053768860536585056,0.0529235405544056,0.027804414694208513,0.015024605104880587,0.011631478410102387,-0.0005636088076925124,0.06743040774503914,0.031466486593198825
WNT7B,-0.01698506487420097,-0.03718558533946888,-0.043766844110562766,-0.017638616809581446,-0.040241824921038845,0.03600607336520158,0.00897507040400275,-0.03885457871136137,-0.09442824340824023,-0.0387146242743696,,0.03344820913520973,-0.02134324155944789,-0.06577074513500723,,-0.03395482149210487,-0.004999233876717481,0.07661912260406664,-0.025860407247953292,0.03395618245427391,-0.009300165478179178
PTMA,-0.12418284467171628,-0.03628617059653458,0.03654546674062321,-0.04883812628685035,0.08005716426019771,0.03817153875186392,0.037533420979297204,0.09846004246689002,-0.0689624327062547,-0.012524997072000553,0.0444242242802978,0.0943227761526427,0.13893384545299448,-0.07491904584809334,-0.05897880689676456,0.031123693584889513,-0.01647380013894845,-0.05143624381411806,0.03237361568910895,-0.02671488765059555,0.02355036455499089
FASLG,0.09380984636345957,,,,,,,,,,,,,,,,,,,-0.00869858423441282,
