,ZH1007nec,ZH916bulk
BMP1,0.0855015596715662,0.014142952559657846
NDP,0.04552597816672827,-0.057696217719463656
TNFSF18,,0.017138956896367484
RTN4,-0.10775740224779179,0.05951349902267977
HEBP1,0.03417161421182051,0.007398937794388996
WNT7B,0.018643114024132434,-0.031345116581241506
PTMA,-0.04970613770183347,0.07229783589936271
CEACAM1,-0.044493219311622464,
PDAP1,0.0011449352771649545,0.029920349847603847
QDPR,0.056284289967363545,-0.023214749318663852
POMC,-0.0626249872856185,0.026839677493585148
CCL18,-0.03815060945993713,
VEGFD,-0.042980926083860525,
TNFSF13,,-0.026444435395783682
WNT5A,-0.028891762082860394,-0.01750187136317491
CXCL8,-0.04972930633664011,0.020090991753479236
GRN,-0.0907822585609987,0.07357989114478439
MIA,-0.07603157310268367,-0.002850653492761204
COL4A4,,-0.029555660714268704
TAC1,,0.06937075754325916
RARRES2,0.006737320186869064,0.01818588877042523
FGF7,0.012936057977971685,0.051350106058034244
HBEGF,0.03349310784926966,0.048963093348439776
CSF3,,-0.014658846988470359
PI3,0.06193975749806042,0.06372671831961998
PCSK1N,-0.048938104208138884,0.0272453650490583
SFRP1,-0.01908870946805781,-0.012154326194907854
CXCL13,,0.0787912500873887
MICA,0.07546465722370273,-0.023250004350565984
TG,-0.0215747760062135,0.010749022626181895
ADA,0.05046842990413409,0.011074013311521743
LAMC3,-0.017229175641862576,0.051559872441804266
CCL7,,-0.052644100091325245
NGF,,0.24022404729237543
TNFSF15,,0.02544944111253003
HMGB1,-0.027184896475262725,0.08571811984774083
ITGB3BP,0.027981756008907177,-0.000943369958682565
AANAT,-0.009418173891889352,-0.018983011008054804
RELN,,0.090469643723656
IL15,0.021135726704919176,0.030553448134231064
UTS2,0.11591732564143149,
BSG,-0.048926124414416974,0.0378871083820701
ADAMTS3,0.01659813432422975,0.04354153610033025
CD34,-0.0442082020188033,-0.03013259074209982
PLAT,-0.06595862453094907,0.07157275694503995
CKLF,0.030186096145452555,-0.07523477633103212
CD24,0.02644230251102293,0.05226471148209354
HSP90AA1,-0.1205466936184604,0.02581259209432196
BMP4,-0.0392672200789645,-0.023011547594521734
SCGB3A1,-0.01699411301132443,0.03356208232380651
IGFBP4,-0.044238288744457926,0.07255005904546434
RSPO4,,0.062318642957130556
LEFTY2,0.07336698744221752,0.06472834235028696
PF4,,-0.018751069438741823
ANGPTL2,-0.052565811465545176,0.14328135476946233
LRIG2,-0.019528788090056714,0.040544316749537436
ICOSLG,-0.05697701663103713,0.004975497764822407
WIF1,,-0.03440781179083796
NPPC,0.0528910933830617,0.045340844086057965
LYZ,0.024486854948106127,-0.004686233931750037
EREG,,-0.021588035605607195
SPTAN1,-0.1229587029749614,-0.030462185230311717
LIPC,-0.009656397479806813,-0.029241170370096266
COL8A1,0.002854868084906497,-0.006440283731016614
GSTM2,-0.020216822378045878,0.001450699277173741
IL4,-0.03700530265770391,
SPX,,-0.010776573168401176
MFGE8,-0.06690924416939877,0.07694191073764892
TGFA,0.02652607565509258,0.010573562211766103
SLIT2,-0.03160166596775851,0.06480797871208333
PLTP,-0.058862633650824565,0.06353001386618404
APOD,-0.053039167855691086,-0.06818830431711476
B2M,-0.00890923293138739,0.048966915575398326
OMG,0.02516806989678605,0.03708843917333949
CXCL3,0.06742459855306246,-0.020258979815712598
CXCL10,0.19687541850305418,-0.043432247999065594
RSPO3,,0.06325025685813163
NCAN,-0.10191003836638311,0.0017291653838501953
PRG4,,-0.005607131387602667
ZG16B,,-0.015996585337397357
TGM2,-0.055282803175899085,0.019898920011501873
VEGFC,-0.04194810287713155,0.08397109668191387
WNT6,0.1511268755378023,-0.016529271975445615
NRG4,,-0.0050471670201514334
PMCH,,0.0332377816935923
COL9A1,-0.05485463874164211,0.06482672947864856
GDF11,-0.035279899231677236,0.062476531657986424
IL24,,0.0074004369073343125
SORBS1,-0.036878503137876294,0.011433472543342975
DLL1,-0.06108284815906127,0.024868699101595438
TLN1,-0.09821717525816041,0.06958116587184644
COL2A1,,0.023211643190601636
SHH,-0.004338779742779093,-0.022545312710984877
PON2,0.05753703154049193,-0.010606196642600648
ICAM5,,0.021573310359541246
HPX,-0.06133497371798681,0.06544922338174491
SFRP2,0.10938762596036104,0.042938867119699776
CFC1,,0.06912810896780627
CD70,,0.003914338867120976
