,UKF243,UKF251,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.021708244733032796,
BMP1,0.09682933004454203,-0.016489680158377585,-0.030827906156608235,0.007902631547910093,-0.09660860023489333,-0.0665557271060603,-0.004300098619450448,-0.0153312547841069,0.0036709760909523653,0.12781452684340208
NDP,0.05490219203156556,0.01963257030639835,-0.0590456746443713,-0.03710467364417855,-0.03431347104630803,-0.054459213072318984,0.05424179655950069,0.07733327784291023,0.13175746950375689,0.017447162566970254
TNFSF18,-0.027311024400716245,-0.01156366353281131,,,,,-0.04976402493551246,,-0.00714486023327295,0.12613786268307522
IL36G,,,,,-0.015263916687492468,,,,,
RTN4,0.039146001977269376,0.022180025158585213,-0.03815459716388144,0.01274959272031143,0.13718875834667005,-0.05544083433807563,-0.021036055775900907,-0.05908586491739494,-0.017795951057056666,-0.14436165190049888
HEBP1,0.034471046438978845,0.055168689022117245,-0.008715104272846653,-0.01462480344049883,0.06731616453488234,-0.007121720997670174,0.09154604238890864,-0.004613607326854248,0.02415532899081847,0.029684490102282624
WNT7B,-0.014126706530522611,0.0045378722945143436,0.0046012012469741435,-0.014716302665421678,-0.016776803474674914,0.004547175954702391,,-0.040737508845074384,-0.01788075260679231,0.08656595371309873
PTMA,-0.05445117046444176,0.02440954685136057,0.06657402633597367,0.01659579153844922,-0.132584052332145,-0.0008337205015665725,-0.0942145131596588,-0.09487844575833032,-0.08467700163337602,0.02943795266539831
FASLG,,,,,,,,,0.061526449583719015,
CEACAM1,,-0.017880851031651983,,,,-0.04382961026017076,-0.04718379949722153,0.04427322714117161,0.00603855827240666,
PDAP1,-0.010099802831126766,-0.02670690413344104,0.021052921131885546,0.07870836101158118,-0.043765462223079615,0.00906876533850412,-0.05474135001156738,0.05320142849511171,-0.030644547184953984,-0.07040798958663837
QDPR,0.017364112249659648,0.04107788036246488,-0.019562583547117127,0.03326894150812505,-0.05422360877277557,0.037999001115329854,-0.05041497181936054,-0.08146753479185255,-0.0070654334410024,-0.12561948293106626
