,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH916bulk
IGFL3,,,,,0.06357100646361771,,,,,,,
BMP1,0.009416619924541602,0.016353207617189766,-0.04072461672455435,0.04418541083835791,0.060372555716360285,0.007153305465289807,0.0020623952209113633,-1.3931645433253412e-05,-0.018156410273224777,0.0673213861638547,-0.008580777096752023,0.050834683550798655
NDP,-0.07302749631490205,0.062187024915585,0.016790021162045463,0.04796381553490364,-0.017842903544873816,0.025192609710686473,-0.03226185129048926,0.011944128959234138,-0.011924635195916551,-0.031431718366232736,0.10751803635291568,0.05492812772507264
TNFSF18,-0.02690150889893335,,,-0.013463319349627991,-0.027557971561826385,-0.014454462542966798,,,,0.09031895269213804,,-0.001290041953061137
IL36G,,,,,,,,,-0.018982332870093793,,,
RTN4,-0.026799361462006028,0.0013251129467680724,0.00975374969671961,0.0464863534513067,-0.04220402230069614,0.026621195630673146,-0.03189304394418492,-0.0221249924539355,-0.030759984580733514,0.040039618968681905,-0.035672196180130025,-0.08323127272917918
HEBP1,0.0013802610757164824,-0.03338492878299503,-0.021179814583031857,0.008948497761178089,0.04770502566151455,0.04764739422636453,-0.021336498921577993,0.02169269316652827,0.03314668689100309,-0.04004749106991391,0.04096172520405594,0.04097291017959263
WNT7B,-0.039811282358328585,-0.014002355397607249,0.006238181368012862,0.07167089494398265,-0.04261917438041279,-0.008243420311052192,0.027453765832924457,-0.0018423686658661704,0.044010757137566185,,-0.03489712921755721,-0.009867803412069292
PTMA,0.05193058895151474,0.019050289018347467,-0.05565260921429739,-0.010072429694527842,-0.04247045773629343,-0.011843597413268868,0.004373630920480413,0.05467887517582487,0.023752746336952815,-0.007257789317694436,-0.028135583729338134,-0.01573909986398371
CEACAM1,-0.017122073159567975,-0.005374932318599693,-0.021486866876642412,,0.01755453658527105,-0.02273342603511643,,,,0.08277805619376023,-0.03129630444177623,
PDAP1,-0.022815676131967094,0.02128683734471531,-0.00026265328496959236,0.029500774356600278,0.07011971792834262,-0.03452152779213379,-0.030209254447286105,-0.04830551878177497,6.7186146365442e-05,0.0030920445671949203,0.01801009225696858,-0.021907687488797675
QDPR,0.04293345511288327,-0.015165629532132335,0.04241010518772122,-0.017271444814820718,-0.06212053123518362,0.022880025052560423,-0.020291807752929457,0.04697517089220367,-0.030221763671495882,0.022295102604754806,-0.018793310725066684,-0.03399057068638134
POMC,-0.040581225953991905,-0.035026708611969166,0.02788886323392349,-0.02524745534258431,-0.029284453712236598,0.11513464987212342,-0.037317363589049996,0.05169339367347329,0.010163107292093103,-0.024684345316045703,0.15469260903808754,-0.02105618514423452
CCL18,0.04409357439706646,,,,,,,-0.006015706058828167,,,-0.022189594409824202,
CCL17,,-0.021800933200079555,,,,-0.018027528988495717,-0.017172954983994453,,-0.017340899985078144,,,
VEGFD,-0.021366736325652634,0.05931545499959859,-0.020557417680736108,,0.10862055076893819,-0.019206807347861784,-0.012596570160612386,0.0969647301982278,-0.018584779619543218,-0.018279686117752204,,
TNFSF13,-0.01612402488588424,0.06338725758324926,,0.09785510582523409,,,,,,,,0.10933794758516381
WNT5A,-0.04994725556484626,0.039258122369158224,-0.04794863799452542,-0.022581362843693643,0.02255582043164629,0.05347508211467679,0.000812313236613614,0.11527884434221207,0.039320737904039206,-0.045669720760555026,-0.0030382538585647066,0.05008784993926162
CXCL8,-0.02026994632842658,-0.07225967015411815,0.054237353651988944,0.0013207450432129431,0.0507827395522831,-0.03559835167982569,-0.011730473850641842,0.04144144850931051,0.02049060749758637,0.12527370686193726,-0.03906827455998332,0.0626694597572701
GRN,0.05200547316038013,8.227809172295084e-05,-0.08119772832849925,-0.017284753195671212,0.01561502770938283,0.005036607861101625,0.03142635387227266,-0.004054860131110389,0.03406626645299938,0.07740091322565473,0.08990767713132063,-0.02266281256127734
MIA,-0.032952745548795744,-0.03854826339831034,0.0328767780221944,-0.02360887109528041,0.10916688456323148,-0.0354333466933969,0.10505364930210573,-0.023045657907243108,0.0007575124971145427,0.0737213763640384,-0.017157695416163018,0.0401258278451899
COL4A4,-0.025661268578721193,0.102281352030921,-0.06412567286716787,-0.012422788674407426,0.003005757566638197,-0.018821298011786815,0.0240246322067485,,0.030183104524270518,-0.042763971314306315,-0.028054580545383973,0.0420408093950401
TAC1,-0.046266486908591226,-0.020952423461850864,0.0029908664481361263,0.05049387862829794,-0.03930010062427527,-0.05959327272123125,-0.024470126862434202,,0.0333182010462068,,,-0.0994801459078485
RARRES2,0.07605879952040433,0.018655531906245346,-0.004532493741038473,0.008629483987012335,0.027261179613579038,0.08896074956081772,0.06283510201869592,-0.03867612386067007,0.05074917725265135,0.031620338434445075,-0.027077189216356354,0.03727188723756904
FGF7,,-0.015196920890206862,0.10004554543989506,0.037216834986564744,0.04814488109207742,-0.013797876200415844,-0.012102258989990509,0.03054298615604887,0.04702119773082958,-0.011181383722929645,0.0067651278522846345,-0.006959593810534559
HBEGF,0.031124500179314174,0.015654096983657155,0.02498059540915168,0.0760881893501445,0.10566030089732617,0.009427011555321232,-0.0323491999644422,0.04082340044349117,0.07863911081252624,0.01305193639147028,0.055505740194752885,0.05361697924444141
CSF3,,-0.025984811484911975,0.043070617073844,,-0.019347785238251217,,,-0.01071559620191321,,,,0.09650474875029631
PI3,-0.02247870033563144,-0.0448419395642403,0.04331534275656942,,-0.021785861541395363,,,,,,,0.06392666003913415
PCSK1N,-0.0044010902755831464,0.0379556123847866,-0.046696059284098916,0.013226035811783431,-0.012257257566253886,-0.010965299684006374,-0.0030161631631135527,0.014584097844182754,-0.006813008125918261,-0.03355214051356199,-0.02632416566734199,-0.08396867041303477
NTS,,,-0.06256804962138472,-0.01516540241227407,-0.023780755429302834,-0.021501145142733467,0.0025970578009642006,,,,,
SFRP1,-0.032886906571781,-0.019022156901413605,-0.007428703098944344,0.03056372701152816,0.010175520749847166,0.030153727912715256,0.048940884896762266,-0.055242017026955345,0.07537223780026443,-0.057951360459479795,-0.04450937454582552,0.03379060123480387
CXCL13,,,-0.023241680925300292,,,,,0.05651175032711346,,,,-0.024474467890412445
MICA,0.03790437219665794,-0.003998161523344204,0.05428078361687149,0.02851864745545064,0.011590549754140941,-0.023443317642947357,0.02651364153738434,-0.03625521753927769,0.05863496757100083,0.023493658717139564,0.05900041621052616,0.10870038004617094
TG,-0.03364741545621308,0.035232833833824424,0.014316668563876773,-0.017504872185158983,-0.007046609989045375,-0.01816205323123624,-0.012427992946279633,0.010642111827720476,0.0664050151168338,0.09614458818341755,-0.01622447617314931,-0.02697099026911364
ADA,0.08722080410125746,0.01228073859220262,0.060462131335380954,0.050862345712554505,0.02831081035547304,-0.049313917143680816,0.008943255700650098,0.004230042269474867,-0.0063598530533069434,0.03831240760687241,0.08307118295733332,-0.03688305174313111
LAMC3,0.04456536727691068,0.06469823273462494,-0.017193174937858727,0.042695244813489346,-0.013654721077898148,-0.01972209652051287,0.050092387178942634,0.032109771059903446,-0.02642015256541647,0.06221755055522272,0.05326076781939489,0.014797040323662846
CCL7,-0.013591045001456645,-0.014841654126630532,-0.006420318420194374,,,,,,,,,0.052857031099570455
NGF,0.03610882842367762,-0.03400602034055506,0.048231555406276695,-0.01670434316936032,,,,0.0303654289391482,,-0.0320523853078025,-0.03297513823657084,-0.03419536234604283
TNFSF15,,-0.016526907766007824,0.008428696393987047,0.052310556922439806,,,,0.1734267766750128,,0.03325266949511844,-0.033302101620818654,-0.03339393379735584
HMGB1,0.002218107587718829,0.06414689172535293,-0.023640166954100695,0.02588704083402918,0.06040645950264033,-0.034391252402839065,0.014739498819274801,0.006742433224866951,0.0058260383135366346,-0.0077754846217295195,0.04252200526232523,-0.0014416368971205146
ITGB3BP,0.029550468665896026,0.01719972126384952,-0.0010504965849586021,0.008226290281241106,0.028848753671716697,0.04277141027956297,-0.030921008213180657,0.0060276920316494195,0.04115561024538338,-0.07581987439081155,-0.03290896595180714,0.05915270197915463
AANAT,0.10661569087409926,-0.015037797407077695,0.050817006673000854,,-0.017452225873129827,0.05135034607015928,0.02466768578218946,,-0.008269434654848294,,-0.023111392724364275,-0.018423646487854033
RELN,0.05006537174498833,0.06465156794515414,0.02768139269638682,0.015554564887012979,-0.03405241549325686,0.06812379418863816,-0.05602504333815258,,-0.025752110384013444,-0.05806689144531657,,0.02525252224896771
IL15,-0.025322815031683547,0.0430314835479383,0.018183004457440262,0.01065201910371069,-0.045522516785994525,0.0010535778800049018,0.08818626482671323,0.0461498580057026,-0.021573649539232694,0.1012753421114168,-0.03906837666838633,0.010457155430706074
UTS2,,,,,0.057738664644544725,,,,,,,
BSG,0.006565192661594418,-0.008360665759927,0.009895217518107463,-0.0263771997324571,-0.0117254416143203,-0.04115914672149479,0.01748610387945074,0.024942990105738777,0.00911517266333313,0.04665204800701161,0.052615240944283104,0.1387486720280812
ADAMTS3,0.013214630618479828,-0.005088420557897594,-0.003483008496445309,-0.006791637394492269,0.009523403126919374,-0.0046881254883185085,0.03768276066582509,-0.0194868553850667,0.004308819727622621,,-0.027673539950117378,0.00960368500190516
CD34,0.07260574557982555,0.041322702993677365,-0.003851140313398216,-0.017018952552296168,0.04438611522683929,-0.05413073397785929,0.05104096586851432,0.011505648260759945,0.012215475935963475,0.09464795881600785,0.01954366974797159,0.0027247870781331963
CCL23,,,,,0.057508790942687356,,,,,,,
