,UKF266,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.008679734950543923,0.07355718510926952,-0.008593503006233311,0.03552480323868629,0.02911697851322457,0.02472762768084178
NDP,0.028097264262594283,0.026808171053812356,-0.0374875402985743,0.025772723924325423,0.05241822395689612,0.055878707362186704
TNFSF18,-0.01445349292033182,,,,,-0.007835756293764809
RTN4,0.07200371759883273,0.10603702878157274,0.17568528796575766,0.010337725888727967,-0.008253681353309764,0.05428419189831114
HEBP1,-0.05194310845906724,-0.011035055742682496,-0.11316835835936909,-0.0030038588649116,0.045081600064895956,0.03559098964268026
WNT7B,0.01943596185450727,-0.01108347858969078,,-0.024205848810806375,0.017071746799239482,-0.011816509895068203
PTMA,-0.02455965321873784,-0.05077516528370364,-0.23244048739368228,-0.026917009656028872,-0.0901834963845428,0.02058693528337348
CEACAM1,,,,-0.025323615365727532,-0.018648619388103378,
PDAP1,-0.0405641549858733,-0.04430953533507185,-0.01163489804574825,0.01798136071014104,0.030293788090438954,0.04641666930111478
QDPR,0.05048883599286619,0.020420654187778376,-0.1641768526331026,-0.019486848900860273,0.05619822352158325,-0.05433140305869445
POMC,-0.03813122945477895,0.0453449533742823,0.029488057176628595,0.020831415626726142,0.04002303010371811,0.019049010736539546
CCL18,,,-0.09673858242609978,-0.006082727045848744,-0.004741543377990467,
CCL17,,0.027077049031013295,,-0.017965879404546494,0.018623312944737767,
VEGFD,,-0.010062494562840757,-0.03361252699725281,,-0.018648619388103378,
TNFSF13,-0.014016872964012982,,,-0.03447382406083777,0.027235239982187298,0.03583119565674522
WNT5A,-0.042163604130646765,-0.0387543955702782,-0.015820264257354714,0.013671217243249403,0.028505856287512923,-0.02187623748544404
CXCL8,-0.019938092668763955,-0.00937063246872677,-0.07659170999703754,0.040919927686925095,0.0013894551591122776,-0.011590645814619344
GRN,-0.05541765402876526,-0.04652453801371651,-0.13928857618611523,0.03934266321394574,-0.0041127495418579576,0.07016397839943873
MIA,-0.025345209630052375,-0.011443968423608331,,0.006808311391261582,0.03619226565507275,0.01640688456287827
COL4A4,-0.0133364353539818,-0.019224956843044212,,0.03684397331051319,-0.029859355518203904,0.03444188970286004
TAC1,0.0747714520228326,0.04070865269871173,0.2008749274959048,,,0.04486793214032273
RARRES2,-0.07893494375506492,0.0036263141321994617,-0.0537787676902353,0.04264482341175491,-0.014397997756783664,-0.10196600354026832
FGF7,-0.028212467847387755,0.05210449577817263,0.06855761072401244,-0.024729402232951798,0.009699699005141699,0.00560604122579878
EFNA2,,,,,-0.0177242647053977,
HBEGF,0.014728571828294165,-0.025841450855589337,-0.1237132917726677,0.07024498549360976,0.0861076877944695,0.02848038793269256
CSF3,,,,0.08350242010441686,0.02336905231968214,-0.023559117610880462
PI3,,,,0.007211199575269179,-0.0071716456364869525,0.024417000241764023
PCSK1N,0.03430765145061983,-0.0064540673503344,0.2628495043043766,-0.019221385975434036,-0.06296123028794402,0.09066182242079696
NTS,0.005930771356428756,0.03185790030076043,-0.030262071551999354,-0.04191252647168486,-0.021593653126371765,
SFRP1,0.0113565828026238,0.04894796065953896,-0.022954373062149192,0.012451696973991266,0.007100011684410398,-0.014393210620772135
CXCL13,,,,0.026148787415009183,-0.009470090023380858,-0.006954874282637264
MICA,0.05156834209364144,-0.05156005206488993,-0.010558232675149272,0.06387479437585247,-0.041147929307439844,0.015762498737242746
TG,-0.018792285886503883,-0.009927830342262184,,-0.023872162001362076,0.05336328952029739,-0.04600632616394102
ADA,-0.016857049244753453,0.01916734695921802,-0.09862569251955507,-0.015731306013916566,0.019316872972368494,-0.04566449086896651
LAMC3,0.030562955615244778,0.010254700120725279,-0.016641841870504236,-0.0006387039458123047,-0.010217572917708905,0.07423101646110061
CCL7,,,,-0.026926712081040163,,-0.05446863517000375
NGF,-0.017932881146714662,,0.059165173372373835,0.054120624142342796,-0.01748602076871153,0.05128857431328469
TNFSF15,-0.02177444919247677,,,0.06004738688398865,,-0.05256881666782831
HMGB1,-0.03836091998344786,0.02207078121078346,-0.13123931622260102,0.0017970012743935592,-0.05552988526083934,0.1503147820422325
ITGB3BP,-0.024555592517562754,0.037168121879478586,0.0013608939952535202,0.023753686638514647,0.031144965922847517,-0.0936653736439801
AANAT,,-0.011443969060151073,0.011757106990314889,0.01225999400551665,0.04386358894982484,0.10329663899684019
RELN,0.01613907087078138,0.017908400155780275,0.08771567631114009,,,0.06489599258436625
IL15,-0.015493815076493946,0.011612662475979339,-0.0171989450776252,0.0012018028495810323,0.007824986124346558,-0.022048439036711647
UTS2,,,,-0.02011613797584965,,
BSG,-0.018947709411124784,0.016892686246025877,0.10818356107970592,0.05683529840238339,-0.013609783148305266,0.09302386450678359
ADAMTS3,0.05120746756314951,-0.0014315866515304822,-0.045685326122857285,-0.03323780404621069,0.021114911224969498,0.10549365154704803
CD34,0.05827640762576821,-0.007264465765149465,-0.018263768897937956,-0.06328643408466669,0.007047862511806098,-0.014072663804945333
PLAT,-0.02281746934215162,-0.002549940383730241,0.042560029111791776,-0.03499987505865648,0.03757226785837931,0.1325612731583547
NTF3,,-0.018473296073660637,,-0.039849022376553724,0.034787052931575246,
CKLF,-0.051762334938597186,0.005152852320035927,-0.10644119027371558,0.03347526485464845,0.02370706939661233,-0.03535275288638873
CD24,-0.011032216798729733,-0.08669595580721896,0.033550084976243094,-0.08170153003417138,-0.009941264018126937,-0.04259861010467826
HSP90AA1,0.023373398585761714,-0.005313624210650417,0.22678847580292794,-0.0013566187378642944,-0.026334033566127985,0.0800866489735574
BMP4,0.01660043757739796,0.04443299023547543,0.09990051805585869,0.05786528436688472,0.058567484397082516,-0.007745224110454245
SCGB3A1,-0.019778128973616853,0.019735309260603465,-0.050081398978595294,0.027240960845470022,-0.033928797400334665,0.005035760492403182
IGFBP4,-0.03674434583299648,-0.02040810001387675,-0.018029907220804754,0.01450450462196284,-0.04384784609964055,0.1123868083109264
RSPO4,,0.19210875888347662,,,,0.027529226080938784
LEFTY2,0.019050037951700842,-0.010584740477694025,-0.030262091477565617,-0.0041588328495723755,-0.02037971994300051,0.07196196467975013
PF4,,,,,-0.016245515710507957,-0.037445408320989276
ANGPTL2,-0.03521531863725341,-0.0533265482983547,-0.1302385697408115,0.022715809443696135,0.01185708840297715,0.13066397109351166
LRIG2,0.02106446413844778,0.0201254994928738,-0.03491345118046958,0.01774069121897815,-0.006396202339501909,0.0656243475352326
ICOSLG,0.05030516218399189,-0.01831977816350592,-0.09729359443816685,0.03447455090053607,0.049553469826437935,0.06479895215071191
WIF1,0.049146526781180234,-0.01816513259844485,0.1815373191788768,,,-0.030790430602015143
NPPC,0.1484424696472171,-0.013415444485823123,0.08608466886166946,0.04815341783418917,0.02371503579276013,0.0003096805877471358
LYZ,-0.005490121623745789,-0.0483541830499087,-0.16731710144950213,0.0344875505162005,-0.015125751804259567,0.024666266931483962
EREG,,,-0.031130848386351488,0.04319258690756253,0.035462294773003486,-0.04311075753523834
SPTAN1,0.008208964739828305,-0.01734055805578998,0.2191173197372732,-0.024542202027205702,-0.01217605710870832,0.004433716949416256
LIPC,0.05483599036039432,,-0.055754782064002466,,,0.013367874934037325
COL8A1,-0.029954103600183177,-0.03154039630431245,-0.05757296436180201,0.00519423037972135,0.005078780085759238,-0.11813403279898287
GSTM2,-0.01310210692983487,0.01699177499620494,-0.004074854833507505,-0.021435848406656088,-0.016583659110306632,-0.05883847289852102
SPX,0.020238014612455082,0.02159931451738639,-0.001684865380809333,0.004311487054875247,-0.0002321090778456368,-0.04314996690140061
MFGE8,-0.004945182218632686,0.02210517404040816,0.09583050386042326,-0.03277622905256654,0.034441072020176336,0.04988619213065578
TGFA,-0.007705433991507786,0.03520935572699037,-0.029190774979345642,0.02078975826547627,0.06674545582579784,-0.010294982365571831
SLIT2,0.047286322819781505,0.012691451932754123,0.17981972283989509,-0.02592389584876143,0.008333337920649738,0.01952090928595005
PLTP,-0.019701056859935565,-0.0470667261478964,-0.16351115626267074,0.04537561056293692,-0.005877303008510171,-0.03367962241336609
