,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk
IGFL3,,-0.01244341110536468,,,,,,,,,
BMP1,-0.0579018233187412,-0.06553776923579553,-0.03478285464839635,-0.004251179905977814,-0.06836136144081086,-0.142252272120211,0.002993245247761113,-0.07214991466486727,-0.03230896058777231,0.16099328413814265,-0.004359016019678907
NDP,0.037322426959028564,-0.040983926597131765,0.02197507019752872,-0.031633512536645286,0.007877979767320771,-0.0031082508926922724,0.06339735592574945,0.003047938695537668,-0.0170737214305644,-0.0673293554663357,-0.0005494976363686405
TNFSF18,0.0012504458899250258,-0.01847809193002845,-0.01167476423610172,,,,,,,0.11756957564402433,0.09653434803695493
IL36G,,,,,,0.02270521683942533,,,,,
RTN4,0.09558762788660362,0.1422142453237836,0.09655495843745185,0.056246005952176485,0.17418985328400652,0.21565253233788328,0.0006393088683391265,-0.002147908980692564,-0.002504770711648424,-0.07240205252768818,0.08268311199290751
HEBP1,-0.016858817919082645,-0.06348694112766723,0.01831460137768071,-0.020353676998521333,-0.0459612818225856,-0.05358646320068936,0.03799426012132271,0.042370004593942925,-0.003110449212284073,-0.038324860524766836,-0.015091735793684304
WNT7B,-0.061311297722261175,0.1437135617524723,-0.033464624906256436,-0.019958661076824088,,0.07153770493276311,0.053641898040945,0.0651094173180957,0.002483276775961534,-0.039055508691939966,0.07010307085123203
PTMA,-0.11632183494158324,-0.0023649547817176527,0.019907523481960822,-0.07256101894462168,-0.17107146593259742,-0.2043684473018627,-0.025161407713463348,-0.017633860845417668,0.005763677107570788,-0.01397259338932442,-0.046380102856877305
CEACAM1,,-0.024316116546494397,-0.018361622817168115,,,,-0.02573332112969591,-0.015175142007115257,-0.017163926969733963,,
PDAP1,-0.07563794118786574,-0.0988677006630999,-0.020082622672575767,0.0008081479871810327,-0.021617178479063977,-0.06845632213123912,-0.006850098922622754,0.00712040866563713,0.0546749445516698,0.09321467043369566,-0.004638604727275611
QDPR,0.13053473689764145,-0.01431128803851104,0.05258735302061483,0.05671619217184112,-0.07885720419948097,0.03388125315020841,0.09315021880232129,0.0238626180950694,-0.02446034130213793,-0.0629468954331036,0.09665943946089232
POMC,-0.033018130235658055,0.009166823814939998,-0.013546473200963693,-0.030345863241301264,0.010080366250738068,0.08154116016264262,0.06335847459441771,-0.023043954581250622,-0.0013027131290085784,,0.08359124887848221
CCL18,,,,,-0.02791752348171195,,-0.02756725172550213,0.03213334387641177,0.00022937688052822013,,
CCL17,,,-0.014560704009197852,0.033962603242691604,,-0.025471654006013297,-0.01825654581376567,-0.021906270174095323,,,
VEGFD,,-0.02084605146892592,-0.015513198560510985,-0.0024805177717310755,-0.02894677083742951,-0.027298760540361823,,0.011329016746176682,,,
TNFSF13,-0.0256138339490017,,,,,,0.028083417817068166,0.19033546732744605,-0.019273939617110852,,0.010498887020294886
WNT5A,-0.06932941956310347,-0.095418805496868,-0.002689628985388139,-0.015920283152368278,-0.006673767595774693,-0.06437970073449047,-0.024639008058041343,-0.0014374484220433606,-0.010209447140876439,-0.03465841923316581,-0.042756768197209666
CXCL8,-0.016368548118732267,-0.041449983644610645,-0.011745363042459505,0.017398743867161635,-0.06504718400445296,-0.06451382518329397,-0.05138893814100393,-0.06509673807647258,-0.0204413173790304,-0.004239627522096865,-0.0718377109554591
GRN,-0.03205109184021674,-0.11051150242670799,-0.021618314312203908,0.018620452382409752,-0.06621652861530346,0.051150123102833275,-0.010908352998655597,0.024882156476132903,-0.013656112355911557,0.07315192220284367,0.008442071440848443
MIA,-0.01979035005050952,-0.03554575226653476,-0.028619256337742434,0.0069237900233912845,,-0.027510612505093554,0.15288696475078925,0.08788757724252218,0.061367622818584384,,0.047153754155225575
COL4A4,-0.024370431372639584,-0.012262058030067914,-0.01520182547444067,-0.00020204417301405804,,-0.036266683508166045,-0.010063274972391777,0.07780075462363506,-0.023827135276099795,,-0.029228967743968073
TAC1,0.1759049377515019,0.1571526943517094,0.13254089287793244,0.07995080059930965,0.1593416082332529,0.1714043699685716,,,-0.02961266372508515,0.014724045972326315,0.09788540861095911
RARRES2,-0.07491223700737897,-0.10597329404697878,0.07604563854048714,0.005870038971900544,-0.057468432979065974,-0.06401716248318716,0.028645710215368516,-0.0011888316289048724,0.0026174781325533194,-0.008055897295873162,-0.01233553669627073
FGF7,-0.013257838027428366,0.01602336688963164,-0.03465450478980169,-0.038205063969260405,0.03333324061215446,0.001047013292826509,-0.007791290356230617,0.047647241475594404,0.031700804441515316,0.0667784880878307,0.09948510176483406
EFNA2,,,,,,,,0.10034270841451691,,,
HBEGF,-0.026733973853270306,-0.09367737596039265,-0.0501819723333951,-0.015013371717016052,-0.047138886394854335,-0.0778939243542827,-0.05543614826533701,0.0005364783448211216,-0.010470539184091233,0.03484872839899345,0.006832762980651912
CSF3,,-0.012973021380502495,,,,,-0.028742731762337582,-0.03649074310440867,-0.009333678782795793,-0.007266106986364293,-0.05252071854038877
PI3,,-0.0146077932997945,,,,,-0.034561664642545016,-0.08722861608308348,-0.008899764616061324,,0.03402886194074233
PCSK1N,0.01877491971668782,0.073219375356306,-0.036492178930525004,0.02213696220286562,0.17097650083390903,0.18894583626708128,-0.024728760392219738,0.000673127806781214,-0.00033454610435332,0.028347944086270945,0.11821658116347995
NTS,-0.0043852774606910954,-0.015945403819084953,-0.017366318505544,0.07747558965592247,-0.009504497503021852,,-0.04259062094713511,-0.01757163604583635,-0.03072208725738349,,
SFRP1,-0.016208343823418778,-0.026335171023023306,-0.032245610132949284,0.12615662847392192,-0.0022807315203909745,0.016162135988679806,0.021949831738860184,0.007866136552925517,0.012824548019901369,0.01154705305205634,0.07619389783606922
CXCL13,,,,,,,0.013555870049592073,-0.02543350833242223,-0.020449051121650935,,0.03751830022231022
MICA,0.04437756612769954,-0.06719725869610514,-0.03422247228556223,0.08710764206757474,-0.00852661322856773,-0.07754819928011887,0.001058996646877189,0.015751468238321995,0.11535740596023882,-0.005148834505169607,0.0006431212676792403
TG,-0.0005658063093172354,-0.015657276136309163,-0.014669358261361651,-0.017877618423310322,,0.0170791543986217,0.05079516805313419,0.01644353721389918,-0.020251802406667487,,-0.016544388737359843
ADA,0.047884282950632885,-0.08047464277422767,-0.02555781879109286,-0.029034690038486487,-0.08223287196899594,-0.032217869154698014,-0.017642245787998834,0.00430729962617531,-0.023729445229332263,0.011275312611574493,0.06606063502792235
LAMC3,-0.02444970596934924,-0.06678082885484415,-0.01305125714146617,0.029132331529148407,-0.06485066392535975,0.048348248730092566,-0.016478896136639134,-0.0029149747120620064,0.04461389913736465,0.0397889130693857,0.09191627961417527
CCL7,,,,,,,-0.027362354029671628,,,,-0.06569877559658324
NGF,0.011366621921278016,,,,0.018474345567563003,,0.08999395832854855,-0.014229088104712044,0.04437987359167959,,0.007142050634187528
TNFSF15,-0.03978969684458057,,,,,,-0.026675222651569144,,0.08214017733006858,,0.004115516434783796
HMGB1,-0.05345076246109597,-0.07953065533684169,0.058309396602816595,0.008062685237367606,-0.05556587257296807,0.05445972864357147,-0.04779433733061746,0.011959334273498627,0.044016100906512125,0.11380012948416562,0.009585338487271593
ITGB3BP,-0.027302767841929924,-0.05700142225347093,-0.05481945305299413,-0.05711512516812018,0.0048490731713412925,-0.10069265280942499,0.00915754166927489,0.013928338749869394,0.05388251441667837,-0.034280605353502344,-0.02934601791853643
AANAT,,-0.011702016360087338,-0.01319223961243905,-0.020607817121392452,0.07291210617834802,-0.013998032221149918,0.011306037479936337,0.06682896623675588,,,-0.010275647805626419
RELN,-0.038997950087228846,0.07271905301049116,0.03193985045827232,-0.03955367518833986,0.03927182063052107,0.13338468964434216,,,-0.018457093067498303,0.10002045365735104,0.01466524039179423
IL15,-2.7635847350744606e-05,-0.030523627189711865,-0.03741892271445093,0.027183683220610978,0.010814420561819771,0.03478375546100395,-0.013437470133852016,-0.012575501947133435,0.004601149729512168,-0.03712572540812752,-0.053123215810284785
UTS2,,-0.038600789388650456,,,,,-0.02044159299317088,,,,
BSG,-0.012227623667172186,0.11921948544594557,-0.048838470408893414,0.0065199690714894615,0.09383438651702168,-0.16828698609619205,0.061800621475030154,0.03881443699015821,-0.03718556072582125,0.009341718146464067,-0.01638397498628882
ADAMTS3,-0.020318747554848703,-0.08478084783968617,-0.015817254298175088,0.0005478788461858138,-0.00838340868023801,-0.016247479141012613,0.013430165372123026,-0.04799412501989718,0.014891360848256922,-0.042683724371438955,0.029652073106812348
CD34,-0.05029079779456009,-0.054670649468053716,0.0693471947789558,-0.03855666628876855,-0.008775917764094561,0.01862524958164083,0.020323297441138543,0.018545531124763173,0.012152985525915152,0.15953429740943192,-0.006351679943309441
CCL23,,-0.013315037044946083,,,,,,,,,
PLAT,-0.05273910310815468,-0.09447473328965478,-0.08280868035268128,0.01742252253870658,-0.022181699406850566,-0.07017908620360871,0.08889736818243961,0.05059516736135107,0.02472805856488338,-0.08573657091129809,0.01635776526940277
NTF3,,,,-0.024348191925989537,,,0.02825187435613435,0.053828869184777264,0.014699221222448069,,
LTA,,,-0.012705501593161464,,,-0.031689047570527505,,,,,
CKLF,-0.09171538102125648,-0.10191498467119994,-0.049372851291311394,-0.05507573871908852,-0.08159136611790842,-0.13039842652266503,0.005833054330962324,0.05764616834416369,0.0677709316356546,0.018025048523931726,-0.006039108970056194
CD24,0.171678426403808,0.021729316824431452,0.017757172783992907,-0.0188787174116551,0.0122663837800664,0.06899711723171473,-0.0005831714645815291,0.009162537193723763,0.0011892039871357473,0.15002705752971895,0.061965759238701505
HSP90AA1,0.16061075355178236,0.09460059295502714,0.010566620351364589,-0.006116981337543415,0.17997181944577384,0.22514468168369034,-0.09874043536677317,-0.05329178641589621,-0.021462699791141536,0.08015631921801372,0.06996095099696276
BMP4,-0.016265224816353795,0.010937244520555783,0.08894714200076081,0.02047752237232782,-0.0007996716485720661,0.024822216742900565,0.0027183678819669003,-0.011431740241485385,0.08067054630759277,,0.1373654690380243
SCGB3A1,-0.03614170668827447,,,-0.017382895300554372,0.0004953786735684796,0.0253800690687315,0.08566772212180053,0.03207430642168936,0.015243886746422755,,0.035848236564433957
IGFBP4,-0.09212562595353009,-0.08802101190406347,-0.05903292613950206,-0.02609829878903927,-0.06942288767758932,-0.04748290358698777,-0.032082912227377296,-0.0547961324570302,0.07681320424404452,0.01740116859348174,0.004667345374596735
RSPO4,,,-0.014777271844095722,-0.017382892757912705,,-0.01362927779418699,,,0.04793594575317328,,-0.04683596590523194
LEFTY2,-0.001016867562813331,-0.07363423536078399,-0.027227801324458695,-0.019060554506500835,-0.03809466426829124,0.015035007989111938,-0.023227540029288667,0.15235681960666642,-0.002448476120120942,0.03160654965772373,0.05522404440094223
PF4,,,,,,,,-0.013219638556356038,,,-0.03668926229213051
ANGPTL2,-0.08314313970605809,-0.07250616155079445,0.01299110674530697,-0.01762154074737729,-0.07543697515744532,-0.14750530292318118,0.014908455770041204,0.027930491971284256,0.01300569796234778,0.018368812114235696,0.08279442606400317
LRIG2,0.0034663581479369887,-0.002834857671446255,-0.01940374204308622,-0.05041318644066802,0.0336981584149893,-0.013839434876822716,0.021205740353229884,0.008878939182297011,0.011755906399978953,-0.041714692114348695,0.0610356405613131
ICOSLG,0.031404384843819064,-0.07391947810793296,-0.005143003237170544,0.010953378056944574,0.002658150553946769,-0.09623485944905581,-0.007718927794523934,-0.0012288344669163455,0.10652948874454653,0.04076197801870066,0.01879970166497718
WIF1,0.010723467418943743,0.10298402499224993,-0.011403270672318474,0.038076966699264726,0.03458082286738713,0.17506173892141014,,,-0.01986600996125869,0.013735858827111484,0.02501504862364462
NPPC,0.029741883670009066,0.05999329469129085,-0.00968987520060771,-0.011725378975360723,0.06108583307293711,-0.11930067322883692,0.04474376797023251,0.007716848884968009,0.007430322560999718,-0.0017894915056416954,0.0734854805452309
LYZ,-0.08100241084974945,-0.07186458091161678,0.04572931635989905,-0.02090296798146767,-0.09627337764825326,-0.04138854872257042,0.05933408863851666,0.03439410391523542,-0.029957986813756197,0.06937272189423334,-0.016790622336566627
EREG,,,,,-0.024938752874237247,,0.07432845699777868,-0.030755111289403066,0.0015814655815676933,,0.08054771531466721
SPTAN1,0.07163466246201307,0.026726091766464337,0.05511007009159549,0.027722468609044877,0.1623408276677478,0.1364369884384086,0.019359772525369315,-0.02413904117554574,0.004216478999240699,0.021423024885895897,0.10150887938159696
PTH2,,,,,,,,,0.010624669435241062,,
LIPC,-0.04390579187215603,0.026663944445427457,0.04531193830711906,,0.0481768906763434,-0.035390055321292184,,,,,-0.03776176018426462
COL8A1,-0.06424402015008078,-0.01827437642944938,-0.030537084272489665,-0.02027646860207574,-0.023171665383316636,-0.13575421716374034,0.09110583272343188,0.043850960211036114,0.025319790704670306,0.08317950291877191,-0.04351296011476423
GSTM2,-0.008261549663026124,-0.03191134999548602,-0.026071474838447864,0.01913852281735717,0.0016351908729469672,-0.005609170405957428,0.017876703269917967,-0.020215828493671574,0.0442604375961634,-0.01709745256203122,0.010081144792266294
SPX,0.03353371978949649,0.07254563081038996,0.013740563058454794,-0.03890056509041026,0.047442296137198255,0.12497553559867552,0.05208120395058725,0.08214817302415346,-0.052591796186147906,0.034065557494202474,0.059709590136703225
MFGE8,-0.028818953792143255,-0.04349584581973704,-0.030346723711049756,-0.02571605853915209,-0.020597015436776923,-0.04201439816399685,-0.05594386747980423,-0.03752306869429582,-0.004034181095941965,0.05927380469807842,0.01251098932006339
TGFA,-0.06651484055075235,-0.06786032706272437,-0.08086278304226967,-0.04250076710511,-0.044934577696480946,-0.03439556365084336,0.0032926771978861284,0.00616113935592016,-0.013342708409632073,-0.0569130320739333,0.07041854035919397
SLIT2,0.1075552124803515,-0.016969474105003806,0.019560914282006455,-0.003949195828661027,0.11080920907845361,0.29559626418535795,0.11975729571374318,0.004394518213517824,0.0013668644790090071,0.03311137251081457,0.06612181637066092
PLTP,-0.04726252420904026,-0.09402586292633465,0.0064031541873529425,-0.04597768251220783,-0.15199276499183145,0.0006042999530322123,-0.02619265999429582,-0.019212305367737673,0.06792875850039677,0.03910264448167063,0.0008741328760152964
APOD,0.05163004703412048,-0.07978540386727835,0.06129279811305052,-0.03884123972196515,-0.13124340092880124,0.16662936166559378,0.09348801488330068,0.063813802208951,-0.021538242011550773,-0.012798728228759914,0.03376643371769038
B2M,-0.0742670470918453,-0.13117714222919621,-0.017602313495666582,-0.014895220517011443,-0.147403386329292,-0.2078140672266513,0.09243736960622405,0.08284590909643573,0.06940832435373745,0.0841199983904309,0.06255184392887701
OMG,-0.009514042767719812,-0.004879956474557706,0.05545737477525887,-0.007146870982673417,0.06253556583355926,0.16743409154993547,0.04268041310017411,0.05500692728027013,0.0012885946875508612,0.026182551032156293,0.11138757539546754
CXCL3,,-0.015364188094192403,-0.04290008471266207,-0.01859602091266968,0.034109199694066256,-0.022821852705983102,0.0278544486132589,-0.04305564923443626,0.005511553314448464,-0.051777789944566825,-0.11126949288567502
CXCL10,-0.0387003009449342,-0.10327865524277914,0.0013132002273205132,0.004198921309756511,-0.09333564644839434,-0.03626668579932743,-0.02825514078617259,0.027128334072174062,0.020773204966196744,,0.08271517600874566
RSPO3,0.07583661972658845,0.10015311146480418,0.0029904104524581727,0.05318521564283215,0.022763717283477633,0.10510029697826821,0.016632915551758803,-0.04368346408706549,0.027343632628993805,-0.0013327275254230299,0.12221682479309323
CORT,0.07195055919380752,0.16636947513957426,0.04675383692974362,-0.010257486310272769,0.03031282148904483,0.0150064717274959,-0.031200324692095698,0.04473277315070944,-0.03554211538834014,0.05208547199986663,
