,UKF248,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.012443412631895787,,,,0.03829312618387606,,-0.017325841373635006,
BMP1,-0.05044590143485347,0.029738517914970713,-0.05514780996567868,0.08427849245993725,0.014417614104901642,-0.015227323663891623,-0.00994145496380617,-0.0028505209089154304,0.012989949808631197
NDP,-0.011809639938760278,0.0359838763699141,0.002580446647121691,0.0026063541207031623,0.03782361645131827,-0.02697128251040548,0.053430368788011204,0.07940751598843529,0.024213007161988608
TNFSF18,0.04179916308811824,-0.018478094196881317,-0.011674764661574738,,,0.09201267241511972,,0.07392891213466975,-0.026674489673715173
IL36G,,,,0.08678097978876058,,,,,
RTN4,0.06264668984995214,-0.04830631079793504,-0.009450635450250985,-0.05543301797222775,0.031247579590440524,-0.01568445415749847,0.09499237786815411,-0.07889233989208883,0.09624609070341172
HEBP1,-0.029757022280682614,-0.009786577928810361,-0.049786809009122114,-0.007274778096583798,-0.02687472959533094,0.0003393736357959553,-0.025593889712845853,0.007951929034068496,0.009500605749387157
WNT7B,0.023065110217367905,-0.03144796106774195,-0.015077336889078436,-0.02134324047312063,-0.035377423779408376,-0.03832355050650138,-0.002093520172782758,-0.03698054794450282,0.05885385216247142
PTMA,-0.019134382537784975,-0.020337702429956517,0.021242826189862975,0.03497635663121017,-0.02550140983740033,-0.006603600193294908,0.03722905801311888,-0.0830446081396734,0.0017139359817353133
FASLG,,,,,,,,-0.015026696312557444,
CEACAM1,-0.00521410601191553,0.055468896398503845,-0.0026937927519363318,,0.04447206315069612,-0.026334199265293404,-0.01351765766452986,-0.02090744089896176,
PDAP1,-0.04026515484563408,0.05928587633555257,0.06105671349691887,0.0032978851791923398,-0.03127307824095127,-0.004777199558054721,0.012753496752817998,0.020517295567865815,-0.0680678343437431
QDPR,0.03481860915737793,-0.013870662697551195,-0.002818456401791131,-0.02102882355771082,0.0013170147010074468,0.019007046747735998,-0.06181489222399011,0.0670416921121448,0.013512005437630826
POMC,-0.006528244973021082,-0.03134482615303348,-0.013546473694648937,0.09687295342457869,0.03017172868397172,0.042950541989777345,-0.005023454896595757,0.005624005053728577,0.07086650175220274
CCL18,-0.02679781551118114,,,,0.03547856222084471,,-0.03846908230229936,,
CCL17,,,-0.01456070453984554,-0.017739410183923245,-0.014063966598664301,-0.02343033106671208,,0.016989280267375773,
VEGFD,-0.0004535237153507061,0.05450827758284139,-0.015513199125871216,0.0714611227448758,,-0.024711767519658173,,,
TNFSF13,0.08286877984726168,,,,-0.011313527989409261,-0.02512599998575858,-0.015179423569579693,-0.022192673413231293,-0.02901803992416568
WNT5A,-0.0005769733393557407,0.048042838955077494,0.0445152403822113,0.02356361301930113,-0.01166616031202055,-0.06760801623941329,-0.017857425687817365,-0.022912705120709503,-0.0010585560537014619
CXCL8,0.027162004374359523,-0.021194351936763778,-0.008565721746798996,-0.02140846273551926,-0.05170000188251066,-0.033265962662977086,-0.00031963028054606284,-0.01331975361921194,-0.06795260522589029
GRN,-0.032566083163588846,0.032376880490588206,0.0002597918602116637,0.058411021327842545,0.017378679817065704,-0.009798848214833112,-0.07333385780240498,-0.007455488449800176,0.040588006494785216
MIA,-0.01117128167009295,-0.03554575662721176,-0.018134367345049234,0.0009512625962735065,0.06319939804695941,-0.0004393941914558753,-0.02152406378815311,-0.023872143682807233,-0.042841118429402046
COL4A4,0.12215526608537718,-0.012262059534351014,-0.015201826028453276,0.0012980189135568109,0.18308364016032527,-0.03609253101685124,-0.027242752328947763,-0.03999769483003486,-0.0007575470076716953
TAC1,0.0833811305510107,-0.023729272241784855,0.007512895031199904,-0.044761525414028495,,,-0.02332181041532054,-0.017904891260054078,0.10853817724886262
RARRES2,0.03814001394644371,0.011537943875056638,-0.009789643567775588,0.06303291833844982,-0.018123670004831154,-0.02148495790697127,-0.04199439204434918,0.007922144545677672,0.033252433471669667
FGF7,,0.012438909174863488,-0.034654506052744255,0.042045998205462176,0.012622638039126183,0.015649934267794312,0.018878436170934834,0.04146046973866343,-0.02723074070188388
HBEGF,-0.08413994441407965,0.04330075196236306,0.04410054306076384,0.013312162827805521,0.0027733595608931613,-0.01826941948709311,-0.07303366205468677,-0.058655557993673016,-0.03053102971723876
CSF3,,-0.01297302297200506,,,-0.022699290491423052,,-0.019379408756106446,-0.014339771937590567,-0.03411480950242348
PI3,-0.016171775048373516,-0.014607795091847394,,,-0.05914756589346344,-0.019907887641835962,-0.08037563148667054,-0.03115556049818515,-0.016387057658897555
PCSK1N,0.07031975172219894,0.017296556369217383,0.01831230060138377,-0.07320352279517947,0.08020763469176564,0.0025947322930007584,0.025644958778730464,0.06781516435618745,0.06457995846113851
NTS,,-0.01594540577523305,0.062355649431538526,,0.057372362941681694,,-0.044807879953568976,-0.02123524685081175,
SFRP1,0.039970477531889176,-0.04679449292400386,0.002032891694641946,-0.043930637639021365,0.024848635690308315,0.01046966558766587,0.002260710468128172,-0.020741793512262543,-0.0292993921682353
CXCL13,,,,,-0.03159055249777063,,-0.03161184845612294,,-0.027671744625435486
MICA,-0.033170174527309554,0.003952599405353394,0.04128278497250376,0.0783534262874599,0.0467198069704099,-0.04992050959039832,0.0069594728360670936,-0.016226042777171143,0.045265749055885915
TG,0.054813718198169416,0.08183429509073001,0.004120188657112872,0.07338816236257376,0.028428470786381426,,-0.01594955120152648,0.034805832901568856,0.003925345394199914
ADA,0.014991655142627323,0.053997479342696636,0.027442013511384703,0.016711700284460757,0.015559197728619792,-0.022087175689245404,-0.0032812748151340365,-0.03727756729094381,0.017111010525468276
LAMC3,-0.08664196923260675,-0.012290677937663289,0.028435725907097364,-0.016129509203262827,0.0230696730681005,-0.07553805580442631,-0.00669469247597544,-0.031632864326169595,-0.005719324287832862
CCL7,-0.01704567448467848,,,,-0.021078644178350963,,,-0.015026690969243599,-0.012711020258466444
NGF,-0.0292665766175738,,,,0.046388035796152555,,-0.008722464414164612,0.013376471869765746,0.01334846572718089
TNFSF15,,,,,0.0001644534618624603,,-0.012034280134144542,-0.028699337595995855,-0.037756424867611584
HMGB1,0.016814942388394018,0.026572792518723732,-0.03577564918583927,-0.012707530105757932,0.017103702294027034,0.004646442855634464,-0.06064055052040747,-0.013339076532518599,0.07357092081918555
ITGB3BP,-0.010440816521673137,0.05505979478385225,0.06104189162062086,0.052203119522653184,0.007565772057425443,-0.0021842410301770557,-0.0007412959902312633,0.03988603716226245,0.04536328906442188
AANAT,0.04772967785006107,-0.011702017795665721,0.04964426118898477,-0.02379572196882146,-0.01849191859851456,-0.028982567835813176,,-0.015898865691204227,-0.02083046066472037
RELN,0.03400872208633912,-0.03433739183812739,-0.029045054216034576,-0.02634391811248457,,-0.03624448816382842,-0.014536106219093087,,0.042089108812809146
IL15,-0.02468989718806843,-0.004887650901088611,0.04489569855258882,-0.02206943230570341,-0.03387795251752338,0.007861106429871015,0.022527893139794475,-0.02839312052749686,-0.00326662327755457
UTS2,,-0.007841498523048667,,,0.20380663865374413,,,,
BSG,0.023269681465001968,0.0008593693723166543,-0.011912605582263983,0.026544874657553254,0.0501088782213683,-0.032602435486135894,-0.03343774071880457,-0.013845675187071306,-0.05465883981427101
ADAMTS3,-0.04200813452275777,0.02802249233256438,-0.01732900786270259,0.06977657524072489,0.10770264427453673,0.006159628056140638,0.008427674803875197,0.0404154982511894,-0.02709087885752225
CD34,-0.08497409597203513,-0.010032760223999727,0.03613799723742017,0.02992394709007156,0.0381587503450703,-0.03134034345915053,-0.07125112945020091,0.00928219356500753,-0.005529789615422289
CCL23,,-0.0133150386784064,,,,,,,
PLAT,-0.04639500912613456,0.02459202726114781,0.022321854464767015,0.008324556204940705,0.09828253012679211,-0.02721997858683499,0.04002526376573626,-0.07278776902052128,0.01602307166653057
NTF3,,,,,0.0564525286880253,,-0.013302331125893971,,
LTA,,,-0.012705502056198489,0.00872725070543107,,,,-0.001675942862293732,
CKLF,0.02468592492145759,0.01174163273128554,0.030368430536072667,0.030560622735214538,-0.008989532566271614,-0.0845982993572885,0.05721262139168345,0.03588924695969356,0.030769146632957364
CD24,-0.00920524873707354,0.027947556073790344,0.031249778708582247,0.10351087981427898,0.10493806527071081,-0.03881347298632566,0.0489032691332275,0.06244460525356256,0.07896691277054695
HSP90AA1,0.015958068892848544,-0.02472860489579416,0.06024179148834827,-0.024765107737987242,-0.08941916247229373,-0.03489117455598951,-0.001264247635888428,-0.04991173259264959,-0.026076194890161192
BMP4,0.011938752385128502,-0.03584367968816965,-0.03644306954567041,-0.018805438074447223,0.03729805824484592,-0.04051091165144963,-0.0029213431013373034,0.01287948679811528,-0.04006826575774396
SCGB3A1,-0.017045672780133806,,,0.07005810512649761,-0.03208258753670215,,0.0690288572264209,0.024629967128747095,-0.0181993806638511
IGFBP4,-0.085991303647691,-0.02055195167352015,-0.006646578978249698,-0.0026627708669645957,-0.061889747576426714,-0.05768904783400979,-0.07668121528371928,-0.039827441310407156,0.0014196151796367156
RSPO4,,,-0.01477727238263597,0.04678050515541248,,,-0.016830646003687517,0.09466167189514015,-0.026266385784858785
LEFTY2,-0.08535689731135858,-0.006515059861954389,0.026968134725660477,0.021782220380637287,0.05348420775299178,-0.06418636716249608,-0.022888566634103626,-0.029466205047173316,0.028679671217385558
PF4,-0.017682149278672295,,,,,,,-0.02139747225226169,-0.020575946260549316
ANGPTL2,-0.012591954718685202,0.05459661237215432,-0.005074865715751969,0.031470517133179575,0.07158753613159607,-0.02186476674165924,0.012008524301664745,-0.0005274291103063482,0.03698274076763829
LRIG2,0.008830419602448132,0.05612534001922119,-0.02017289637652489,0.042080596474392266,0.022815955435626083,-0.02863316212917719,-0.031966511615308474,0.01546780764358615,0.058004818913869244
ICOSLG,0.0073327565124250964,-0.005082191203994553,-0.014349814770140605,0.023719656609250232,0.0014670796276490667,-0.05206853510825392,0.016923305065039702,0.037608541696275755,-0.034647513671190754
WIF1,0.04597619013349852,-0.054070110493311486,0.037301345933593064,0.0009149205775053695,,,-0.015645715708879966,,-0.03775642176912984
NPPC,-0.011608934370422427,-0.0315072198478391,0.028257628530024444,0.024337446071303618,0.02222791705205134,-0.027496004441201354,-0.016409355958671466,,0.08550375095111663
LYZ,-0.046471871019352795,-0.01419972727756065,0.02928793815838521,0.06845931786799649,0.04202011646809818,-0.07679179678178624,-0.07361400747815117,0.012732714678550678,-0.044633586776485455
EREG,,,,,0.025157727999420794,,-0.02096285336347065,-0.005074406621312795,-0.023689009415859958
SPTAN1,0.04069335036826015,-0.001466770577194918,0.018173566842568087,0.033969403148337574,0.0771536874319414,0.016505115542915675,0.05229886263941129,0.07207852660279017,0.03097784752451173
PTH2,,,,,,,0.0022832213684684604,,
LIPC,-0.021647598377941488,0.0347647197687683,-0.027627615602793056,0.02417914582056524,,-0.0009561887242562267,,0.11870458039375247,-0.03208695653846604
COL8A1,-0.06377685182643021,0.037919354686250524,0.01246368394636758,0.025193412899387792,0.04160276718066842,0.027860096974590125,-0.06975159233410268,-0.0158408100704377,-0.04794679441293932
