,UKF248,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,0.04479557612554307,,,,,,,,,
BMP1,0.06247679496887932,0.05510056763248469,0.06152538623671563,-0.015392549532608971,-0.04964707537466857,-0.03011913577764,0.02524953981934489,0.04459516583816761,-0.00903747445876715,-0.022038460000373798,-0.017991137032876123,0.025281406821375647
NDP,0.0019416383564584757,-0.029995113336651037,-0.05795072491334395,-0.01697911088750166,0.02900713554246322,0.06284776265227611,0.018515337475447976,0.03442826164093139,0.019046566066683358,0.003981127629298807,-0.03690902862856221,-0.0021197185479268766
TNFSF18,0.015371141867065152,,-0.019362436984133143,0.011580821118163546,,,0.2219042127618727,,,,,-0.01051142050320121
IL36G,,,,,,-0.013143814184082815,,,,,,
RTN4,0.0346355617420229,0.025190112793032033,-0.054052723193985686,0.011443289585597875,-0.025507749965388148,0.011481880079348366,-0.060252470389831794,0.03829972877451716,0.05122883458187595,0.0715567902025211,0.031333691948259815,-0.0147855616829822
HEBP1,0.08680590537586486,0.028796445890008494,0.04936207486717705,-0.06783444945531336,-0.09910031623377585,0.054468644258139014,0.024177305392044133,-0.017272715834449576,0.02444860581238555,-0.014711849889197262,-0.007197206736810294,0.04036713556762784
WNT7B,0.048600039992306124,0.001744509210575114,-0.005709536050783343,0.02864280170419698,-0.041971089744849054,-0.014446566499848162,-0.03544013739054407,-0.09150932731139716,-0.0473557663918306,-0.02531703102366221,-0.02006997139618311,-0.01042491587524134
PTMA,0.035701103994144175,0.01704689742325228,-0.017868577577109208,0.0279678666397171,0.05928189243436995,0.03564722301223764,0.03416480017793712,-0.05162270450401043,0.0019955287364527446,-0.02254632908592247,-0.018844390814367173,-0.0009756192057568983
CEACAM1,-0.02438031778659865,-0.016207972327622205,0.03533817915102284,-0.01836162348633581,,,,-0.031017939101867082,-0.026535771584148018,-0.02718239582766071,-0.013320731907298697,
PDAP1,0.024905073952019286,0.0530713165941545,0.03764228119085633,-0.005355390573390626,0.054768553013118136,0.024568678057952015,0.045123303181532806,0.03195798596793173,-2.5361759637445395e-05,-0.0084862022789848,-0.04415095824521314,-0.023790305241683556
QDPR,0.0048889461830993915,-0.006013894655328204,-0.09318160699507069,0.012002428252045833,-0.012976874385219871,0.00012849316490058297,-0.0031353746921444357,0.1265146928145877,-0.002740277870049082,0.020533834238127466,0.07216408773281863,-0.017552002663361172
