,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.10841515203097395,,,,,-0.02112309190396312,
BMP1,0.1710238108658694,0.039785592583031174,0.04770086028794242,-0.024139531700336028,0.07091253921354025,0.09668446645422604,0.024480919300707362,0.0024972229072131517,0.11250854818861905,-0.01907111106017395,0.0069718278480088445,0.038121447183186684
NDP,0.042993822959317,-0.08078438108005759,-0.029981977436493553,-0.06647510146578219,0.0007745857658374885,-0.03594436222133888,-0.014617970358439557,-0.013685821140652287,0.0814985748202134,0.027777941217421154,0.08850500939456131,0.028881231490185677
TNFSF18,-0.03650226110912183,0.004223769847714902,-0.027397726308059,,-0.012024544652729658,-0.019071992255577267,,0.0658639335151819,,,-0.02337448006577957,0.12140043391662954
RTN4,-0.12753747268929608,0.010326995978810573,-0.08065868606804599,-0.027164659438418778,-0.09440322615499777,-0.06876586487276876,-0.063403451457987,0.06393519037361346,-0.07387225942961292,-0.045673359835408635,-0.0668263340540137,-0.004543143672027817
HEBP1,0.04498299695877532,0.042464250950497676,0.020766734253859005,0.04160395838328211,0.04852388893331536,0.022251831377437477,0.07246526783245258,0.05901846670952286,0.037283751431692234,-0.013511735134589602,0.06892808497405911,-0.02373294419392706
WNT7B,-0.08519668319395196,0.14111178295327498,-0.017018618287119928,0.047652998857388454,0.045715402470764346,-0.046043752122607556,-0.06085616565601814,,-0.012172015021207513,0.016805450409761075,-0.04508545911538388,0.08106342906975295
PTMA,-0.055159362326499095,0.02980559363061614,-0.00877276872195105,0.007537377488071739,0.13942020909261343,-0.07582463628891191,0.08343307555717792,-0.07087985962189113,-0.15748863486264844,-0.014439412964642644,-0.09315939617702332,0.04153578218850976
FASLG,,,,,,,,,,,-0.018320050402060282,
CEACAM1,,0.0061433216580498926,-0.013060765934400512,0.003327545818794071,,0.021968295499882246,,-0.027907575686149717,0.019050186724783532,-0.01626886151126839,-0.009395135527285735,
PDAP1,0.041692214146575465,-0.0937144094873055,-0.023210698371013798,0.01943316289659159,0.05230047436630842,0.02070669029595403,-0.010004040131356168,0.04339919780108259,0.028530816847213362,0.022272046091446954,-0.007211117692318345,-0.006756894006690083
QDPR,0.04229509577094274,-0.019544553132003633,-0.07066971199104306,0.06606551474329393,-0.07849849697557906,-0.03933390092464191,0.044343064360885476,-0.0473596949797431,-0.11247428491346312,0.06545530087708104,0.03786344512193539,-0.03770142482481637
POMC,0.04884496749984436,0.03377185430997501,-0.02320689731690622,0.0018241965434988604,-0.03172317402926735,0.07387087797421625,0.03512824437292123,-0.0032925320056307896,0.05631846580606205,0.007471264029773212,-0.006439106550609173,0.07327790566340568
CCL18,-0.04895253351752003,-0.019721818518551773,,,,,,,-0.04745473231808604,-0.019257769473124853,,
CCL17,,,,-0.023756675378470708,,,-0.017553867703242375,,,-0.02348512294143168,-0.016605067988387855,
VEGFD,-0.00882115554709269,0.08683888250746137,-0.018706926827838324,-0.02646755981463775,,-0.021516059865933797,-0.01130603375659055,0.02366097859365761,,0.0332157494064433,,
TNFSF13,,0.07898137183618842,,-0.016386822985974155,-0.011661299851630865,,,,,-0.00914441065490737,-0.027056572318367743,-0.026057542994951482
WNT5A,0.03750264506046127,0.004067203105423535,0.06459620225110922,-0.0317086057376261,0.1288682299769022,0.09985041533940257,0.024710872815473576,0.07176503599115419,0.03351480156428778,-0.0501835550106972,0.00702248390152779,0.07871898194098989
CXCL8,-0.06196300588474289,0.01443409861703022,-0.017516057486673238,0.04090056036855674,-0.016587442696883403,0.022836022549395766,-0.03220379676130557,0.008392395073270312,-0.05687791088739973,-0.0646801943969056,-0.03808730222980068,-0.025249416774488283
GRN,0.06849787810416995,-0.05858905868107851,0.004158613544034374,0.01268327657649951,0.001296445357033568,0.07931779957473727,0.09489524326262869,0.08974222561613981,0.06896980442996194,-0.05701931728995966,-0.0655369663857741,0.06494241116901985
MIA,0.009155355125012673,-0.011795021604428047,-0.016636632492467746,-0.026452390483849293,0.06698961713051821,0.05967965615171908,0.061618581983496554,-0.07187139335436153,0.09776365473040276,0.04787874104656682,0.054611631209713865,0.018715021301195064
COL4A4,0.05229163940790514,0.005728050928659024,0.017428408015974475,0.014767339839589628,-0.011095211607749901,-0.012656170164780333,-0.008023450964437505,-0.010261551419799944,-0.05999760903642078,0.07383419555669303,-0.02911145445870148,-0.029123249873924256
TAC1,-0.05122308540825633,0.06880668572350143,0.05075264226106269,0.0001618198172831736,-0.07564587030580726,-0.06908699938328032,-0.038790753819533036,,,,-0.021829050345116924,0.05114486254794854
RARRES2,-0.02070030533200844,0.07281670667302746,0.06061963576597864,0.042033125108914784,0.05186064852058173,0.0725566289531247,0.06509332045247587,-0.05893910414392301,-0.03410357437371756,0.010872231710291802,0.06500643120249949,0.03380708470067165
FGF7,-0.04503998901703323,,-0.021114225984371845,0.04084214566412763,-0.020144938226558072,-0.03606815796252273,-0.039697868105704026,0.09477505185004145,-0.004489977220266737,0.12363990833299776,0.05256097862255912,-0.04139523927155778
EFNA2,,,,,,,,,,-0.0154624641041861,,
HBEGF,0.07383284470193639,0.0006921881468345073,-0.02722855274976596,-0.04391747675539539,0.06175317728936722,0.084655074577142,-0.02606247140295644,0.0026165187151770248,0.17917957366188067,-0.0015463969313344167,-0.04927093221837143,0.04292716496994828
CSF3,0.07341072386460175,,,0.04389955343933417,,0.015098096735534703,,,,-0.062409142878426166,-0.017482574957688624,-0.014354322349700655
PI3,0.0021275286386290373,0.10808471761876072,,0.07515623714283341,,0.08558741237883605,,,,-0.048776041530513306,-0.027147823774111905,0.002042518755978906
