,UKF248,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916inf
IGFL3,,,-0.01664926966737714,,,,,,
BMP1,0.04525025163233128,0.08026268896345166,0.09473414389922492,0.026407843759837346,0.005868945609422332,-0.03284113272225765,-0.04896743901567671,0.0023041404697422387,-0.026646729950509793
NDP,0.0386653602855513,0.03259168866400656,0.013745801802154073,-0.014778735612446635,-0.01158950356640814,0.08295739327073944,0.06020055490239134,8.478129948828659e-05,0.11013576170676337
TNFSF18,0.0497123919609798,-0.019666597905512798,0.022082622684802166,0.01857479907251107,,,,,
IL36G,,,,,0.012621493557119771,,,,
RTN4,-0.044828882702191805,-0.0827903698013001,-0.1742131185602477,0.03637923621793298,0.05876528505221586,-0.03452687359910374,-0.04744120071325701,0.026448049293191927,0.05243646454504901
HEBP1,0.055395857651537865,0.028159490032712002,0.07949734555740699,0.02700616615939022,-0.015383527851589002,0.031122164189592808,0.03196333126578236,0.033494429772127084,0.033866813199499815
WNT7B,-0.0449170139026125,-0.00898210409560194,-0.018243645816253384,-0.007603959135185203,0.03400935192233544,0.010283451674517281,0.03870329360325754,-0.04552270085094842,0.11740064584904451
PTMA,0.08765288968241726,0.13167627698670437,-0.05403632481552885,-0.0674330907666959,-0.07847623535045575,-0.008989321432124702,-0.035808405287908095,-0.0020888627091586666,-0.056629976922732424
CEACAM1,-0.01931795090717473,,-0.008880239506197969,0.00898539143431935,,-0.0484502089106498,0.029349832132415234,0.026889780660742237,
PDAP1,0.06759858835086476,0.03997727321471526,0.06520447119917869,0.039659296458357064,0.014317793299683784,-0.014166605804126075,-0.037944129416980894,0.03581925888325994,0.07182512763117099
QDPR,-0.01406646642585856,0.0050564276533802185,-0.1565575903530303,0.013797943289295027,-0.057453882910866644,0.09961605545654592,0.10358216974256655,0.016150305560271295,0.01712232155128143
