,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.018973587957290622,,,,,,,,,,-0.02940477430441472,,,-0.015471719509742079,,
BMP1,0.00496479853245056,0.007559611306932585,-0.029051960188776548,0.025087885763509298,0.041333495263832044,-0.030966654463161027,0.061373360499837694,0.02458282119961693,-0.013269081628268922,-0.012951200792626478,0.1358155571359633,0.00983404774083741,-0.001777567647615239,0.08883395062978201,0.02159938089500507,-0.07627496444676887,0.015346977377487582,-0.03485451604754909,0.024822427830928164,0.006493143570218659,0.012640845973313119,-0.035446512004846026
NDP,-0.036206301052600226,0.13232181546737248,0.012997831483273905,-0.024720521694907155,0.055966160009536366,-0.05573524833267824,0.050669515673488916,-0.02395472306903548,0.01450893689841603,0.07110587908859015,0.1232577176878195,-0.02866457786987397,0.02951917401732505,0.008470751088084035,0.013639452397296616,0.057818239748266984,0.001515680999943673,-0.03217262083119582,-0.033409951969944236,0.019101615081875294,0.060794089110178105,-0.038199340198756836
TNFSF18,-0.020102981183762914,-0.028469503682276416,0.013724605178737997,-0.019993070195437477,,,-0.02817520851385726,-0.026707728341001342,,,,,0.05016894439971689,,,,-0.03032462471539668,,-0.03314018299682983,-0.026098024753416167,0.01195066036604771,
IL36G,,,,,,,,,,,-0.020208474867518405,,,,,,,,,,,
RTN4,-0.034477721899196484,-0.056600050364681076,-0.05107150436217402,-0.030412566921122743,0.015776680329612065,-0.02560854527609713,-0.04761771202973878,0.03207125384099157,-0.015367281480782516,-0.02675326597786842,-0.20823502854013587,0.0475604752016819,-0.036110301719645035,-0.08617412860299671,-0.04713278618738168,-0.02398644114834212,-0.0295052776674189,-0.038906088099712195,-0.023200736859467705,-0.054062387905024066,-0.0986769693750499,0.02989678606277002
HEBP1,-0.00125315498226373,-0.04595136790733846,0.0005095012926187067,-0.02781373862380969,-0.02915766005886461,0.03659654442269116,0.013962642884654475,0.03704642884680148,0.02737960948317801,0.009908518640906718,0.02862722814856615,-0.09081260492384204,-0.06999922168776818,0.04757028242424812,-0.0020761920882952966,0.03239801376385625,0.022390861111904543,0.03701834212770285,0.06430360266817813,0.025823750646733305,0.0013689855570959662,0.04929377533576123
WNT7B,-0.017710096780015387,-0.04579504202502984,-0.02677421796357674,-0.023299353826174846,-0.01920867484324072,0.05027968436197807,-0.038333311044206446,-0.0540932595240731,-0.02595229971105812,,0.016766533727401244,-0.055489129294122634,,0.08153681383296708,0.08635306832703646,0.00904306939136698,0.005379155182010306,-0.020948082660896865,0.08411338299959319,-0.03302308111769798,0.03772657810137879,-0.0012040611808011952
PTMA,-0.08313740092469042,-0.12307543257410433,0.03172777446590316,0.027062707454764568,-0.02197927117182941,0.007831396519347493,-0.05049152190274697,-0.0012518302969184887,0.016834129025141736,0.06167476481072878,0.2066607400264632,-0.1520005995615043,-0.022639068930026034,0.0027787954087154006,-0.08430553663841503,-0.04158751062265786,-0.0004101689925040587,0.029435580512989414,0.09804296779862688,-0.03501227046255775,0.043638002425705875,-0.006852273825489156
FASLG,0.034750995948363436,,,,,,,,,,,,,,,,,,,-0.013418617052545925,,
CEACAM1,-0.024590631323985316,,-0.02328924143291593,-0.017880852699819663,-0.030158883337710704,-0.047625734385754535,0.018506383638205955,-0.00034780744269842105,,,,0.06695727810694894,-0.013110769532359609,-0.04119806473083709,-0.01735358063993185,-0.017888123057721056,-0.019633906653665732,0.03851577278361021,,-0.01867003479250834,,
