,UKF243,UKF248,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.016360139485465844,-0.014806182262972782,
BMP1,-0.032641204280592216,-0.003756801935142486,-0.0104262854461228,-0.005999329765605337,0.07512012675123703,0.027414003089066843,0.06200576835199395,0.11332142593938369,0.005541746753522045,0.07986788489363603,0.1054003410826158,0.03701667570105423
NDP,-0.0365445328618435,0.019688426228397934,-0.00859851133743043,-0.04949238183224073,-0.002586553682883963,-0.02882927247515084,-0.0514320145246681,0.0859342488761518,-0.008337946667230114,0.06250306834047817,-0.051082581922263885,0.02476717982247368
TNFSF18,0.008495482879779038,-0.024830504610871256,-0.011674764661574738,,0.04040289862413029,,0.0005845466397256948,,,-0.016871923077940776,0.12053433891021476,-0.033635485392931416
RTN4,-0.09748432933977592,0.04319721015492659,-0.11176333415266003,0.08018061650068604,-0.022187745412767232,-0.0804303090627807,0.05582393192563491,-0.07144702728385882,-0.0463492189041918,-0.10207077035075589,0.009990999824950235,-0.04298000581423516
HEBP1,-0.006112463665560572,-0.024289644396331193,0.02282722459654254,0.0031843379635282743,-0.02385996920555399,-0.049869123909725574,0.07968719348268513,0.025417603074981667,0.06028807351036472,0.029194422763369036,0.0579141241486299,0.021870983594901347
WNT7B,-0.005366951106092582,0.029308935843161833,0.02414992189694021,0.01796532352855115,-0.03444036584117409,-0.025430908011533433,,0.018490709266738934,0.1314990277074962,-0.03528055605903593,0.1944973308750425,0.05222420278004416
PTMA,0.06004418123292808,0.0017733814848720222,0.03515828762809557,-0.03979402853001584,0.044934464890419544,0.15779059456637856,-0.017653114962373893,-0.1061856480329821,0.0056793487189198966,-0.005821212505663904,0.10232634800272239,-0.015026642049219972
FASLG,,,,,,,,,,,0.021604783370074074,
CEACAM1,,0.0053415123949120055,-0.01836162348633581,,,-0.07744907562778651,0.08690603555460709,-0.027509530102845226,0.04680989894884358,-0.02424319201039038,-0.025343713546556637,
PDAP1,-0.025578184813895063,0.047734516137539325,-0.07412343011596215,0.001307587274795784,-0.009129521323924479,0.0914069730230723,0.009902595726902955,0.006195975073258813,0.01752480487390973,-0.003295830503737554,-0.03417081823779509,-0.048364082854751474
QDPR,-0.028915449572546232,-0.024004268854325134,-0.10545178148204996,0.04042754871666416,0.0829656631916204,-0.13939895227858654,-0.006657143543162154,0.016638735868599337,0.040868447536183586,-0.11279796988210827,-0.01848571634028623,0.005129555104461518
POMC,-0.028524716017374892,0.06930956706212933,-0.013546473694648937,-0.0023580077593050096,0.15549676280499256,-0.07487610585138414,-0.038495068997937365,-0.039968013876345694,-0.03743476454616868,-0.01216831185758885,0.06891558840815963,0.053011409084924924
CCL18,-0.01289509964466813,-0.019721818518551773,,-0.04947482157153015,,-0.06640853332312116,,0.0761975798684708,0.015485624474727708,,,
CCL17,,,-0.01456070453984554,,,,,0.0940163320433373,0.028509011067914803,-0.02156989886781686,-0.029461161801829335,
VEGFD,0.028969745135776277,-0.019721824781152864,-0.015513199125871216,-0.019311663136650736,,0.0038358637548127207,-0.06069334462582015,,0.011397687747827243,-0.022749585770954588,,
TNFSF13,,-0.01488272184950288,,,,,,0.05695463578190041,0.008132724051507875,-0.0011679727919388949,0.0048078673036579265,0.08646104255821865
WNT5A,0.03810664411928551,0.057046968589942015,-0.056495473681798754,-0.024796872308914853,0.003047683056812804,-0.09062007882398686,0.04797618260086294,0.07861152202807066,-0.04383158390585263,-0.021426939712776386,-0.0011577381568624976,0.012914861127081642
CXCL8,-0.01319355301838231,0.01937653661062111,0.1120005717360498,0.010646378172518978,,0.04254341490581594,0.05143229680436493,0.04765905010008067,0.03393301284335371,-0.03062455448614703,-0.03926937183693653,-0.02125053911632053
GRN,-0.018426890581896737,0.011361654187575869,-0.0021565889293348015,-0.040020896149069216,-0.07427366368080843,-0.22763443126739305,0.035682315689247256,0.09322419681797078,-0.003941643335409374,0.041562713931905707,0.04072708330132809,-0.03339105890151745
MIA,0.05772807406463545,0.0023787887721545644,0.04124852132845,0.06082960610484956,-0.04710892559156874,-0.11279020200136267,0.037836744976335684,0.009844006660586201,0.02999543203094527,0.07668178774387888,0.06583588263467346,0.07027459908638996
COL4A4,0.06048334112131537,-0.009381123788851156,-0.015201826028453276,,,,-0.04752408415079216,-0.00792100875704846,-0.03737099595705429,-0.0026531486022181834,0.02997527061040735,-0.028724956157275675
TAC1,-0.05909258613396794,0.022175019419316672,-0.03769743009612038,,,,,,,,-0.00378754469366311,-0.008304940453539342
RARRES2,0.027589687113683068,-0.01231160961335378,-0.07808832496106108,0.019998094606900187,0.02348051594653612,-0.0975760201080026,-0.0822966783667924,0.02409627424445823,0.04121891174286964,0.07316459375143179,0.02515248771595862,0.01143351356428389
FGF7,0.05850063868284995,,0.05077840036171504,0.05118932366943313,0.0532768884585512,-0.0376782885832077,0.05520812960396849,0.03405343406181465,0.0021030958203799104,0.008130191155667623,0.03133310797323213,0.0027691198220363912
EFNA2,,,,,,,,,-0.02218311189748748,,,
HBEGF,0.027996945012187125,-0.0054829560896174955,0.05439322362962328,0.001249791839462516,0.11278503785610665,0.13022180711181897,0.0765683616695429,0.045635610327267394,0.06741524420623574,-0.027457626322544768,0.12784232614313473,0.12145552885293552
