,UKF248,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01924621138280147,,,,,,-0.005441811472115185,
BMP1,0.04432913587596825,-0.04360388548911889,0.046594789288113114,0.09752623352084623,-0.02152912756222508,0.08728425482412229,-0.041458212939422735,0.024768166723580693,-0.03250337293472814,0.02315257008184433,0.08470574406904137
NDP,0.03497041083003505,-0.014852626702652904,0.021731953445918113,0.0022332954196058706,-0.008273416109349983,0.11225969824605701,0.006954670920238004,0.06548551677002287,0.04629351235424614,0.09974948645591794,0.05828719188935408
TNFSF18,0.05536714653715614,,-0.013633041871844144,0.04153077067432813,-0.011533387295684816,,,,,-0.011026723661782834,0.08605391421595461
IL36G,,,,,,,-0.014899816463122884,,,,
RTN4,-0.0117916767658046,0.07496854999426834,-0.016290170984001047,-0.10524118103289713,0.060476806046581504,-0.012964067786490082,-0.0070071779810961,-0.03558555151693477,0.06572647211663912,0.023793928272191935,-0.12058492772481322
HEBP1,0.01810902411105358,-0.025899913810454134,-0.0009150552501871196,0.023563620534438882,0.017106838230355737,-0.004078383689413503,0.019016002857441188,0.047681002934771045,-0.06773066694781861,0.018534638058942676,0.014486900847227887
WNT7B,-0.04081392243076286,0.032930504081543105,-0.030791844441702958,-0.019004784881270744,-0.033059381067000494,0.044442814848201555,-0.01637661536867333,-0.003741666721756493,-0.022607380598533698,0.007878711385490407,0.0042249735975852165
PTMA,0.020146466227878104,0.04755380650497293,0.025153543960343715,0.023783434023438833,0.056336241245306645,0.06820990451596748,-0.021587664956020058,-0.04668872115487006,-0.03576763547499598,-0.09054138754182162,0.032863814769931755
FASLG,,,,,,,,,,-0.0206269850490515,
CEACAM1,-0.01156582965903149,-0.03241455248492995,,0.02665762064873151,-0.018139270570691642,,,-0.02511651359263542,0.009387098932728398,0.06791940828860468,
PDAP1,-0.030461529607949556,0.003926342609724541,0.04938581560690743,0.09674573655959885,-0.009625956812136294,0.09061949355674405,0.01953877966252623,0.019078758752862246,0.03900735324742989,-0.00988413369844439,-0.007499741805669259
QDPR,-0.06327281164897496,-0.02308152402006339,0.0011636841053220314,-0.07962571735760164,-0.0015657503163744666,0.04525982195674321,0.03696910456020231,0.011288416177951018,0.02797888714687789,0.06030264390241654,-0.0905767775175655
POMC,0.11015080602980432,-0.030185746446575783,-0.015727640903039387,-0.005362657899729532,-0.013382430579129018,-0.024535746453650614,0.08957386578833833,-0.02923529900715318,-0.024545959058643544,0.05772381326632864,0.008284942923190429
CCL18,-0.0315493896454,,,,,0.05156214203017962,,-0.007999531074743575,0.009685955999730265,,
CCL17,,-0.018787875537111195,,,-0.014384379439253138,,-0.01361140534470872,-0.017818950720545228,,-0.016830950803875852,
VEGFD,0.000619649716657114,0.006159764112789877,,0.06826238160158282,-0.01532533964497221,-0.016577342123680006,0.12220925923717853,,,,
TNFSF13,-0.023808189400606757,-0.012959456060428521,-0.013221206602723549,,,,,0.04310628449699624,-0.016849437852991974,0.01365060493770245,-0.01189992149332876
WNT5A,-0.03366777357247166,-0.011198169811310676,0.014840338382785872,0.01158486442798353,-0.031168296895793608,-0.0011024254231868345,0.05450693827937436,0.030434089207914256,-0.023972142733086683,0.021830752942127024,0.04814166590772236
