,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.0008883903750239741,,,,,,,,,,0.059880116763606585
BMP1,0.006519480163054386,0.023116238028725398,-0.03570933144697408,0.10702334529523712,-0.027947788224989688,-0.02074193110708783,0.18554194582945438,-0.005539010114275739,-0.005635125301414887,0.07847562231568186,0.0527652776959389,-0.003118788231254509,0.020205367944223493,-0.007569467721333101,-0.02802843953041787,-0.05609058291132192,0.059268074583787744
NDP,0.02047798300924995,0.0019442925759459951,0.0849498599568806,0.038904976728012984,-0.021190042325136292,0.025159607418934374,-0.011294676400446858,0.010419826765294288,0.027147308390996175,0.06032422491311122,-0.025928098712421428,-0.06988135936374919,0.024805586533881093,0.05970707479327275,0.022270428616970827,0.04450181915347583,-0.020084689279369287
TNFSF18,0.10032099120566909,-0.004612118442628954,-0.02739772757992678,,,,-0.013458060052481338,-0.01650311597171086,,,,,-0.0197408429823827,,,,0.02514772364593142
IL36G,,,,,,,,,,,-0.017926780088405436,,,,,,
RTN4,0.023676478458376626,0.07926613472432775,-0.04554068026610575,-0.035744648256258345,-0.030155200789655213,-0.005438012492911149,-0.11804989406229713,-0.03470551810556717,-0.04668302183242908,-0.015355396502126663,-0.026162406144458254,0.08656571959385526,-0.031156162164777953,-0.13155371374773295,-0.004939009308241391,0.09084874835273266,-0.012111063980392241
HEBP1,-0.06154796676216194,0.017983386044134856,0.017287674268111033,-0.023214391755846914,0.038147735218907144,-0.04773765833594134,0.10452502310749719,0.02248498742051056,0.047286651461203526,0.040658333195429726,0.04844701406989208,0.02037269628430541,-0.06812443168055922,0.014401470348425163,0.0626184933756858,0.021057536922845142,0.009065694010860145
WNT7B,0.009699806730215412,0.057526769705197434,0.001941278284057631,0.047026487176985265,0.027611894405080016,-0.012517196196894462,-0.08446359194045945,0.009076263568049206,-0.01291339626739235,-0.04952417783132131,-0.019703597224383227,0.039553930197766825,,-0.030936018629374253,0.018829505177708677,-0.0027724305110042266,-0.014736092559172131
PTMA,0.02364469593053548,-0.0029659469693993573,-0.026161464053892976,0.0846898296109954,0.008039330772836343,-0.01406903115223866,-0.08815136092735881,-0.08041693922793412,0.0681078863273423,-0.01923967867611124,0.05297938674708761,-0.06455783176434364,-0.017419868500588194,-0.034199130456412034,0.04494510062483539,-0.026931729837341954,0.011192555145461767
FASLG,-0.016985062219046908,,,,,,,,,,,,,,,,-0.024912841679224057
