,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.013977905554120958,,,,,,,,,-0.017996406244935377,,0.1520291945307271,
BMP1,-0.025971880201481543,0.004150057386060651,0.03109580577149002,-0.05279782453290904,0.035616231328370086,-0.00042735038047078525,-0.016196058737565612,0.14177902827621078,0.00807518028099003,0.07359752939193241,-0.021492048269082485,0.07497159813079438,0.04039170570667561,-0.027283520397113042,0.09048743990423445
NDP,-0.0011569664840290709,-0.006498507843968865,0.014465336823219939,0.007557014008623813,-0.05509757551083796,0.027887578254068575,0.07416528788417254,0.06872927906221561,-0.11023695957955558,0.03169385779370824,-0.00646981001301493,0.08467183391926518,0.01754927809805832,0.13287313237084034,0.0734532924437209
TNFSF18,0.032548945190097225,,-0.020756770119645804,-0.017588837994221056,,,-0.032191894455829956,,0.04751000244973017,,,-0.018559376105177314,,0.0030696927256017785,0.006193210995518104
IL36G,,,,,,-0.011836000204446428,,,,,,,,,
RTN4,0.031129633830250546,-0.027253571342180382,-0.013547061268625121,0.008866130383278818,-0.06697293103984239,-0.015759403795267544,0.0367786889100322,-0.1533573154180361,0.13418560837188193,-0.03016835788958071,-0.020650278078477535,-0.1203313329279684,0.052645979716175025,-0.06011598756902759,-0.07480560359191055
HEBP1,0.04312516396812262,-0.025534081876301826,-0.013404858048747342,-0.006216435355829234,0.019997615309375237,-0.04504601403496972,0.05033905941622353,0.07800660647085243,0.07466686926157623,0.005504962282446134,0.0021625996693270828,0.025171510012862344,-0.017452528742128357,0.10286289157595038,0.048098447833412536
WNT7B,-0.015248985469673232,-0.022753995280856167,0.011852395325254521,-0.04462800437989401,0.008094147672341427,-0.01300912822191449,-0.013598144676839419,-0.07770329694490953,,0.034400854005010445,0.10213341166430644,-0.026166652592567046,0.0023744329264351128,0.05753485317941774,0.08321298597517905
PTMA,-0.01627679802114455,-0.05032980643500667,-0.061950855703499355,-0.03744244983664253,-0.013185492647202052,-0.05877825001703068,0.02042048374697424,-0.14464528746058652,-0.07146849234750072,-0.048546777923715596,-0.0320966456422879,-0.05093069936224049,-0.11020415041851726,-0.105254702843813,0.043732557553627406
FASLG,,,,,,,,,,,,,,-0.03386229432211116,
CEACAM1,-0.011702679183257073,0.017832178685513247,-0.027314727260225435,0.022260820814907826,,,,-0.05851253115289296,-0.049722448602737446,0.006535707820696164,-0.018763781048261263,0.010153317020597732,-0.021894376109775775,0.03574140613621995,
PDAP1,-0.044739552515009925,-0.003045126879731126,-0.003950284727636196,-0.01019583121567301,-0.018819801730399863,-0.02168587127826875,0.004347869145390662,-0.0578195817536544,-0.014121341048893869,0.00021674262354782193,0.01985219495881503,-0.015921357722220423,0.019938047444204222,0.06460589851503845,-0.06519906841473652
QDPR,0.0025784405245287308,-0.007621015217262372,-0.06624818890176526,-0.009813657955914944,0.03766164230639298,0.037123957045966806,0.13064237291460618,0.024483727995067307,-0.01916401590295825,-0.06323524268026677,-0.0064794176035001035,-0.05347045600129436,-0.020460912721393953,0.0994588032193151,-0.037385691779618854
POMC,-0.02079379383281234,0.10143943480280294,-0.03521019775992846,-0.020408696715948964,0.012414043918471089,-0.02535875729785582,-0.04934096853129768,-0.002130736437042574,0.14257523136976966,0.04997898755233886,0.04372101120253858,0.04059182363302729,-0.02533066868410993,0.00462780109698562,0.016104491655314784
CCL18,,,,,,,,0.0456450126633003,,-0.024719286085809925,0.10102244517436611,,-0.03629241375728626,,
CCL17,,-0.015228933061595151,,0.16756806763640383,0.015408818320911365,-0.010812522210693684,,,,,-0.01331199446120998,0.05909378762529385,,0.05405300443245101,
VEGFD,-0.01676174002890936,-0.01696671315743807,-0.006323802781482056,0.023521499882797493,-0.023213876619755405,-0.011588114953092083,,-0.015312093737844874,-0.024002265448400048,,,-0.004605962750554961,,,
TNFSF13,,-0.01050457719230214,,,,,,,,,0.09166039672389718,-0.00545711882263817,-0.02458591695468357,0.07327878772029008,0.0364440612948215
WNT5A,-0.025488968159490075,0.023541974352881925,-0.029661900003877167,0.005497452898822825,0.03855800221267937,0.0009139326140903744,0.06690594506000402,-0.07533435385387936,-0.1042398311499434,0.05647669807923079,-0.010607434225547096,0.035006476616817786,0.03734483570112947,-0.035033700615267636,0.038844582547714494
CXCL8,0.025789795546329704,0.005096251038411295,0.005012033073626136,0.003044188501814152,-0.008488905072276603,-0.03484102763357866,,-0.094029119252882,0.119352059426101,-0.04352219503839271,0.002597892399851417,-0.033687483171673395,-0.007755602703657335,0.004664868237248256,-0.017532210358177067
GRN,-0.005719588605961897,0.016256067266554344,0.002002260064197092,0.042402950670548174,-0.03750775741964109,0.08603848505123447,0.05165562344471798,-0.009027535839553905,-0.007673394422421845,0.10779378179886831,0.05422208307538735,0.08863853951282145,-0.030457993678711215,-0.0946409589990517,0.07959694658473708
MIA,-0.014906719385905366,0.08120983735518358,-0.039929177283035897,-0.04311688468046681,0.08442257943210559,-0.015870454483295823,0.05741645972807813,-0.07791004622229242,0.09019721397087077,0.0012415362401291686,0.11534256727776089,0.07934204687412827,-0.006158127365784281,0.14407196428870753,0.05887387858045509
COL4A4,0.0017134791257503647,0.04040044033080919,0.041590135688596666,-0.011049487836375042,-0.01780754358198974,-0.015394929628349593,,,0.00709157849884755,0.06069519386613538,0.029940727923357807,0.03629068277947942,-0.0010523686945170367,-0.025014304776176163,0.14966896091111823
TAC1,-0.0469478474144675,-0.008697035773688008,-0.005129199765271807,-0.023405702868710094,-0.0121145627164929,0.05001098865954821,,,,,,,0.02729811400008309,0.0020134641919576897,-0.025021153248428924
RARRES2,-0.0751919384627331,-0.07509644142282716,0.014334264361390774,0.02590769265967961,0.014312455310757543,-0.03293684122661893,-0.01259277865101739,0.02786753409173389,0.019675306684506847,-0.01665495578109669,0.016148443454549712,-0.02344820541009625,-0.000454609820907318,0.07585689817611413,-0.007552726800446435
FGF7,-0.018918723001311907,-0.026994696835559745,-0.029054807203047966,0.025171355171499016,-0.0058804349046632145,-0.041416644968438755,-0.02852144826887247,-0.08853139655394195,0.012635670556622786,-0.03383741713259658,-0.015087917232805339,0.020102831331164445,-0.018545809757645467,0.1187356127169039,-0.05247135873321309
HBEGF,-0.05868890476768698,0.0797420540496043,0.011441826947750738,0.05899537028662518,0.01990730270481075,-0.019760808626845497,-0.014107870272545384,-0.010959949310680686,-0.0014774077389300606,0.11622897751727909,0.06843536179695874,0.016210180890901173,-0.02275271309915559,-0.046029328559736515,0.08742664132812888
CSF3,,-0.01815156035249213,-0.014572826218855474,,,,,,,,-0.059023333076943546,,-0.031388578895930594,-0.0054333762058385235,0.019481270657095845
PI3,,0.03726039005016346,-0.016409194662918306,,,,,-0.019392220886389387,,,-0.035916302015556574,0.004210859120132832,-0.023418087209365016,-0.028297096322198505,0.0018458278565060087
PCSK1N,0.026224347499730807,-0.02149907853993123,0.045058963950641066,0.06974457104969682,-0.030963892266559125,0.04226099365382959,-0.03572711090683858,-0.00416283608337269,0.057078444237915964,-0.06367024750037478,-0.010400895021856909,0.015712578034435695,0.04903285072796345,0.06218189187182745,-0.03180117937776681
NTS,,,-0.017911756408128178,0.06080639730302333,0.006507524665280774,,,,,,-0.031055497350449317,,0.01522846532234262,0.11827215780777947,
SFRP1,-0.007909881862828675,-0.013287832749183917,0.01231366901662626,-0.04214892697206004,-0.031647572087227745,-0.030874539641829957,0.10634034806872188,-0.05775246736439269,0.03240780725910431,0.025651632137424135,-0.014496658292579203,-0.027455881230074114,0.010287916727159997,-0.008277184022737057,0.005730684194830738
CXCL13,0.05822189715985787,,,,,,,,,,0.02710082073699251,,-0.029117661591731507,,0.07199967009209161
MICA,-0.041887845934600404,-0.01867081779071792,0.0457114888297636,0.09122373247755398,0.00843986838228011,0.0052385759678161,-0.006719387801215358,0.05309681809352497,0.05940611438524748,0.058204618996271516,0.08707989183353723,0.05637374423302328,0.06594220644511778,0.011436620287942737,0.09103167515425414
TG,0.024823253885581254,-0.01433967678409954,0.005064035655099136,-0.009506803290449955,0.016017665356754033,-0.016241934039121584,-0.02323416620123171,-0.006138183113097317,0.059412160936061414,-0.02190401950778599,-0.017688312449588163,,-0.025833282766485277,0.026736612227647713,-0.04164562914049202
ADA,-0.03287472969006061,0.05584369414501188,0.023016109590417277,-0.03632727706130244,-0.03719665533225743,-0.014262419100393968,0.033415379370440895,0.05090067390097188,0.07824412309827825,0.004584233985601964,0.030117461609465702,0.0395806384049171,-0.002940333242607193,-0.02111189375532776,0.0064136225707554
LAMC3,0.0685156982523291,-0.006855760283564135,0.026927520232697753,0.027062334128702337,0.0018408916812993378,0.006858789049652199,-0.06205151832688733,0.04079643293366901,0.002367688004504877,0.10824262168876078,0.050484950067028224,0.05320748703935144,0.02167777811325168,-0.08624605195022653,0.062057320946012434
CCL7,,-0.01036756340398213,,,,,,,,,-0.01995161127435224,,,-0.021385379653695316,0.006589597726196091
NGF,,0.00010546133270000287,,,,,,,0.017164740749989586,-0.03673441977957191,0.15126944790606847,,-0.01816524444984761,-0.0707123864029897,0.08358454054859961
TNFSF15,,-0.011544788921364697,,,,,0.10343803414654137,,0.09348527727086173,0.07999700330615109,0.06726810039926788,,0.03846785520084878,0.002198052874955709,-0.012514671680065283
HMGB1,0.07770930572126325,-0.027677304137083802,0.011640198810283355,-0.053916864679064994,0.06438409736005836,0.038561926549834875,-0.1080468994854058,-0.07509367158028755,0.010792106114479541,-0.00921470951936616,-0.042354455841053816,-0.05586022286805124,-0.03619295380039674,0.07278526186941163,0.014246518659104016
ITGB3BP,-0.02346674654088901,0.03404403534726196,0.040020850747003706,0.007651378795391071,0.049637696607496874,0.02208019807264917,0.019669478970404393,0.11113193641873,0.10527986918459001,0.0948978957419112,0.06138901580790144,-0.03322383969657468,0.014350955969197235,0.04628615841556057,0.014025868878926333
AANAT,,-0.010504578313435669,-0.01314508361807318,-0.00554976497587015,-0.015188412079144458,-0.014503964316725166,,-0.005660594624316724,,-0.025746172644874075,0.031425074069165844,0.10833630258983785,,0.12122431116648343,-0.028447763370681473
RELN,0.02467858231422157,-0.002613859529378454,-0.00695456873610897,0.04572638516078723,0.004545013062167316,-0.016057140387118498,,,-0.04674114377083087,,,-0.00910927465226389,-0.023543944123365527,,-0.007408382949182425
IL15,-0.020273282628519743,0.12832951604496642,0.04691483739262975,-0.03455582728776903,-0.01667262087169075,-0.013451756541436733,-0.026866030663754335,0.11675931049115018,0.03013909350113832,-0.026208172561656987,-0.032066566221313215,0.22433531576364518,0.051967074398522085,0.06708944960687763,0.07153112196648381
UTS2,,,0.02307175553332405,,,,-0.05763990279404069,0.04745366063474348,,,-0.014905249628230262,,,,
BSG,0.00181021851670861,-0.02966636807755092,0.02557849411685585,-0.0380089771125103,0.023249021146570733,-0.039367431490349956,0.03564513593862395,-0.0827412265312789,-0.0319825179294351,0.014277257534493661,0.1114687013184701,0.10481140997243428,0.025421057302389288,0.03384570083672241,0.05154340963008977
ADAMTS3,0.010863606303393687,0.005127940095528126,0.03373516118057811,0.00959444482059542,0.04323990970621017,-0.022352477920448876,-0.04124057991371541,0.03157317006912548,,0.05953810466515498,0.04585397343000512,0.012621561939198457,0.011436071993780307,0.12488348439600816,0.055767477806523434
CD34,-0.023358459936282557,-0.009338962152906567,0.04608342947184204,0.0014493436063930886,0.051701337166123996,-0.031152112912151867,-0.031240620316383083,0.11112286114481987,0.05231303299702068,0.048412717002615124,0.07159412388306285,0.06250680575214501,0.015982415351124043,-0.0350450331059855,0.0018644790406422552
CCL23,,,-0.01495701851268408,,,,-0.014979572117725071,,,,,,,,
PLAT,0.06679881648373269,-0.05076469276064413,0.029533601732460203,-0.007007344021560979,0.00889016102829512,-0.030622993931375856,-0.04119753646086659,0.04169088001558848,0.03311382646850436,0.07697162800767018,0.06477711970464628,0.12798709262922797,0.005703799149539743,0.05150233736262492,0.09572579141288
NTF3,,,,,0.018370402809508045,,,,,,-0.019595635613742005,,0.02957314790596914,,
LTA,-0.011702680384161574,-0.013287832127558213,,-0.004468520962277242,,-0.013451758201927837,,,,,,,,0.08569948294662329,
