,UKF251,UKF260,UKF266,UKF269,UKF304,ZH916inf
IGFL3,,,,0.05097983229062515,,
BMP1,0.0037792043774091356,-0.020880169585337154,0.025010415200974738,-0.07767064334420945,-0.05234978061891316,-0.06699297057488221
NDP,-0.0076224458176038104,0.006902990235024727,0.008632115474239544,0.026073129012221773,0.06880518545589079,-0.024276468833034814
TNFSF18,-0.03060510690635542,,-0.012024544455416434,-0.01786539718728201,,
RTN4,0.01796911022928514,0.027847196217630286,-0.128587811543313,0.06589859436821759,-0.06180629116382881,-0.026631989404706787
HEBP1,0.04870825749966718,0.03764203045912239,0.05897957549659008,-0.04961471697926003,0.055621746502499,-0.05941276463754571
WNT7B,-0.019010943689971516,-0.010023987094653455,0.023542542249063977,0.03611627264080673,,0.05970705346872788
PTMA,-0.030129521468675518,-0.04832389273186901,0.16027348894202828,0.022058657350252215,0.051735174438791824,-0.02483313348138117
CEACAM1,-0.014589755850785105,-0.01697434604629121,,-0.023509845161523327,,
PDAP1,0.028513582829876913,-0.039019747951126046,0.08328565851591618,-0.0600947613867868,-0.0048553241934461994,0.02213375422606734
QDPR,-0.04931422818472711,-0.007829134488750127,-0.07406356022421291,0.05116112755857561,0.0341403935996653,0.11246324462164821
POMC,-0.025923668459298718,0.010464175635453217,0.0506425631915971,0.013056147741302187,-0.03352742027560855,-0.0700912154554949
CCL18,,,,,0.03731823460437925,
VEGFD,-0.02089689812278153,-0.01624009324087587,,-0.020154840158234443,-0.00574172635125846,
TNFSF13,,,-0.0116612996602782,,,
WNT5A,-0.011128093754837429,-0.015039010638604315,0.13805309824367143,-0.09225491819137899,0.06978537472151795,0.025975202357145857
CXCL8,-0.01956661680351973,0.019051411046489126,0.02773164014217717,-0.0041891570840948186,-0.030748557315095085,0.00028093990987372624
GRN,0.022894988327154298,-0.04447256226781915,0.048519553680849224,-0.06778563868584252,0.035325604890294474,-0.0839047474115954
MIA,0.017374097774175746,-0.014559429693223033,0.03280650117032272,-0.03436712973217661,,
COL4A4,-0.031253156111206215,0.033801664854217164,0.22100762837050564,0.020911644012054715,,
TAC1,0.0402059909324698,0.0804612108435817,-0.07638202368513167,-0.007030388176939977,-0.06754891756239112,0.04722246965891816
RARRES2,-0.025964084267015627,-0.07659834056223251,0.030563918417284258,-0.04638298948650988,-0.030798341346783605,0.09320385898171189
FGF7,-0.02358601353377883,-0.01965407298672904,0.03844278306525888,-0.0337862955887926,-0.0065543032808023415,-0.01901176146581343
HBEGF,0.04923216188767419,-0.006110505502152992,0.020007103118301933,-0.0803839827630061,-0.0626989396878526,0.00863842204213291
CSF3,,-0.011835321059309654,,-0.012542863221994037,,
PI3,,-0.04981806229370663,,-0.014123429535840818,,
