,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.026891137679926624,,,,,,,,,0.00042973423713568953,,,,
BMP1,0.07404975848438132,0.02252193687717825,0.027910473611032383,-0.020023579082628362,0.03477527759881093,-0.023417599235824073,0.1173510004404775,-0.09745140516584974,-0.06683253787485999,0.02900612374637267,-0.09954558528049176,-0.19372881376350262,0.02412472644894373,0.08608274748776781,-0.08133444693262412,-0.1208188178136937,-0.04800108554482399,-0.08183992575986362,0.01576487218405815,-0.038819678143473826,0.007094004337587595
NDP,0.019930835990615885,0.06021386748784405,0.034823262667440014,0.03403788157235482,0.05555272262783988,0.06828349704147023,0.05315627669904741,-0.03832409915349237,-0.052237280501845194,0.006384849732441479,-0.11274941079808866,-0.022206971047459112,0.03492030194947337,0.10950445205961785,0.07013825640547067,0.12638523727694895,-0.062420034062185235,-0.008794070628069936,0.07817907526632417,0.07193894203252184,-0.012556750329091782
TNFSF18,0.09761281330339365,0.10771625053117596,-0.023228125726605153,,,,-0.026648139795578278,-0.039932532160615576,-0.005511321493074936,,,,-0.04339413694171195,,,,-0.026007791968057338,,0.04101246657818167,-0.05046098321358984,
IL36G,,,,,,,,,,,,-0.03494474212865913,,,,,,,,,
RTN4,-0.016995610092786762,-0.027994870221101507,-0.014585619474133208,0.036072561801454066,0.04766664339205669,0.13641142088690486,-0.04296414509187104,0.11294824672081154,0.0416658173717898,0.006010637242975449,0.22719392414864903,0.2687772404715172,-0.013591879808698188,-0.06549560597914994,0.15493245401720648,-0.006268944545714856,0.0519136950736615,0.24121751736273048,-0.06035766564195506,0.08354579139892232,0.04291698794852339
HEBP1,-0.015935406896171345,0.002515001571832082,-0.017892814237508957,0.09326488677156793,0.011450426268934078,-0.013507689491806828,0.07943893591797606,-0.016683797253430183,0.01307392755491943,-0.06490668176326028,-0.1512445251581124,-0.05048615894007082,-0.012615473181189114,0.019225364178381363,0.12751119122969512,0.09100138277792769,0.017081263410347183,0.037397011994452785,-0.06155787332625597,0.051269314821782735,-0.01149609195493693
WNT7B,0.06190441826555373,-0.0002802670708600237,-0.020649632077016436,-0.0436238509967369,0.004773107906366008,0.05437909371144844,-0.03775469063590183,0.009714709552727633,-0.0015987557161769067,-0.004257998413156473,,0.10823557402472989,,0.06973297786770745,0.04491642935370207,0.022467037972657724,-0.04035891168826682,0.0329949646428602,-0.007788312693051604,0.057023219898489665,0.006904778488088785
PTMA,0.0171172924349462,0.07747258223454691,-0.0614903770811626,0.03954406532524215,0.042460499352529366,-0.0555397908079735,0.11100692994578387,0.018989614076346698,0.013961739004123275,-0.0745765555784396,-0.35387680882807393,-0.29833127943762455,-0.08904179905234755,-0.060847730719879874,-0.04167627931901948,0.021034058113328764,0.01845147596230729,-0.04307865832008357,0.09067755580171714,-0.18544585217367232,-0.09559341491513192
FASLG,-0.017229910088528817,,,,,,,,,,,,,,,,,,,,
