,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03245748123417382,,,,,,
BMP1,-0.058660075309746165,0.013433471859617204,-0.02186534244924485,-0.002465131785797521,-0.04738398593317418,-0.010889327506790137,-0.23156722100643923,-0.03259577351450287,0.02138300525300789,-0.03901111399412669,-0.13314004115729855,-0.0235941967902273,0.008801206394420252
NDP,-0.024493954013878654,-0.004319046517826916,0.0003115124107264745,0.01160804491991376,0.10567212362631517,0.02178569911136618,-0.08340764566972113,0.031578521664054525,0.09182809798131618,-0.0842402177106572,-0.05782022694546393,-0.008366640926881533,-0.08243679853678558
TNFSF18,-0.019581136844724737,0.007626305196790114,-0.020905633413691345,,,-0.013274978201323135,-0.04819838523245996,-0.024045761056781054,,,,-0.0436858193938188,
IL36G,,,,,,,,,,,-0.019704475223450264,,
RTN4,0.11755354444121367,0.031979980137904596,0.011247271026313344,0.0180898495199924,0.14611564835033378,0.07391610025680061,0.32562685102088273,0.10214597221930727,0.06072480825262793,0.20563270062328276,0.16805055201992428,0.15725285438386433,0.0838518142301963
HEBP1,0.010533665606005712,0.06453246966932921,0.03199788592916114,-0.006939856204669538,-0.013547471893901663,0.001831126432015858,-0.07469251221131386,-0.014821193663129277,-0.005264581171573752,-0.07475697587289455,-0.023023748719807738,-0.06062199915427697,0.017758651417446845
WNT7B,0.11620125437996366,-0.036624405112060485,-0.012985931427945513,0.09376458989944754,0.08740778762988934,-0.013373190068149814,0.16913839963449478,-0.01582672914500147,-0.01754292501812342,,0.057681682703759486,-0.06418469764653531,0.0927163311802677
PTMA,-0.012094855531242645,-0.04281654618796747,-0.02032428993434368,0.0280250372845207,-0.10172276800308878,-0.1087221915590988,-0.031305319776453955,0.08237366195865456,-0.048618037016198976,-0.20754870203361567,-0.19642500263680726,-0.03357465364497287,-0.13469408000843744
CEACAM1,,0.011003374768320999,-0.00996592131976622,0.02024359355974177,-0.015199078877441027,,-0.0634263297911586,-0.008082421603348655,,,,,
