,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.027894573080737665,,,,,,,,,-0.01586388878746936,,0.10072669931079474,,
BMP1,-0.04255234426433191,0.052843735369299503,-0.02543210023959985,0.037777034640350725,0.004987908196901672,-0.024786796032884716,0.010123528693224968,-0.018798172674966588,0.015391910186986903,-0.055732039487249356,-0.05311720068313834,0.04645144034139805,0.011289637817836205,-0.015234032552740964,-0.01011597878151079,-0.08406468658513755,0.029251461873195692,0.04732917883514708,0.004271186179875472,0.04491027543446706
NDP,-0.02787620287425866,0.08652052716943956,0.06821068703627993,-0.015384041943533594,0.04403004957638621,-0.025307522918596587,-0.027250604820843665,0.03299794158905068,-0.04068589649677032,0.029389254279037137,-0.0006954275550674561,0.05903361589117878,0.06350158252968154,0.015068785327668938,0.032910218843989196,0.0031925037911378577,-0.017345143588441685,0.03972671004972943,0.09342900408049892,-0.03455148463217427
TNFSF18,-0.017739768312958277,0.031430598656959345,,,,0.04132325937521725,-0.04142260360686376,-0.019334381572364494,,,,-0.00021702492851594652,,,,0.10555684474299017,,0.03696615503065561,-0.04583698469998716,
IL36G,,,,,,,,,,,-0.021081206806849277,,,,,,,,,
RTN4,0.12110742649395828,-0.011014988714297506,-0.020036702075081177,0.012730669688361592,0.03819675592562358,0.006014605646248486,0.06775340911317979,0.05790660292193857,0.04548602779225959,0.11550560320176707,0.1352448442043669,-0.04224901588286781,0.012468969936821618,-0.015249191563460359,-0.007869696728240786,0.0011386451977211131,0.019406834415488232,-0.022955050629697965,0.0021886786678547974,0.06077623109360705
HEBP1,-0.004598377458761356,0.06807630590353324,-0.06059118724132335,-0.01057727243495877,-0.008276858737032208,-0.01066052931943483,0.01266373129510292,-0.04298441807241099,0.00842752564538401,-0.03581603198991748,0.0017574896544808771,-0.012549246511081196,0.044514026061153,0.08897327735708636,0.018855374197624824,-0.029001879123969912,0.012113379086341707,-0.025893986992039677,0.05453061746046234,-0.02227110910250889
WNT7B,-0.026847963167946003,0.025403366759909465,0.00038200566410323355,0.0068072143176891075,0.05563355038617555,0.04728850645849304,0.012371041545565628,0.05406858364180332,0.09419457318656918,,-0.023170675708502612,-0.030160584801102966,0.042393224511283994,0.007208145371330683,0.037752312111388034,-0.017624649782429287,0.03575655808356529,-0.04083157587684351,0.055858074469407555,0.0981328126883801
PTMA,-0.04636657009302544,0.029252618100860696,0.004482391198601565,-0.0023988805418005267,-0.12336595020871823,0.0036473796878234268,-0.09668612605469365,-0.04041120517370581,-0.06631007639549637,-0.15964188910169955,-0.1013817340851493,-0.0006823367559188105,-0.02867228436706589,-0.09143809633116048,0.004513294419813945,0.018241942903571156,0.018278816105814954,0.04006916977657821,-0.08356444085974352,-0.12105126697360553
FASLG,,,,,,,,,,,,,,,,,,0.0888987338744496,,
CEACAM1,,-0.014893667949284622,,0.12027109801990203,0.051070190321295346,,0.0244855654898261,-0.02132237069699692,,,,,0.1350735851442905,0.02423958097052555,-0.004313635339189729,-0.02350782536101022,-0.032583187174435764,0.03616121358753745,,
PDAP1,-0.04683871012861267,0.028007974950474333,0.015599082509632746,0.03387660835891482,-0.06415138133784924,-0.0015790356423593264,0.006688082124007321,0.022472207656714458,-0.026388099230843023,0.04068452935169856,-0.06436179276471397,-0.01020412842397504,-0.10220468684667729,-0.009020563108126942,0.03153014159116932,-0.0205844324505655,0.01914126947036671,0.005363707211194143,-0.0016817649014837835,0.059741436590176285
QDPR,-0.014308288094972112,0.08272259351006245,0.04055716487836541,-0.0032788228658892373,0.10561991758604888,0.010092908952987647,-0.022753810273327475,-0.01601237350080633,-0.030975025196210006,-0.12940857939195907,-0.0055069773487162,0.06572145219478284,0.16642809802479602,0.07712644809048715,0.015088639033411571,0.03318764726069754,-0.01696705502084271,0.06776840898504129,-0.04054555836383579,0.055225475830657116
POMC,0.005064261785613604,-0.027307963628414228,,0.03535176919887354,0.03364722310913542,-0.061179425875200984,0.02779704770902318,-0.010340136833316908,0.022414783638019842,-0.02356868396105534,0.011521092050026452,0.012091045312015963,0.03390605757671235,-0.002446098245115523,-0.011883048133446721,-0.04017177011538707,-0.017105419183450623,0.030515342603473303,0.04223286041166933,-0.05243865961124335
