,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017106945719759084,,,,,,,,-0.016360137038258178,,-0.03837781301270938,
BMP1,-0.020336729155635377,-0.030359712991972397,-0.04076461699736371,-0.011271163506177288,-0.06347944032366443,0.08382933513933864,0.020294821685661307,0.015301170639948269,0.0660722568341589,-0.021025254768658942,0.022763336871588078,-0.016064262493575485,-0.010644612094778735,0.014613063524398085,0.006981980829088665,-0.006645707479480136,0.08637545659019744,0.03931065619102582
NDP,0.03515343293746702,-0.024601939805541793,0.03844539418440681,-0.011970734642756527,0.06561835203283106,-0.03279126530431421,-0.051858249591409104,-0.011001661755973557,0.03509968646613443,-0.003617756273089838,0.0635915965073623,-0.10417025295547461,0.05346110122848411,0.05000150624910847,0.029510009143005753,0.029708098587506927,0.024767267084758997,0.011668001824839612
TNFSF18,-0.0054875154992656775,-0.012174545147345365,,,,0.024449053277316984,0.0056278784512813805,-0.01288057746955038,,,,-0.02486226946813918,,,-0.01687192055417871,,0.020604721459429265,0.025295389286763153
RTN4,0.007879225092804046,0.0263618636730852,0.030149801012646728,0.07398447103596503,0.08625787680689015,-0.04968361691522145,0.008765008172165608,0.06717562246025417,0.009595768262546071,0.2020828109098922,0.003796212001269028,-0.028834260988190284,-0.027654874851295582,-0.0875953801305766,0.0016521734227312875,0.09183829086813172,0.015510729170423584,0.028168343672320323
HEBP1,-0.03503722243309158,-0.006946341170333797,0.02935526507458305,-0.011582040995361441,0.001506853981772376,0.03445893692605533,-0.018090243664607337,0.0009383751729706238,0.015308706615776168,-0.09892254439017997,-0.03638403890278775,0.08127732010256462,0.02851938261854649,0.014325223495083458,-0.05818104860643474,0.02116526621249794,0.06819758231176075,0.026431295652082326
WNT7B,0.022730755526164995,0.06860109142754245,0.06986282906063478,0.016320271420270264,0.004856807283514211,-0.04068015352082714,0.033648048584340194,0.018304765395419306,-0.01957460981518326,,0.017898130602169694,,-0.033285773248887235,-0.015622643005152783,-0.03528055078164528,0.035337328491679684,0.02357741806131338,0.026375027406667317
PTMA,0.021797289759705983,0.02526377477596196,0.08074585953824456,-0.058927045745599725,-0.06326717365553876,0.06595262981634288,-0.052842047977552264,0.03292383360308083,0.011771631379502191,-0.1898535126854448,0.05355142067458212,0.03216714527327068,-0.02130740492979956,-0.0035828506930296843,-0.024511577535470012,0.030568605235559276,0.047580384093941136,-0.007376092090985236
FASLG,,,,,,,,,,,,,,,,,-0.03328506413314275,
CEACAM1,0.03838555285229882,0.01481079023250015,,0.01622663668367168,-0.018417546208216874,,-0.00958314983910967,0.007315733697051466,,,,-0.032791502692424465,-0.02427223726029233,0.019151916537721848,-0.024243188384007776,-0.03357173059420463,-0.04631127805519584,
PDAP1,0.082159351321116,-0.012907797593167411,0.0037798250464449673,0.05979563784330792,-0.03867666822263611,0.009393130994717294,-0.009515978827990058,0.003552466604311202,0.03146208924833844,0.03838062378236308,0.07674961518273041,-0.008944129079388975,-0.03683125580131275,0.002356482360887401,0.08810702688473904,0.046473720717042956,-0.03768899243640501,-0.0008295570815626537
QDPR,0.08565100492075221,0.006096324668500779,-0.0669923250906499,0.03773785174403215,0.08169648900417933,-0.007838911755749568,-0.04250363714132214,0.024792808439576455,0.07607268952118532,-0.1571608218299594,0.010650467165653843,0.020297392428095543,0.040738127558492224,0.041882837291500066,-0.01899688659750776,-0.0302473550873881,-0.008705011610450128,-0.014796558436972853
POMC,-0.03306016304215131,0.04236000815195857,,-0.0006161904808547437,0.044289455290713126,0.07406421367258714,0.014545890431452931,-0.014945603523593134,-0.022540459706207213,-0.0930682100848633,-0.0022578781310824644,-0.021833817390661536,0.014320011416809992,0.025174629858227385,0.023320344146366766,0.005985204591084877,0.07391603885894038,-0.0040132329277205074
CCL18,-0.028053891797981685,,,,,,,,,-0.05134063903634997,0.003594612360057978,,0.024284037270073142,-0.05800880716065723,,0.004827498477573182,,
CCL17,,,,-0.0028558664118183085,,,,0.0010009953230345474,-0.012626679568416815,,,,-0.017219977526870954,-0.03744697656829469,-0.02156989564131492,,0.023941113110658035,
VEGFD,0.07461929895328777,-0.01726765295281577,,0.008183544490752384,0.022924881779389006,,0.025770503245458296,-0.017115459620270675,-0.017771442714584265,0.19875456562169327,0.00862640246615445,0.08680145410850723,,-0.03273815467199025,0.06393011092585482,,,
TNFSF13,-0.021170373717447188,,,-0.01295945454735574,,0.13250554043203455,,,,,,,0.020217831330892458,-0.002065562158531102,0.022354003821151706,0.0017986417964507718,-0.012601393355736993,0.061556806257610244
WNT5A,-0.022610787953662097,0.02950947491747871,0.0925879144813764,-0.0020712564989702293,-0.05144041561731242,0.038626234112357924,0.002852609652398799,0.017691486862184386,0.009441544016284843,0.10188421892175595,0.024886808771365745,-0.06217680432269436,0.03674817421916207,0.010739979918969533,0.05567174711805759,0.02820929666590995,0.05401500517946002,0.02767499600253508
CXCL8,-0.06813794131384014,-0.016168406738585335,-0.0553450249523697,-0.0375859009710464,-0.028899615612269572,0.03779331148715411,0.07907399974614998,-0.0048019745894840845,-0.01654954018383965,-0.0770270368761957,0.07906309139533677,0.06886087904084699,-0.08073637172883691,-0.11976461653028972,0.050223993531206476,-0.004657856057625984,-0.007964370321473473,0.04869949492265064
GRN,-0.024061725975009992,0.03476742600209662,-0.013523715365549359,0.023327689190945168,-0.038385154352418474,-0.0267092799851002,-0.017803749595734133,0.061429835714070506,0.03920520562881896,-0.1387441207970405,-0.016909919513327938,-0.06454670918791482,0.030486577093375742,0.028234028969236234,0.010639448536465715,-0.009601772837218178,0.09963435133905663,0.01900729219886153
MIA,-0.004472870020803966,0.02696287670152013,-0.004620014401209287,0.0853800650678189,-0.03904074484351655,-0.017960643777595136,-0.005405101183914831,0.006770835197273942,-0.02021127345685256,,0.01501048889228622,-0.0015325242506318165,0.08660522505839284,0.11472528806697038,0.03164236806080651,0.01302973323053944,0.05377897372492465,0.06662510183155435
COL4A4,0.13202317038392616,0.09255895636127262,-0.04675145732016192,-0.0020328102028156028,-0.03764387549259435,-0.016279761965982742,-0.016857625240917426,0.01623479656342815,-0.03395333205825472,,,-0.03490649281554315,0.04551383076463266,0.00415293860628806,-0.033226680632372725,0.1160214275131104,0.011157705149012565,0.05406313546815566
