,MGH258,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,,0.012648085193841127,,,,,,,
BMP1,0.03168449415607475,0.047031026290000645,-0.003229851432545343,0.010405153225705897,0.018130747534744168,0.11200295028745448,0.10300094405340948,-0.024704881272445866,-0.006744579077505542,0.01944200638593601,0.030909661825209808,0.012607069806830675,-0.042060136469708354,0.027254880745429266
NDP,0.03262539073975984,-0.08166293492346272,-0.04660690629771822,0.003948117618321203,0.05455706689321606,0.018801065066275418,0.05054361379183995,0.0002396561213758863,0.012250214210214614,0.12517497664723953,0.029064832614631067,0.06617177154898553,0.07544120251075621,-0.010323149271553348
TNFSF18,-0.020895698786480947,0.05754396893148692,-0.004252309482627427,,,-0.020495737992313762,0.08385810497844294,0.04774381968988152,,,-0.06717213643269454,,,
IL36G,,,,,,,,,0.09429063110140933,,,,,
RTN4,-0.08575244019482178,-0.08241119605461784,0.06567040406914504,0.07390465404716413,0.02026624936066463,-0.06232034343854803,-0.13155483101244483,0.010568712033626396,-0.033852115872015504,0.09782655623322287,0.00497849707597199,0.04993832444938921,-0.038708517985243406,0.038906534986422624
HEBP1,-0.08256763385885571,-0.026743694463233447,0.03227046775040707,-0.004588415544527866,-0.0020645274455070263,0.10379377953738707,0.07376246074188875,0.021846510345287597,-0.011068734427754717,0.046072067674900234,0.032220381577750576,0.02276349471743889,0.005692325023780299,-0.03416778300911654
WNT7B,-0.018408456159404223,0.03155171215508176,-0.002703912270082222,0.11090953385582808,0.02334140466638879,0.025741743478107443,-0.01513797088647393,-0.022404685043295073,-0.017168183888071273,-0.037151742084123994,,-0.03163267678957386,0.009934056267552857,0.0345798311509076
PTMA,0.0026561497847245436,-0.013608581515613026,-0.026814581422767592,0.044896035752024235,0.02798846472498825,0.1344179821951297,-0.03775457395049288,-0.022280721952249585,0.12391325182597442,-0.04015976498086027,-0.007832134730445158,-0.000550641215247602,-0.026981375376269507,0.004618556011785057
FASLG,-0.018408461363427622,,,,,,,,,,,,,
CEACAM1,-0.0075018078940319935,,-0.029423243136000417,,-0.01752851007327118,,0.02175753367731823,0.03724259205371724,,-0.043157329443017436,0.09102760123877662,-0.02863946792674815,0.0010392144098121936,-0.016848515485096627
PDAP1,0.05306068625054992,0.10155560857182398,-0.012397052796973925,0.012604172351206661,-0.013149123616213494,0.020178438599939664,0.07084071388590008,-0.018193835230896384,0.07930007567325814,-0.01698688783703097,0.07412522889233832,-0.008134245399042807,0.009528924812875851,0.04071389226131198
QDPR,-0.08355967247764966,0.04358597956399325,-0.015181520990128754,0.02671760751357846,-0.017478053478745436,-0.02040596585352466,-0.1069406036245012,-0.037917076897644855,0.04295502949787762,0.01103611625365225,0.024412715208842844,0.017789270145165046,-0.05012651252316911,-0.007118853526381555
POMC,-0.01854289503113365,-0.023639477875727434,0.0010602569727480619,,-0.035271507271616674,-0.011837678315427777,-0.009807779236304614,-0.019499813808002236,-0.0026496423024929003,-0.041671027128958586,-0.005195387087671984,0.08135576882137513,-0.028475824374762294,0.02851930555342829
CCL18,,-0.0016733267201316372,0.08603028401727567,,,,,,,0.18187368722068042,,0.006669454287518573,-0.0395641174032566,0.050300064139261
