,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.021315140458322866,,,,,,,,-0.02052170716994974,,
BMP1,-0.029194835654091943,0.043323566587774885,0.0068686700296395845,-0.05589127263460057,-0.009598147223555151,-0.0726499495450793,0.040145845916023735,-0.0038496689411262213,0.041046480495995595,0.08375036121565811,0.15488669497869026,0.06528033863481018,-0.03857804288456668,0.044017844676388126,-0.07088609012974975,-0.03284271323695273
NDP,0.010142186984730985,0.04897791481265393,0.03513925319502529,0.029540408908072517,0.0250616930176914,-0.0724384080961548,-0.04196668413099098,0.03749033434354544,-0.0015961684738901023,-0.04760082703136988,0.06178789804460403,-0.05345544056144366,0.0723668889847683,0.03240035783325603,0.07371903354347809,-0.049242414134822526
TNFSF18,-0.03130717862961251,-0.002357379937392084,0.014991971594133076,,0.02799156083819416,-0.03165234368255775,-0.012622089446573373,,,0.19612143696964116,,-0.043522674970237984,,0.14149746995971724,,-0.04473182490831715
IL36G,,,,,,,,,-0.02703248953269098,,,,,,,
RTN4,-0.011590641454598568,-0.01602222486751041,0.014893434896924665,0.07834834399875924,0.05504428602619275,0.018409764782880658,0.011204048240280491,-0.04643692163199167,0.005490730960869707,-0.13484988837002776,-0.00543482236545552,0.0328236154276307,-0.0006174138952634203,-0.012657028891372511,0.03423421748821307,0.08449957194385523
HEBP1,0.058172458642845155,-0.05940784648084675,0.024206716439946523,-0.006542722264099125,0.00845310061139262,0.02462228585544608,-0.017876254499307912,0.03701805457277305,0.009312115093698144,0.005927958967201554,-0.011891369300239223,-0.02830415894945407,0.06135256670776227,0.0230751476416593,0.029445013283638535,-0.0005481986148862213
WNT7B,-0.010863323361006162,0.06474835057078054,-0.04372973933329355,0.025846015877892998,0.09008004812210474,0.04504615864861526,-0.010293283725660143,-0.012332312690747553,0.0769648275293235,-0.04734364631979612,-0.033920779238193186,,-0.014418516081522609,0.025925673326511033,-0.020366665820802654,-0.01245556468912934
PTMA,-0.023740103639527176,-0.10520919985468564,0.022903477157214837,-0.06375517394450764,-0.04429905331429854,-0.008308498655019897,0.025596015899540667,-0.01268755048657322,-0.042170708150584116,-0.017218500514942642,-0.1733186994374483,-0.08472855314392624,-0.0030664064742822613,-0.004389367045701274,-0.09388110062257546,-0.009585209932046826
FASLG,-0.027580651601563724,,,,,,,,,,,,,,,
CEACAM1,0.03651399738689292,,-0.032620742872051446,-0.017160918363524583,,0.022600687033831942,-0.01985153968813039,,,,0.07031486003043654,0.0316196603869026,-0.01788812408920348,-0.030409990559315224,-0.013517652311953525,
PDAP1,0.05125403183234739,-0.03610297313875315,-0.01952121738619426,-0.06981947194349389,0.02643325323296982,-0.0259652510955126,0.029897806169891857,0.018881993082763095,0.05654619739259379,0.011925320018722157,-0.02527981036834449,-0.052605034782005095,-0.047230277861596295,0.0758333202749664,-0.014341012563445055,-0.09822554707906621
QDPR,-0.05503218070552303,0.05188622118002734,0.0738872619312004,0.11105230049322111,-0.020387908843119102,-0.0729192005559147,0.0257782748210673,0.012586463445704408,-0.009328759855265517,-0.0675651704288924,-0.004302088339820028,-0.005869300675297247,0.039709521313179556,0.05013473886556535,0.050801605087198026,0.05144262686889652
POMC,0.0356749752221394,0.11507394567706714,0.07698992450488461,0.0751190864792194,-0.011261179628091342,-0.006009996215229252,-0.014645674462481979,-0.024538331510935287,0.0018853990985331517,0.02012056908514643,0.0339695024417878,0.022687729881564665,-0.0009882602234656712,-0.0012396742737774728,-0.02211310342742322,0.06092722129232295
CCL18,,-0.034221239155626915,0.006255722332248827,,,,,,,,0.04949871643431083,,-0.02514336297091815,,-0.028660395970450146,
CCL17,,,,,,,0.05596340287633902,-0.015263946019111355,0.08592989749374522,,,,-0.025822630129068946,-0.0270566854667721,,
VEGFD,,-0.006515746664636922,0.0690010371219832,-0.016418595070623723,,0.008876904653003736,-0.01677198578689285,-0.011196288998412855,-0.0015327137728762782,,-0.07147141078471647,0.005598074662967978,0.00557605884172273,0.04310147266155353,,
TNFSF13,,,0.028183265672958344,,0.016799114212469463,,,,,,,,-0.02806831610266173,-0.029014796108392693,-0.015179417558995214,0.0038949055867739312
WNT5A,0.014332104607334731,-0.002317256994174916,0.03416978108410706,-0.07292962451269575,-0.02166847027544456,-0.04016815919139937,-0.0231683628181366,0.029690010806696056,-0.060843761694727584,-0.052806307487348395,0.09965079289118826,-0.07852359181459453,0.03333619178709941,0.011927336606293876,-0.0348928537634951,-0.07897048207578453
CXCL8,,-0.12373936857732798,-0.06482024609215663,-0.04530239583680608,0.04078516558998547,-0.03627914841980976,-0.013150142623448031,-0.010426471146152526,-0.037735391163616766,,-0.1460031925362103,-0.02125093778861739,-0.11456365300851365,0.004049214850983806,-0.047332743169583795,-0.04493240009882095
GRN,-0.15304513090159097,-0.0038935717246031615,-0.053000057242739686,-0.0737503770800775,-0.08341725572812385,-0.0750102683008314,-0.00896602787854491,0.00529772941410376,0.014096594962559288,-0.03567203359776245,0.09987899647455069,0.030489065452096148,-0.04464663248092352,0.011048066437969907,-0.016446062832366916,0.07849581072021321
MIA,0.018989906710201964,0.027281574519224944,0.014255766374318102,-0.04249489160246221,0.06354967666585723,-0.0608886659648566,-0.030941508203853517,-0.012733420819186759,-0.03624686442110519,0.006930513003169826,-0.08765483211680808,-0.04673116717433097,0.05404632069474357,0.007634731680030326,-0.12672532856524704,-0.06901666990952209
COL4A4,0.026927507883479973,0.02198506254792825,-0.035674376905566504,-0.09591032231477886,-0.026306561151266852,-0.0019345198212543855,-0.016435346959405277,-0.021391134320868723,-0.03516080321446216,,,-0.032577716086824096,0.07398085943025283,-0.003456221719675974,-0.027242741541656425,0.09496111738275904
TAC1,0.007287797047833522,0.09733358506276811,-0.016259739144807116,0.08166651690476656,0.029781229617129607,0.11883538192296692,-0.0009528068324340476,0.027149256741395643,0.018084696636222437,,,,,,0.025636254741460755,0.03374033626952629
RARRES2,0.1867025121458627,-0.031079453206032257,-0.03825354152459234,-0.12241746152846225,-0.0598578337509121,-0.04192543329844863,-0.004397824056372419,0.04162575465827837,0.014155820562611552,0.07332451832728508,0.08789128146301328,0.02482935585528675,-0.05364991698417828,-0.04237546075080982,-0.04573243843718073,-0.134202740300214
