,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.03427283476110066,,,,,,,,,,-0.022059520071823522,,0.07548549718742381,
BMP1,0.0782307707946666,-0.007777522883972086,0.009309474042041584,0.04939021855882281,0.027985436679990358,-0.00027515892876440133,0.08387791204583953,0.18885423328260847,0.01740717093264272,-0.028426840828742608,0.014314712259858468,0.07210742627804037,0.08770370090375246,0.052589693173741674,0.028400377595332885,0.023087522469133245,0.07062379204423003,0.09273300495465982,-0.004570507815978184,0.05987596746461618,0.135148676396176
NDP,0.008185984644651988,0.021209167739050027,-0.023036858877490823,0.01801228488699012,0.0109165356638717,0.008348141515452876,-0.020761388734968703,0.019212073549680766,0.006790874541576486,0.05020405146389103,-0.012796636199504522,0.06799927730551586,0.10943069614165107,-0.03268315076965599,0.031154277878617687,0.014683358682068071,0.04951122727691989,0.10431629703795137,0.008220858826848535,0.05512994882804834,0.008666406036503812
TNFSF18,0.056287176179983994,0.03297683083620261,-0.007455701397898028,,,,-0.01583009917211729,0.037856232717607775,-0.028156529189116517,,,,-0.039069294341437265,,,,,0.021002592316922218,,0.023421697594132495,-0.03872189060004597
IL36G,,,,,,,,,,,,-0.022381631664735856,,,,,,,,,
RTN4,-0.0961637241914207,0.01730706648609113,-0.04790941934664081,0.07674899206326193,0.002375799593143151,-0.04787634800861071,-0.05397862457685133,-0.21337333022369265,-0.04723960880074025,0.0027503796104939365,-0.010839594575185572,-0.09244283114079713,0.02152060353210975,-0.007556121852220767,0.01358370637364042,-0.009523650815273418,-0.03103145764706006,-0.1357298951389025,0.10141485832086222,-0.014491167473179297,-0.04120400072895294
HEBP1,0.0519618150429539,-0.03026262131707894,-0.013619692541650547,0.06976714731439468,0.009337827446931589,0.03515029329905899,0.055178771602880976,0.11070110560722296,-0.006915831118970012,-0.03518139160593831,0.03369292742835458,-0.014206639033831436,0.0036762782614467196,0.05934087463785318,-0.005725265078643563,0.06063560062563111,0.12244748734202685,0.04543042112035096,0.051678987207152055,0.048890134789926855,-0.02345597475987463
WNT7B,-0.026007975589841907,-0.022171227998408576,0.02502106708684752,0.07783596780736746,0.04582263400644436,-0.0088300461947351,0.026618386859164126,-0.0392291918526622,0.00383006518777822,0.032684460879681417,-0.01263670157288846,0.0029891674623792708,-0.008613508119882589,0.03516116204560075,-0.009609296742766364,0.014050631082005783,0.024975079228001767,0.04240761847665809,0.01809124561564375,-0.0004161714201330001,-0.01786301784825259
PTMA,0.015387504421742181,-0.020904682606756993,0.07801669147929599,-0.020619680343791667,0.0004776843783952119,0.007147494812127196,0.07614940234613915,-0.16835660155635876,-0.07996952874314604,0.007623020457680772,0.07322046322248035,0.046688693418753174,-0.0236652289531728,-0.05455822894632981,-0.09782961254870667,-0.041314621195469164,-0.056190379844421094,-0.10944853149301062,-0.011039138339771777,-0.009854377880501633,0.0708435565227394
FASLG,,,,,,,,,,,,,,,,,,,,0.05032388344724064,
CEACAM1,,-0.02916304256088582,-0.02550657467180942,,0.0372615399816046,-0.02704965201600854,,-0.018150635566129635,0.07495503653187592,,,,,0.007324263853872472,0.033694287282634086,-0.036748959702225234,0.10048447330644279,0.08864723834736597,-0.022747159356724802,0.041091083254610215,
