,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.029003624961352854,
BMP1,0.04916994136022817,0.1680428762747186,-0.10183892254123982,0.024359951816637186,0.0012395381978398527,0.06348963505924972
NDP,0.09427175345020568,-0.010254417457058266,-0.01462385259236336,-0.03678618207360192,-0.007757190014838533,-0.013067262223320213
TNFSF18,0.13914794369209046,,,,0.03350480567473146,0.0019150856213047329
RTN4,-0.0757600239308307,0.04475981215827819,0.09949677173270349,-0.06472614689623248,0.03728789786705509,-0.11670493978885207
HEBP1,-0.06562521113947248,0.10156604780829567,0.006950934134429281,0.011360887381349926,0.009848387198009498,0.004347998590846541
WNT7B,-0.014242707453573061,0.06804928111808907,0.06265588074883868,-0.018682483987028833,0.044488283689412086,-0.04719394221110683
PTMA,0.04078766596745192,-0.17248558658375188,-0.02208863541094034,-0.008535416445611422,-0.029007041099029397,0.0572503552656909
FASLG,,,,,0.006911354034967179,
CEACAM1,,0.000905323836226525,0.039365585910043126,-0.025198502167431545,-0.03499925698603543,
PDAP1,0.07323265669362707,-0.06643889516596253,0.004553549326920753,-0.05164544364962746,-0.023123678158925857,-0.06687254491512928
QDPR,0.08050047313127268,0.18857491709580587,0.010287373808300991,0.04667540996820039,0.004750001664701647,-0.09476093262005213
POMC,0.029578064801434847,0.030916967078652827,0.015423644316967782,-0.0009102373609640722,0.022251209267188304,-0.031465261229316484
CCL18,,-0.061747536745383004,-0.003290462262031101,-0.03400659598396799,,
CCL17,,,-0.018965788683262035,,0.04822895515820207,
VEGFD,,0.000352318944935797,,,,
TNFSF13,,,0.011034460752187841,0.03895121030950025,-0.003022246838553618,-0.00279696358269738
WNT5A,0.032482919198377994,-0.013436526968473753,0.058782523126031036,0.03280964450714797,0.06975389762402123,0.08475046444609396
CXCL8,,0.007127325496761893,-0.047393590475776744,-0.07439749222401096,0.001455866570387334,0.08667948209767644
GRN,0.03876329988090544,0.0902273445510146,-0.08489210204280535,0.05324905396260788,0.059081818800819516,-0.02637064954087822
MIA,0.12578648135995146,0.07501395952718844,-0.00041443751806298913,0.06005175914601775,0.07301443481907025,0.060135009864252256
COL4A4,,,0.03455488210731691,-0.011506687648943048,0.044384408384893013,0.011102535937441175
TAC1,,,,-0.025945036234839514,-0.01556520606032305,-0.07088943523525806
RARRES2,0.0179396869777761,0.09021136773235028,0.012543832934050855,0.022099335813988447,-0.0030939181145651497,0.0012874699820466292
FGF7,0.1193652783812524,0.1109978806552971,0.06500503833966884,0.007074794842011364,0.061388021500531055,0.04584485227514341
HBEGF,0.13615889693443176,0.08074430209792934,0.023838398295361347,-0.0016875924844006092,0.013106232760503038,0.1126782724500906
CSF3,,,-0.03537842629068477,0.0053720702821556925,-0.024004916029192004,0.044749108126436205
PI3,,-0.0011024082258037492,-0.006388232569113503,-0.00584831415118781,0.012271528132845799,-0.020575851981238104
PCSK1N,0.08772948722717297,0.07976480536768324,0.02020042198589334,0.09002403529514344,0.017609447861294626,-0.08359706314857476
NTS,,,0.14994010446532222,0.05853980905730049,-0.035548007299657965,
SFRP1,0.06742292042609398,-0.006101856827165363,-0.006429761634877097,-0.001924896301779164,-0.03472196166882429,-0.0201800013218394
CXCL13,,,-0.04260104991411992,0.11956089822803671,,-0.0004937719362608598
MICA,0.12791759096710395,0.05114096591528226,0.015510985314898473,-0.010399867888321663,0.06266903957847707,0.09290582856916828
TG,0.044035139926228706,0.15189542603613596,0.0476217629509394,0.02147567541543516,-0.006122572701356138,-0.024813541638930237
ADA,0.07073482809832785,0.026322167861233127,-0.02551128627374776,0.01836290110920025,0.07863995563017573,0.019304881354331112
LAMC3,0.07238204152789167,-0.02041053524689754,-0.05795862168379109,0.058779301666480814,0.06611642030325751,0.08603111652891708
CCL7,,,-0.02842534561012421,,-0.025154825089492967,-0.036259603910045075
NGF,,,0.060775156333212996,0.11792047089014722,0.04925923203866459,0.036017123495199845
TNFSF15,0.08126153265738674,,-0.027711520078850707,-0.005549912683673264,0.0017967251037612814,0.15749550394948628
HMGB1,-0.02069591263989752,-0.05351835038197321,0.016541260850886322,0.004230546559505987,-0.048672474220776085,-0.03525078710069925
ITGB3BP,0.06920574214827858,-0.036670421409089,0.010262408593317358,-0.007811323521308207,0.013579896250512735,0.02843173627715721
AANAT,,-0.10887216955595413,-0.024937048735654596,,-0.026614853955681937,-0.016949912283747995
RELN,,,,-0.027097009937525427,,-0.057583533535700046
IL15,-0.013037994859198036,-0.0044389536676092065,-0.025933631910561823,0.002589743621561013,0.05585001175600732,0.029412682655020863
UTS2,-0.009884414748549572,0.04586548825009023,-0.021235722080866184,,,
BSG,0.08681845109496283,0.23861088511545508,-0.021733378903958194,0.013471866411268983,0.07613975803716569,0.09717765977038843
ADAMTS3,0.11349405352825227,0.03546911346059479,-0.006826643110429299,0.03743165758601141,0.06858673564779462,0.015289090443010233
CD34,0.022896867421877985,0.024622258142858622,0.011143649522180396,0.07328885197072252,0.02848805275992803,0.033828218242065076
CCL23,-0.012806141678541124,,,,,
PLAT,-0.008189276859150104,-0.04458267039634304,0.04910228990276704,0.013022823763978699,0.07967314115256617,0.05745204442686374
NTF3,,,0.0860874259479934,-0.02287975512328758,,
LTA,,,,,-0.012785186754858591,
CKLF,0.1302622206859325,0.06250339465916771,0.04326140437520283,0.08319827332323589,-0.00781804896694232,0.08081586430138735
CD24,0.06925550762780351,0.023682078735413774,0.03107754829795438,0.01672943128317304,-0.0031650085811626193,-0.059401331617645464
HSP90AA1,-0.0632553925638305,-0.004439971047275022,-0.043471197566674225,-0.04469523560825477,-0.0517224534901389,-0.09471751516040573
BMP4,0.12527264180430833,-0.013958077351601546,0.01181012383506426,0.028159706098692002,0.0156160187741852,0.028042486284247194
SCGB3A1,0.015345984085357901,0.013664167608937357,0.013082031236370546,0.011227294608743004,-0.004358070663455877,0.027464534858704807
IGFBP4,-0.011081935874053645,0.05865890561606336,-0.007577457088562818,0.11937878573824734,0.07077714523884944,0.09209195711498323
RSPO4,,,,0.05455023612409782,-0.019524103117209153,0.07289982623939602
LEFTY2,0.024191372839757874,-0.05436097620661824,-0.02412989950680236,0.039636682681205626,0.03823343942220726,-0.021792317615044295
PF4,,,,,-0.03581957418067645,-0.016742811879436905
ANGPTL2,0.11593628305252678,0.06808474397964064,0.0060827995716663035,-0.009019721123019016,0.06264684786800408,0.01923037784385636
LRIG2,0.00626185896061724,0.017418580664930065,0.023378331813632126,0.03432825717923968,-0.0006797615353178455,0.01049802088535201
ICOSLG,-0.0044253708273193325,-0.01377278652898643,0.05017327766409833,0.031603836907368836,0.006786552251341991,0.03876716811681841
WIF1,,,,-0.02916545240198916,,0.035514331207374156
NPPC,0.03918564976020398,-0.04302396160604863,-0.009445691882794883,0.008217550527607644,,-0.02632212715202115
LYZ,0.17257743444988113,-0.08579538849628891,-0.04218522738144711,-0.011533691575582369,0.04173817236797213,0.03140448563931168
EREG,,,-0.003081565005632915,-0.03907722173650242,0.05910266648116019,0.08607618230748794
SPTAN1,-0.013634474456563048,0.09912179441923503,0.0020543102849612713,-0.0005688827591193218,-0.015476951657750817,-0.08618592157128127
PTH2,,,,-0.04989559179395071,,
LIPC,-0.01892920317018777,0.046203069311719726,,,0.003460293094809342,-0.007288289677814387
COL8A1,0.03734599496885728,0.11217256104195789,0.03339109714454972,0.04595805626372289,0.09631751598742636,0.07567605743735994
GSTM2,0.06109478684275568,0.0278990929572479,0.07226415208450589,0.025305673443051173,-0.015189992189364602,0.021507817977443652
IL4,,0.013509497154212478,,,,
SPX,-0.07454983837116516,,0.09119858668527517,-0.06650366614984077,-0.03520465334576736,0.03668065935066006
MFGE8,0.09924135658763661,0.06343798259173387,-0.027349424725994772,-0.004756169656016837,0.008514013596825652,0.038460147291932346
TGFA,0.10402023849929955,0.058800579489451325,0.05482484248186158,0.09578422472828625,0.01622899696184546,0.014544881961186662
SLIT2,0.05579761875565994,-0.03467185203979469,0.02547826424950994,0.032229157995746764,0.022890120584669042,0.055296427669916104
PLTP,0.015880916646471666,0.037831870708666254,-0.09221498041291885,0.09775836142293354,-0.0023965935795300583,0.04616211249027752
APOD,-0.12587502567639533,0.05870465860172186,-0.008171591610540593,-0.010607939348688498,-0.0027457781080652325,0.05777631768482121
B2M,0.10255508266669897,0.06296356079960999,-0.057274876728752616,0.07507556053115734,0.03034585999037836,0.0037370501544294324
OMG,-0.003903286418433057,0.1027939356039929,-0.002094828689648284,-0.07127456614207886,-0.002403668234972302,-0.10161267704483128
CXCL3,0.10630180716372466,-0.007452654266573804,0.005626490441356666,-0.024522480850360462,0.016076670450791083,0.015670072161412116
CXCL10,0.08358247805301285,0.059243137887192675,0.10536376541563366,0.06570881772471908,-0.001048199949410336,-0.013594112994821262
RSPO3,,,0.04592904215912782,-0.0025443047933058965,-0.02552722867979995,-0.012430724128736418
CORT,,,0.07814716952149757,0.04100888004449536,,
NCAN,-0.1752627967182737,-0.008672374669300346,-0.0049196059022110095,-0.068715438252345,-0.0166308044479801,-0.0474175050941436
PRG4,,,0.04062919769835569,0.06886631908292572,0.0865708896435827,0.08496867650610451
ZG16B,,,,,0.03849501201417074,-0.01428333567279316
TGM2,0.05417145396107703,0.1482951836695173,-0.04486735781743068,0.06420803352290176,0.05338036685259788,0.03528423547901146
VEGFC,0.03396107895834779,0.042634979655823455,-0.0009813835062020906,0.04510401414231818,0.036066879542014076,0.03897555202636114
WNT6,,-0.06102922805434244,0.01155382896487113,0.03430127253458767,0.057400502318516775,-0.014758971059919652
NRG4,,,,-0.003419695391656038,0.075305247759059,-0.022195228758946053
PMCH,,,-0.028892407139823623,0.038349684594822915,0.016101930410617287,-0.028424184704468884
COL9A1,-0.002462844298043778,0.019912490637059767,-0.026957800889421044,-0.00303363569696118,-0.006232192458690957,0.030545132452921377
GDF11,0.14284753013029022,-0.026691254806863417,-0.034459657981454374,0.009889835865724091,0.04800651059984691,-0.013800070085938304
RAET1E,,,,,0.07606711859117347,
IL24,,,-0.021541482545131278,,,-0.024813527390301987
SORBS1,-0.015127558690449894,0.03752019839952839,0.026333755889353376,0.037228078229918395,-0.03423983153355254,-0.028460309797820812
