,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01911033680229407,,,,,,,,,,,,-0.022718367104510046,
BMP1,0.0404112694892084,0.052366855420053704,0.008267323410078407,0.014055396169021883,0.09400893506146353,-0.029046263885956474,0.01567855625582794,0.013689392458487288,0.0337144848252588,0.006006397956083029,0.08378382858867112,0.0184322072992088,0.08319776040071618,0.0070873867456743185,0.0025904911932345376,0.008197270346950922,0.030660359341639146,-0.01869344870212234
NDP,-0.01920388607673328,0.010251017788408413,0.03557530619187863,-0.062019819240317214,0.011278204368043977,0.027269717622159517,0.0025002494680159723,0.04783180539328667,0.011582432973883495,0.07561416036153211,0.04318923399168842,-0.04958658871864838,0.06246901446716418,0.10943606791771743,-0.03572356086950312,0.06737767479052122,0.059695689335970685,0.08527210587015654
TNFSF18,0.052918363909998586,0.039336386562816156,,,0.0405619581002163,-0.012490943851086324,,,,0.15457420231606042,,0.013937100984506576,,,,0.09400300879575328,0.04219449662082842,-0.02500582119103515
IL36G,,,,,,,,,-0.013950288686816619,,,,,,,,,
RTN4,0.03252386604513744,0.030398475218147068,-0.021391909505678076,-0.08889603772933216,-0.1184212427458443,0.031112451413886806,-0.020239458737715755,-0.11658123666607405,-0.06411441326815413,-0.01204158932739031,-0.17047945035803655,-0.008325643056806649,0.018526898019298497,-0.0326996867530747,-0.017392700689751295,0.029369646605403785,0.022567523861825787,-0.0916117673564369
HEBP1,-0.062107499885272484,-0.013230092368714554,0.013989809448173515,-0.0005476780487766531,0.04187881633895526,-0.007761391951550654,0.016486039307697948,0.06144896040315231,0.022875279278216212,0.033825160947664384,-0.10855183068366409,0.0554051445595665,0.026723930763254997,-0.014311578611774765,0.05507452334283923,-0.05119022359688049,-0.006803178142335693,0.0838480859212142
WNT7B,-0.012793384372715554,-0.005400119734605311,-0.009233262943948804,-0.00600636964303184,-0.0426236458021407,-0.03580412779635613,0.004073707774871014,,0.07285101765258431,-0.034776341775985785,-0.0844829360982315,,-0.02852235874100435,0.030049263000280352,-0.03537363026265415,-0.03314011712304463,-0.03971505091589971,0.036251358915700777
PTMA,-0.03331050089117167,0.07913632351550998,0.005046334424234469,-0.0022560170321601187,-0.055260154353429215,0.027338696685250827,0.06467172387955354,0.14718709327531015,-0.004565986625558565,-0.0049654437535152805,-0.014184669512692044,0.0820530727797447,-0.005574728366374795,-0.06713391472383365,0.0288344071056447,0.037757128343838556,0.019320802014673545,-0.024720750294447143
FASLG,,,,,,,,,,,,,,,,,-0.019703632039258633,
CEACAM1,,-0.005541490159062377,0.03192559688015382,0.09369601041880331,0.016077427609538914,0.09223308117333694,,,,,-0.06361776944729086,-0.022365836651234452,0.147005697713461,-0.020089995003403527,-0.023477992868805826,,-0.027414710045842238,
PDAP1,-0.04077974243656032,-0.0011891628275534046,0.009454853338780505,0.028137393396047178,0.03575378342024639,0.02481236255803752,0.04115371472223284,0.01829460963343936,0.01738649317205515,0.08625488296490172,-0.058448601489257006,-0.0014757174455141808,-0.04000892138328461,-0.027607215316983163,0.020085232634876504,0.06284612904455308,0.02532722617830495,0.002431929674543256
