,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03138652626314645,,,,,,,-0.01991772391919369,,,,
BMP1,-0.02417737007496347,0.03626083139414287,-0.033587771603241265,0.020086832369414016,0.06550644221434512,-0.0775159203678153,-0.19114411948444177,0.0018981002586507094,0.034145298397536064,-0.16061948794971986,-0.24915017660870764,0.0053436423987745845,-0.07164691315620876,-0.021910002251577018,-0.021628222133078676,0.09642333845396579,0.02467820429627226,-0.007363185930892102
NDP,-0.06087768746808302,-0.0017503936629863796,0.034818507167818036,0.033353275911043916,0.11487594706524051,0.03617083630401847,0.01422432817519617,-0.015453708650347559,0.011987738534730332,-0.14184835392124515,0.005893399503479037,0.0009479141353009586,0.028081664657287692,0.03962864602747023,-0.05723555719435822,-0.007874811485850073,0.027914918746649434,0.10290082953643274
TNFSF18,-0.04203862792524179,-0.007449928111663983,-0.03516782314082328,,,-0.012264174927142688,-0.046608049251433574,-0.025890926461645307,,,,,,0.027678212545708403,,0.09078873682157187,-0.07719789480553073,
IL36G,,,,,,,,,,,-0.0400424893919506,,,,,,,
RTN4,0.337315492023953,0.0594123010191289,0.05271460233350222,0.07865017630445811,0.10861339002520556,0.16859420924977186,0.2881572439690018,0.12515555172249576,0.030931052587581838,0.3041471357450863,0.36647568607498276,0.08985032766585666,-0.04773496816059262,-0.02566406807826725,0.036468125268935066,-0.011991171561983902,0.16832740183968067,0.06861694886046482
HEBP1,-0.07880409141470333,-0.032093660356700075,-0.032094086952452555,-0.03551593517109982,0.009064599525484062,-0.048903510352886294,-0.10994120253441553,-0.015795199090661127,0.04724797665479296,-0.14893623394572264,0.008171927045385646,0.010599708923859238,0.03370520638793987,-0.04377532092458427,-0.0539630857690036,-0.024685843632265718,-0.02391932768813146,0.11075317407017535
WNT7B,0.3543312727413831,-0.013647774873697465,0.008653713182803807,-0.029467464752092883,-0.029310296637882496,0.08150140627023625,0.18914138836870031,-0.020961508635190612,-0.021413371555207845,,0.2213266279049149,0.013236939511860413,0.04249707689340059,-0.004803274422574241,0.07466578849822227,0.13501425270641246,0.1056473462154957,0.018913341720641342
PTMA,0.02540541524664949,0.05187851732558747,-0.0004983914300222601,0.03653097109953344,-0.05881528578932931,-0.1575965287473725,0.11776129604528887,0.044715922041113534,-0.09184345074555651,-0.36831910279831825,-0.35530637540222954,-0.018646389973417773,-0.005595094407156318,-0.09440027182251857,0.006672517438755642,0.004318823352937071,-0.08597454991101543,-0.0776573871225311
CEACAM1,,0.04939550251082521,-0.01676484761180999,0.02382736815026427,-0.008009640168850037,,-0.061333538218892536,-0.014189967680144813,,,,0.06168674008945511,-0.025816658142694623,-0.029514980957951686,0.010966474106235188,,,
