,UKF248,UKF313,ZH1007inf,ZH1019inf,ZH916T1
IGFL3,,,,,0.023629210902235593
BMP1,0.14430158784499236,-0.03382303905778834,0.14167724599404377,0.12702597591916032,0.20836884731239513
NDP,0.031159333327829566,-0.02148401119776815,0.05626530275334139,-0.06785385651799192,-0.002428303772375139
TNFSF18,0.020102006641269043,,-0.03219185048597964,,0.08269449463949967
RTN4,0.01134207173718843,0.10001617728562506,-0.08957366120497849,0.0025033721983236655,0.006775757690555671
HEBP1,0.016610856285757026,0.00853755418552297,0.012114026133458947,0.01399503668777632,0.051649995253982665
WNT7B,0.033084428480037786,-0.04454335523494991,-0.03544008528630264,-0.02901982100595083,0.16245305805063628
PTMA,0.04323133167820321,0.04566212269616408,0.07572888793550522,-0.026456853120908577,0.10205424002941471
FASLG,,,,,-0.027139307730801865
CEACAM1,0.0374197191656766,,,-0.026025440298715338,0.017961971211020993
PDAP1,0.0416070800193357,-0.026287659407796145,-0.03213578684729683,0.019950153940249724,0.011266101079592626
QDPR,-0.07163486501414298,0.07681864901017155,-0.07675323231058107,-0.07895407444189838,-0.05400110254162266
POMC,0.00581383385415344,-0.01693818091484281,0.033290315681482587,0.06673365718817949,0.05367296391673019
CCL18,-0.028863554820856455,0.08503626886300847,,-0.01845246507107443,
CCL17,,,,,0.0087834036392564
VEGFD,-0.01670805001973522,0.004591693893626411,,,
TNFSF13,0.041627954088671974,,,,0.06892968003162415
WNT5A,0.034920864268718856,0.024553949610208913,0.16111030626839035,0.010431699982477966,0.009293116968327643
CXCL8,-0.05564804781566773,0.06313177143146737,,0.033932645714946724,-0.04554744308748787
GRN,0.1818076799295957,-0.010650022653334387,0.11537443931360028,0.1298130574151864,0.1378009639065413
MIA,0.03640543401101615,-0.035006271935015966,0.2089784362824582,0.05545597856875236,0.07186936482881816
COL4A4,0.006181073574351246,,,0.09643028934808011,-0.011176475349952211
TAC1,-0.09271054638203585,,,,0.08663581144795195
