,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.060233247432351665,,,,-0.019211054847683165,
BMP1,0.054688449590309364,0.019104449591472953,-0.019857095141688305,0.050341120941330274,0.028721306554097107,0.077884514465824,0.03924124399440641,-0.00029965255270679626,-0.0374710575554601,-0.004333956589631892,-0.02567972281824404,0.08983708144182201
NDP,0.028146634847641485,0.034761365134915935,-0.027747590530560095,-0.046445278922688196,0.006157076800193606,0.021670448791394365,0.013719013636185495,-0.02859166181407235,-0.004477720877911765,0.020890026958223295,-0.01823307741682687,-0.003694495871506611
TNFSF18,0.012386205782597838,0.05431552980278417,,,,-0.01413067648354988,-0.028979818524733438,0.10631266750885562,,,-0.03240561494398685,-0.00416922653166794
RTN4,0.030553041010234934,-0.0029694168602707595,0.02080100928221389,0.06691536189087029,0.02161435287323694,-0.06863048610512877,-0.02357883629091525,-0.04832293768312269,-0.02220478110149115,-0.01765450223134713,0.024165683635317695,0.035746379273274176
HEBP1,-0.0104599679532329,-0.0014722909789112177,0.008366534977617928,-0.029002891134873972,-0.0017390906847759634,0.05995419865139756,-0.030885434370798312,0.036976928265333574,0.011202736511648598,0.040382355475956894,-0.02457024881703544,0.004465413511664332
WNT7B,0.015499868922398156,0.01266406621244417,0.03762203666927788,-0.012998087090776673,0.04168550679895747,0.004927562179679117,0.06454928546277645,-0.025633148104614995,0.011377409903839035,0.013000501536152132,-0.00631800110553549,0.03938636584440715
PTMA,0.03410741458369924,0.04873035201403474,0.00689005397741676,-0.01695005713424228,0.0077332646511259024,0.10954833625343963,0.008483999130704495,-0.04931086054977314,-0.07475304926660488,0.02593828051775513,0.019465906130103003,-0.0194395290501128
FASLG,,,,,,,,,,,-0.016661741315449542,
CEACAM1,-0.01690916590593718,0.01405609131675437,,0.029597236454691166,0.09570344753412377,,-0.017113302563851174,0.028323750758982358,-0.023177931456391063,-0.014464088495967144,0.06755999971051586,
