,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.08082410003140689,-0.0064306965652364935,-0.04851249611840245,0.09537449841574369,0.046017063814742756,-0.023968634023294237,-0.11175297338364146,0.22685776798434304,-0.02058459735232988,-0.015077100337200373,-0.06265962095800826,-0.029802881645706433,0.00024643206840676304,-0.0158379404505757,0.11901468836028356,0.0057331745386039286,0.1271719773602872,0.06306865584765153,0.03169802476354748,0.055932815702758244,-0.07327122630647515,-0.06895670915140327,0.025588273958589
RARRES2,-0.00392899814418216,0.009774226797915894,0.028979989368551486,-0.14165062886116686,0.029257570670038802,0.02249066987376604,0.10318430120279828,0.25126705683541917,-0.05078043191826114,-0.00468860718744107,-0.012814074504472344,0.03334596691405377,0.03141621212682772,0.1327999568391665,0.07378997229225177,-0.0053048920198300615,-0.06965323454936462,-0.03612835239088743,0.07279255848794874,-0.058621189759794134,-0.00552104198521994,0.03474694008135463,0.12904203971426906
SEMA4A,-0.04494534271839444,0.03150900434326176,0.025560051972367593,0.07161701788067659,0.0256380888646462,-0.018610475005411926,-0.20682063089267205,-0.10856025856790258,-0.0008558804051139983,-0.021383907946869642,0.04057095340345573,0.03391246797128604,-0.04747402221562267,0.07647185503199938,-0.07317363211773914,-0.016729449707065865,0.0214025347135816,0.11657694553281063,-0.03279906346342292,-0.055179071911685244,0.06123591583318833,-0.056825056358940126,0.01873388602866899
GDF11,-0.018086607464809255,0.055142309232662924,-0.0008643493234278884,0.1545577950226283,0.07224257560681864,0.01716601703208526,0.18472016542329234,0.22900323417178509,-0.006847550853571206,-0.025334373262864824,0.053736703517360145,0.033309857271456224,0.05404819862983395,0.0033699636920716154,0.06831546427206028,0.02409460789671047,0.021791330674864995,0.008674779325744328,-0.02446214695293195,0.018885844811017995,0.10357185146473877,0.010993624144505254,0.12643819894933106
GPC3,-0.04553212601422342,0.04037662427729028,0.029683534249053685,0.011559097741715513,0.03921049999762956,0.030115360121850624,0.3183660255994188,0.025216520161089138,-0.014070104243493572,0.01680093597142815,0.04739259190593062,0.02727594464091885,,0.04972963280845715,,-0.03284699223087477,0.1612258459428841,0.15458179678603007,0.08061631299966351,0.020248583994066566,0.03299589331756082,0.014896131435449926,
OSTN,,,,0.003398079524048989,-0.020920037841183327,-0.022315182414827713,,-0.05151508139617734,-0.038088693806625155,0.0038552428712835467,,,,,,,,,-0.033138446412865855,,,0.005332314264986092,
GRN,0.005622136972671484,-0.006260852375063182,-0.0060002715702103205,0.10935748566262324,-0.013114503554754985,0.07818734270759603,0.11669273222617042,0.2050823609835447,0.04878999579489787,0.003668095259796935,-0.05311621048549785,0.06807987974973484,-0.014786246355043341,-0.023718139274771514,0.056219603892807134,0.014831673085146664,0.03445701823351794,-0.046234885796336084,-0.013794820094863484,-0.016745968147876943,0.0009655365370960728,-0.07836226122434996,0.10111458671307516
CALM1,-0.014254020388651503,0.029348955595777895,0.016795517185984085,-0.011349472148496442,0.02120462024450687,-0.0003399605045587428,-0.2741910900423477,-0.24906864904073608,-0.05391294640694922,-0.01639218656008979,0.10633993076553831,0.02862190451496345,-0.048282775536376374,-0.011577125057494546,0.04310278207439492,0.04298484323303661,0.013756037599497395,0.0026065750672340767,0.05859788189447928,-0.005796562074199224,0.0883695303550576,-0.16549021405308387,0.05391529862420893
ANGPTL4,0.070443947125628,-0.1470459584334077,0.028178336517117437,-0.1559647677342101,-0.021178631766405834,-0.036509616325216133,0.06298892397664514,0.0006922477832736805,-0.02582194513912778,-0.011279849862564011,-0.018631869779510542,-0.0326080127575478,0.014598759489994218,0.005648953339033306,-0.16963946859762152,-0.04688042340112766,-0.15589817606232179,-0.12452898953590295,0.0505244524423799,0.004073702622413968,-0.0040508081723113895,0.0370575975140068,-0.06406900464460268
BMP8B,0.015164161848230318,0.032657947612016694,-0.038099685528117766,0.07220261924066299,-0.01568585990740861,0.07960974514596345,0.2261226902942164,0.01076059802824848,0.004254830789744693,-0.017193512389873947,-0.0017800665023586604,0.03904250018938576,0.06656024458213393,-0.0006131109679674073,-0.02081886247489453,0.04384377971658096,0.052498261590031355,-0.02727053693168059,0.006780128538568425,-0.043730033218159686,0.05946413510319067,-0.0029650259559038587,0.11713468061184992
