,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,0.025372096207497686,,0.040841225040531615,,
BMP1,-0.008436829512343895,0.03555234669954086,-0.04011043708713502,-0.04511761776645817,0.014369414792238999,-0.0432737368984139,-0.03241381859897618,0.021697978926260415,0.016935417428251935,-0.05785164925325989,0.019126863982380993,0.003697170396531993,0.08468736671000598,-0.02640021495537304,0.0018850752982206742,0.03527094050378654,-0.03926741383658393,-0.024536178240056734,0.005588888761614058,0.006623020549268767
NDP,0.0183891894122995,0.02446579763091106,-0.05339724689970493,-0.035232632974423604,0.05569294108980751,-0.046362878483404424,-0.023788675461575107,0.00767020549109267,0.07412054191727546,0.013217963010652204,0.019843180575417382,-0.09597670120831103,-0.0691888605602028,0.039490916917334924,0.08136232356251338,0.010474432135597482,0.0003442063936788606,0.13908958445198283,0.09376750900721258,-0.05138718549040086
TNFSF18,0.040012143557698776,0.038993878024058286,-0.001802430424057545,,,-0.022181099345192613,0.035556732540109735,,,,0.014068345017659956,,,,,0.00625483809131695,,-0.007915740130954687,-0.052769472411969394,
RTN4,-0.00311987636271023,-0.03799797543504049,-0.022563744214437933,0.04086359389312837,0.0464178735826775,0.10186912871469721,0.027349752994487806,-0.017224130443758975,-0.10657582196440094,-0.03247693308276899,-0.018543677290969594,-0.079982663663787,-0.10081847635899452,-0.005254473470987052,-0.02787458106071866,-0.10367203182404597,0.017353657976082005,-0.007192412618777682,-0.018118254877629275,0.03339027253511074
HEBP1,0.014651582336957424,-0.03786844715447768,-0.025203471547649292,-0.054815546162846084,-0.050143621737850745,0.006840618171341064,-0.024435135818576446,0.0534364839435701,0.10652216032018968,-0.054914199568553555,0.02751614409913703,0.03571250814659212,-0.03960301200398442,-0.012240502216445542,-0.07903441088669726,0.050472308125050026,0.05718446668821433,0.08305887386094074,0.01187898831929065,0.0002168716486973508
WNT7B,0.02880612033489773,0.04778137931464176,-0.013435284527666378,0.031384982870015087,0.03622342800947843,0.019293395312008337,-0.02537179320908242,-0.029286039186425323,,-0.013954060183663032,-0.0347763024939966,-0.00403978674611478,0.10176888399656552,-0.02775502457712556,-0.029892563510049375,0.008775271162310402,-0.00010181514543033298,0.00510549378665368,0.10939703096030902,-0.016992710608256575
PTMA,-0.016392491908333577,-0.07169367566280181,0.002738637525252098,-0.0032492316968252234,-0.013074341731155535,-0.040547994295511015,0.03445229246629595,0.048864508033317794,0.16863976486594542,0.005343767355906046,0.10680609126928572,-0.028545420915279823,-0.057771848572205735,-0.00948083456483288,-0.037501571593508955,0.02756961108552334,-0.06164448646818022,-0.15488181030717824,-0.05369415887205806,-0.10949914229914313
FASLG,0.029557717090071566,,,,,,,,,,,,,,,,,-0.03646945927976652,,
CEACAM1,-0.008982591708876634,,0.07673594106893636,0.09856531031524009,-0.01992527331195659,,0.02198068235373267,,,,,-0.0022505607369059885,0.11610398213266868,-0.022034259171512693,-0.014481555335047845,0.022992991696969254,0.0015843379609964568,-0.0164813095363577,,
