,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304
IGFL3,,,,,-0.04044004801921697,,,
BMP1,0.0298104812830925,0.0360144000021527,-0.0514527860726841,0.028773985675384507,-0.28038113916269064,-0.038321237439784,-0.0006879352088497937,-0.017149359867335456
NDP,0.049303793241546,0.037137363733923755,0.1787481915047064,-0.03187686050655477,-0.08796380467899297,-0.03213557426627786,-0.04389411270006918,-0.06636331518386436
TNFSF18,-0.021544826325419795,-0.034243958524867696,,0.035323127908268394,-0.053814846957439155,-0.014105908833780663,,
RTN4,0.10873839576303129,0.05318930131315264,0.1630998350064538,0.11772424981460056,0.3862021646486562,0.04218894155444404,0.05500248024934467,0.06325674906894208
HEBP1,0.03861529469955504,0.004904357051556104,-0.036077901081597155,-0.019888031370335582,-0.0982790127716943,0.025843895358705463,-0.02982873350440722,0.00903299362299961
WNT7B,0.15821001183621716,0.025103491434562506,-0.04928309492021463,0.10103099933895827,0.3549209012494224,0.0896713681219787,0.08250016332328045,
PTMA,-0.010651474781711604,0.06891385668064481,-0.11615770167187957,-0.0962640200061441,0.04214080948831656,0.005862462555127797,-0.03574076263887472,-0.022607405431608635
CEACAM1,,0.06557450933984275,-0.014777312797118134,,-0.06940182483632157,-0.022185234087924045,,
PDAP1,-0.06694234584810095,-0.01785451454754151,-0.03547062779359293,-0.005033455014210423,-0.2012789128760471,-0.001272113850130924,0.0030765768102308097,-0.05205968807184757
QDPR,0.1360568727038444,-0.03177767922187973,0.11032257286043559,-0.012745898489033477,0.05294175831901459,-0.012897658762234726,-0.003810834616086067,-0.018670377337907273
POMC,0.07677834923980778,-0.00673931602215955,0.16929079573704345,-0.04524595992239304,0.051611906454013534,-0.016367381141724147,-0.0006728606856104306,-0.027617111319107154
CCL18,-0.028893383609069078,-0.04263121902441077,,,,,,-0.06075319259267696
CCL17,,,,,,0.02994789998227913,0.0325257605416929,
VEGFD,0.039950509608307726,0.0420673109001567,-0.014138096220043889,,-0.06774792822291202,0.05667475992218506,-0.01543484293417044,0.03438045405257744
TNFSF13,,0.020294689627811474,,0.04297134820964222,,,,
WNT5A,0.008778688324407737,0.08711192870877503,-0.06037017443750119,-0.02433723680147375,-0.20830685386409714,0.06187783696777399,-0.05741267236713558,-0.03708460320876604
CXCL8,-0.0345161114998475,0.011936733889863277,-0.05063694708557971,-0.02279540190895422,-0.07054156067068157,-0.04936015777570292,-0.014373596869582169,0.0061054045858613465
GRN,0.04002500623727055,0.0191416768313559,-0.08891517387129395,-0.009440854628626783,-0.3163046627640852,-0.000365484077248549,-0.039504357872895586,-0.07465926605303225
MIA,-0.032401996224275816,0.024546880565374678,-0.008435427257150968,-0.034278934767481846,-0.08468608311211248,-0.025464962036324337,-0.017553883289963674,
COL4A4,-0.03277168324536523,-0.023285047154819234,-0.08940423757373687,0.04806497401512713,-0.008383680534173762,0.11516171276014596,-0.00864781505735304,
TAC1,0.11601825525885985,0.05048959024950766,0.1484288842117904,0.06044098182492552,0.36793832439054736,0.007480281373926267,0.04176442504519449,0.08931235455328769
RARRES2,0.005730851055271745,0.02203507431035541,-0.1224938441968732,-0.014644697665527184,-0.3305573527576192,0.09210579597203464,-0.026271871893761983,-0.022198892528980232
FGF7,0.07265592536285957,,0.09482188521248172,0.003560774264880715,-0.04385264047086683,0.09616010484500237,-0.04450931289099235,-0.008852331692329306
HBEGF,0.05154154112220833,0.06812852070366053,-0.05958254355666837,0.00012283249517480333,-0.14018668279879593,-0.04899017985997331,-0.03963815658793294,-0.0016682773295663993
CSF3,0.03748377269889296,,0.04964711919144936,,0.01788722445472734,,,
PI3,-0.03882291501352362,-0.021596692011380814,-0.0017564476846553651,,-0.04747410959072164,,,
PCSK1N,0.14186513680131657,0.019794093883117748,0.0833766208157241,0.04939310909781344,0.21713630398182648,0.012617771881575887,0.030147663472765804,0.015147580806462843
NTS,,,-0.047360896674336544,0.053378247539638456,-0.05182123219023094,0.03351490113225055,-0.03093710935930767,0.011423106521671087
SFRP1,0.09627973094733745,0.027132563077005935,-0.01612911939641379,-0.015987856537975846,-0.03726613037203954,0.05668827092735445,-0.021042383933345114,-0.03000095560747146
CXCL13,,,0.029519743060644633,,,,,
MICA,-0.02134985427849276,0.026785508537824267,0.0030188056816065193,-0.015422522115410302,-0.12830645204976115,-0.0030394629336490285,-0.01587104263551606,0.06911197294873482
TG,0.01765938396018805,0.036185715582391406,-0.010995104835870684,0.06630069855026263,0.050106914452200065,-0.017724094988142404,-0.015228281720099487,
ADA,-0.038633485526590766,0.017496850786874792,0.04210890771635529,0.05059681461939271,-0.19166222902672111,0.0206182208091682,-0.024731954172672613,0.03588523397823814
LAMC3,0.042138443687104184,0.03349184539641192,0.019078372108646827,-0.047158484359943235,-0.16384454388300762,0.00907749624347917,-0.016410880224966527,-0.023695074098736064
CCL7,,-0.027117056689637216,-0.021192049426115793,,,,,
NGF,-0.01888068335395334,0.020100422409477275,-0.006638447276331475,0.05850729463178215,,,,-0.017847614031881676
TNFSF15,-0.02335776168243647,,0.07639097312659371,-0.02684273056771184,,,,
HMGB1,0.12560300138084785,0.0002987781601634505,0.021762157577478475,-0.02557502720368972,-0.2480699282190331,0.003124891630336837,0.010132087096688159,0.027827056095341994
ITGB3BP,-0.06468259513264506,-0.015970156211332336,0.020436099516583664,-0.07330560681647276,-0.19747335911072345,-0.04862543749797937,-0.07125459085377561,0.025129456424688498
AANAT,0.08923718049355948,0.06123510039706775,-0.0141380982383368,,0.007156376932935967,-0.01593938220276998,0.0987576758223861,-0.016779381970681857
RELN,0.09378813738912771,-0.014354130030449995,0.03982315943959572,0.08587231384051226,0.20082835733714685,-0.009447362760543617,0.012962742817418847,0.13054905978532896
IL15,-0.033202655043580866,0.03651089872293782,-0.04035214745805815,0.19797365303506562,-0.08419675983542142,-0.020463094229666055,-0.007518189021711439,-0.034384701596830325
UTS2,,,,,-0.11204394158202216,,,
BSG,-0.06941141646579486,-0.00044395800057642204,-0.005395281109221329,-0.023758510499442175,0.21173579659588002,-0.0020426161162597997,0.03378185083016124,0.061107852410991904
