,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,0.02140773031313028,,,,,,,,,,
BMP1,0.02528127707512283,0.04762718041138817,-0.010622693023560026,0.02112176241080441,-0.04006008523673988,0.014980459493022636,-0.02010176226058507,0.10353233325693408,-0.00731775120918352,0.018767539435383368,0.044529865218967984,0.010061160583887629,0.05944083614738209,0.013287908537220812,0.11407575638479944,0.09381838575842263,0.0547309733839009,0.08812129611566379
NDP,-0.06290231761913667,0.031075603556036387,-0.02749353473219187,0.043514623734947515,-0.021685807933077856,-0.012594154847207745,-0.022304697535896142,0.010983719074346521,-0.012475901170814213,-0.025391675186464964,-0.005206393526041072,-0.01892025029764582,0.1421389522650209,-0.040958923693534016,0.040415585398832665,0.05532093277334439,0.03299039173282537,-0.0004413245879138492
TNFSF18,0.03245827761966473,-0.031018913761336527,-0.018963573554726647,0.06961091954215501,,,-0.01523254325442836,-0.027970826457685154,-0.014339158792368452,,,,,-0.03173073687643776,,,,-0.015832196914312927
RTN4,0.002470671434072609,-0.007360199531252166,-0.0730309796119256,0.011206143233600828,-0.04364380846738753,0.03994526385987391,-0.02992730482193012,-0.058604355128818404,-0.014639338465659896,-0.06439137177121175,0.05941281337005718,-0.05356088773150639,0.013510612750859964,-0.062172677953210624,-0.05377674135666239,-0.0033045871868641256,-0.03821026046931826,-0.10370635933890884
HEBP1,0.004806694507819612,-0.006484609551926693,-0.008826504461926739,-0.010023063261603394,0.016380298582767544,-0.00988622756108569,-0.01979784245924171,0.024968613289439414,0.032881186282246976,-0.03919387067514812,-0.016459559922239617,0.012994091815838181,0.012930059421640258,-0.012618245056613075,0.019809599243681992,0.0020255658774985495,0.05673179250504474,0.019825313008376925
WNT7B,-0.021389023191772057,0.0019483926459965381,-0.010907738094075699,-0.015248983668927348,-0.028273680937614596,0.03340576723348236,0.007361013276768324,0.03839249015627919,-0.041101863879530104,0.010826435177295144,,-0.005961199048509714,-0.02643123004208279,,0.002565327545263577,0.03283025018589804,0.03310458271327171,0.031133982095211732
PTMA,0.01718158791395091,-0.05424784768827451,0.02875437986462108,-0.05907011310355996,0.005474933571449765,0.046626273894731105,0.0008256788563743703,-0.02422983750766154,-0.03625546483153765,0.0645472520758742,0.0048242331316945926,0.06035682178460415,-0.04644372444376288,0.06508005361784275,-0.07595492309502734,-0.0020466395023106187,-0.06429707689799165,0.06702610525103998
FASLG,-0.02138902923839412,,,,,,,,,,,,,,,,,
CEACAM1,-0.029698854287603806,,0.041967356346040485,-0.011702677801292916,0.012246829887666408,-0.019599434006030435,,0.05437712333995462,-0.022552080704703267,,,,-0.048921779802836275,-0.010936488690761406,-0.025529204122450706,0.01156004704794478,-0.016848516148569238,
PDAP1,0.03653851884334739,0.016032433564446745,0.026431715916916197,0.03694728176857496,0.011822783674004623,-0.014637532802793332,0.03269330102563422,0.0739447033015404,0.02112856011764353,-0.02301972767523685,-0.03543773584802206,0.06228763174515619,0.06320914735192226,-0.04461086974703419,-0.03757349771172986,0.03507837827305959,-0.07542765869428687,-0.05060015946277509
QDPR,0.0042959381863519296,0.04166313882036521,0.013079171215289866,-0.012586676572539536,0.011139914023762283,0.05310838936195383,-0.006598685979994205,-0.10602674626031135,0.010032631576429118,-0.009280782457336134,-0.008292984105737153,0.04662675576924659,-0.016140795454427977,0.04789650170015143,-0.02986426002531731,-0.07531804751856724,0.026012264578689104,-0.035743001282227654
POMC,-0.010631669758583142,0.013142513795716385,-0.05639357770256,-0.020793791377282513,0.028146600520239495,-0.020658344439784287,-0.010269707864395199,-0.047447571342113,-0.016638025948697174,-0.027522772249943057,-0.026342615526526558,-0.03694450259669613,-0.06885826392297369,-0.005808086301373103,0.04696048095489994,0.012905534239459218,-0.0008389536078187809,0.04459945318941483
CCL18,,-0.04159891386014527,0.014407326803916458,,,,,,,,0.0678519762824941,0.0288505628094922,-0.04194786855658047,,0.10702691912108593,0.008738598026281177,-0.00023512085711503684,
CCL17,,,,,-0.02418746782314419,,,,0.07422144245264038,0.024672011055334293,,,,,0.1039017217879465,0.03810155089991009,,
VEGFD,,0.04160817582770136,-0.030829217969809208,-0.016761738049522967,0.027547022941430275,-0.01875162877310807,,0.006346905632295474,-0.01905359397741337,-0.017236717612263808,-0.022416374432112886,0.017333498791196184,0.04666551814976279,0.04670794307860038,,-0.030125621482088107,,
TNFSF13,,,0.013882074854611933,,-0.016683973972890315,,-0.014772389269019229,,,,,,,,-0.022562723022490863,0.021953907011733293,-0.01891975440457575,0.00998781327134752
WNT5A,0.019362135005562907,-0.07125212254457039,-0.005408488075980329,0.029594312586206893,-0.022922396973772657,0.018316516217629294,-0.00530242279391552,0.09099216837330293,0.04315902949864563,0.005834761058517258,0.042000117534628116,0.0017651786785391648,-0.014330787994694996,-0.07616954840951183,0.048155315313350516,0.05788606368549473,0.06552666016446984,0.07306993525833187
CXCL8,,-0.0706599757246968,-0.004657617123581416,-0.015694698009674594,0.051547172029387994,-0.01598936644517056,-0.021012765610485762,0.0014150226467854966,0.03479981561023639,-0.01605158091793842,-0.051079421961631205,0.01706205116154428,-0.050385687260507704,0.11279759423528388,0.046658607925916834,0.007007063895579231,0.028507322780793643,0.0038952245159591557
GRN,-0.035026801068119555,0.012593473279068778,-0.037616262224588234,0.01696987263997062,-0.015596880376983627,-0.06767367914131994,0.041120334133667814,0.09143361966063233,0.04180110470109832,0.0015016475415893244,0.02812557594011434,-0.012135744785831874,-0.16209698061952116,-0.1178094408580788,0.07803613814960386,0.051026718312537106,0.06505025588675059,-0.007458857004933146
MIA,0.12367153651237354,0.011938563321354623,0.012170772166895712,0.0719016012921623,-0.010620105045507042,-0.04250291025273678,0.0013150020084973953,0.0721927211568265,-0.00278788505604531,0.009221222784151497,,0.04423599568145127,-0.07047802774547662,-0.053934768762214556,0.05057454341390268,0.02491506181686453,0.02943777014936076,-0.04682890055321749
