,UKF248,UKF251,UKF266,UKF269,UKF275,UKF334,ZH916bulk
IGFL3,,,,-0.031296068044404476,,,
BMP1,-0.06819439941598177,0.032499424616033105,0.02563165921227848,-0.21224050787809515,0.013326918798763637,-0.08137521598811669,-0.0285621916141094
NDP,-0.04080972538727943,-0.03383897835471576,0.022874984857088006,-0.023043463533089264,0.051034218790220645,-0.049195091613802894,0.01918101151203598
TNFSF18,-0.018889877856706764,-0.0025229767679800963,0.04673619337943337,-0.012763909290446466,0.022796171310963655,,-0.03062211700010771
IL36G,,,,,,-0.010628479184886552,
RTN4,-0.02600416952003736,-0.012073150470431126,0.048931442782114996,0.3014967392060265,0.03420117863346005,0.13036001209218065,0.06764915841543893
HEBP1,-0.062209957933921874,0.03129352225626177,-0.028961626917182248,-0.10375901884776029,0.007127168025035117,-0.05969229048542797,0.028560853016217618
WNT7B,-0.03509584352576842,-0.017018621239393305,0.0034897158755367347,0.24038952433623675,0.05338450341621513,-0.011681923465005985,-0.01141027676754739
PTMA,-0.010622258807708616,0.006913450002466885,-0.057768404615899036,0.005548318814995465,0.06960474964653518,-0.1086039114289142,-0.06884378990552935
CEACAM1,-0.031192988159060693,-0.013060768200092762,,-0.06115677056483907,0.047547642434678024,,
PDAP1,0.026929740612736047,0.006493220021728952,-0.020225476554430827,-0.21422972832139248,-0.013112065316057972,-0.08635264248293048,-0.005896348341918183
QDPR,0.00962221525320056,0.02992401569099791,0.03164375378113405,0.06503616128119574,0.05312233350448931,-0.018249466766994963,0.09807530575205863
POMC,0.01677739274153159,-0.023206901342679876,0.08167468275257865,0.012281087497459457,-0.027559433276952483,0.02414063120547635,-0.024442024230730743
CCL18,0.018497992682750423,,,,,,
CCL17,,,,,0.020421987154735862,-0.009709417477815615,
VEGFD,0.024483950826468412,0.050909788093142616,,-0.0524293089494887,-0.012823327717295906,0.15257730704023212,
TNFSF13,0.01742893798093108,,0.030729036295932828,,,,0.07380350386278248
WNT5A,0.0340027941307879,-0.00585181206036984,-0.018227494310630362,-0.17373296243105524,-0.004353070026208844,-0.041796611460001624,-0.015438260663616707
CXCL8,0.044524386778116126,-0.017516060525238963,-0.009960858202344495,-0.09924162003542625,-0.03367595474249208,-0.03128650985021399,-0.06524489532872255
GRN,-0.06533604659918606,-0.017769416684910284,-0.12783423302577784,-0.22422550273426553,0.011757273474617082,-0.023785159019948172,0.017108943312526183
MIA,-0.04671075863897563,-0.016636635378476844,0.06169334786108408,-0.08482836119826945,-0.017623247321662757,-0.014251334252852714,0.0035949357548508113
COL4A4,0.06246742627580861,0.044267920650459244,0.003576250854265948,-0.030839952101879467,-0.030927141598812588,-0.013824322936919016,-0.037231757678911584
TAC1,0.09950432899037029,-0.05239611741650994,0.14330261198243957,0.30894883990415356,0.16757395883340145,0.10251176268789769,0.07986004473278005
RARRES2,-0.05645808492124401,0.010187800905121322,-0.15397136261104935,-0.24846188152431836,0.1479968275713424,-0.05680560358246345,-0.026497746192530897
FGF7,,0.011124389993547487,0.0395863736547699,-0.006536382259464889,0.05815165445735923,-0.014428444274848186,0.006874519179821935
HBEGF,-0.08936084148064494,0.056835742188519195,-0.0811451393836069,-0.14825701990732726,-0.10722253184172495,-0.04203570625528568,-0.14709386427069704
CSF3,,,,0.003186767066850585,,,0.01584766872641219
PI3,-0.023871500148857454,,,-0.036739643914189095,,,-0.0003339351862791251
PCSK1N,0.026230706004677445,0.02722029097159399,0.04550862221844489,0.1762492559707587,-0.06470562435717131,0.11674318792025529,0.06266894028154062
NTS,,,-0.00043449231771790903,-0.0401038299459901,-0.035330664226744794,,
SFRP1,-0.01842599359042393,0.007150469863503177,0.04427365498680566,-0.051723047569963494,0.055503393796643666,-0.014634503776492266,-0.0033719088323525604
CXCL13,,0.010642946096086292,,,,,-0.00014590040361563112
MICA,0.0021870315919971742,-0.04674890574935416,0.021428481740755543,-0.11602110728967406,0.08940106612354966,-0.045396691500797275,0.020517598249059806
TG,0.017966468058495895,0.018741867601293916,-0.034954199482470936,-0.018802161442308615,-0.009710390417863151,0.03332464192069287,0.02495821314490025
ADA,-0.025828205305804045,-0.016715214500031873,0.03243372285012619,-0.1797899653220023,0.026448367073277385,-0.044444519833485116,-0.014349787176785974
LAMC3,-0.024755673960301313,-0.03158205815191588,0.05654601591487481,-0.11201505138254597,-0.009662363407452591,0.002519336064036791,-0.05908058136205117
CCL7,-0.024760162034630342,,,,,,-0.014321873508481723
NGF,-0.008676326729470973,,-0.014870085860933517,,,,-0.03332144361637114
TNFSF15,,,-0.019543668668991265,,,,-0.043344096698542285
HMGB1,-0.0016195651800804253,0.011696891419179867,0.05055467309132677,-0.21459932746385504,0.043036075302069966,-0.03871571215068347,0.06498320963134967
ITGB3BP,-0.01322138196623335,-0.011630595652173704,0.016488731270227073,-0.16935027567340988,-0.04920527508670685,-0.07985307538895829,0.00618222756977826
AANAT,-0.035923228116598496,,,0.0520242643802683,-0.026838767698349645,-0.01302425483067661,-0.02391321488972152
RELN,-0.033629296740824884,0.028442900923791148,0.0387882855765893,0.11728500481964123,-0.034011579100116776,-0.014418974267098882,-0.0180375571105201
IL15,-0.04249208469750277,0.03369816371063574,0.018432372194306837,-0.07676910337547359,0.049718587845162344,-0.012079394384186617,0.010791005721823567
UTS2,,,,-0.09708374344026195,,,
BSG,0.009052655450406503,-0.013699259750536907,0.016906424775902623,0.15778672671951127,-0.08424522489236126,-0.09310297868951495,-0.05496596102930672
ADAMTS3,-0.05732365648308225,-0.020350157524145658,-0.02247345061463206,-0.1842906067302746,-0.032204015669691895,-0.0025086192525093287,0.12339595324900567
CD34,-0.0909336962618915,-0.011827544559327493,0.1199811812117083,-0.10165780514531043,-0.013921719381349397,0.0004335403806473603,-0.04234106610103238
CCL23,,,,-0.03348826956241485,,,
PLAT,-0.0775029720558887,-0.024483084253037288,-0.04802202382320731,-0.17251908812474603,-0.06673293845111812,-0.0617060724133716,-0.042006499667833874
LTA,,0.011444977032825971,,,0.052489486480340866,-0.012079395875272698,
CKLF,-0.007722341240115555,-0.002069728980533097,0.00884693440595127,-0.23549264065617231,0.00350295401383221,-0.10638239474581088,-0.007349728831694051
CD24,-0.018595910771938378,0.03787403984012837,-0.010379283899073282,-0.0028188540184535477,0.005444213354341486,0.0005751204259293299,0.04663676559521617
HSP90AA1,0.018518666812738328,0.031142285496560736,0.04368233631541836,0.23680521315476358,0.07066528541051947,0.11513742967821643,0.013584983425063346
BMP4,0.044795141003106526,-0.013845181335168027,0.007481537696178601,0.054349109970073375,-0.0196410711944482,-0.010292892899195345,-0.03773578505332413
SCGB3A1,0.03308557998108647,,-0.0077145308985179135,,,-0.008428842698435733,0.02551588424901381
IGFBP4,-0.08484250257246821,0.02185197002672282,-0.04620994555992471,-0.14496597145471316,-0.07446307738169444,-0.08710054493383061,-0.014779276729882775
RSPO4,,-0.021114225638588044,,,-0.02075321294269801,-0.01675602376038923,-0.03015361675190714
LEFTY2,-0.06916060781613477,-0.01322117566192997,0.10959713957176964,-0.1574455836869435,-0.02596267145900935,-0.014911879309748,0.0015976755518104554
