,UKF248,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.13057326928139606,0.07158385650520503,0.0021333853646281595,0.10005914589117766,-0.018032816063360678,-0.0018619583496310211,-0.04467692080024173,0.08575572126468309,0.06699271838195885,0.03461824046197344,-0.0052147972950487564,-0.01667454819516537,-0.050819132794665614
RARRES2,-0.006760834533977495,0.010792629935117497,0.02489507353183567,0.16213709977958582,0.020047099634188686,0.03286136146864339,-0.04866321512830947,0.020803949391106507,0.02306076298066167,0.02383978279625827,-0.020317264520764586,0.029277394998560805,0.049531527859774875
SEMA4A,-0.04706014069391613,0.020660784527653415,0.02676420300466609,-0.08683136655224727,0.004752398622432194,-0.013401408513375906,0.04012259679442062,-0.003658179666315701,0.022306643061545773,0.011666045483183842,-0.030324896378494857,0.022448979540814797,-0.061949895019390654
GDF11,-0.018076269186592067,-0.007827761356194196,-0.05992130164500066,0.060248581592894083,-0.02531275184586836,0.0357485858668392,-0.03717320893956037,0.032058106156259286,0.021946556382481795,0.0012640263315563114,-0.001178601757468349,-0.03468098825742377,0.017320510805254083
GPC3,-0.021496233711964546,-0.03850416121894314,-0.0292700988266348,0.044683768719437536,-0.004701674068621426,,-0.030603805920788024,0.08807777850816564,-0.011692496337389219,0.05951634465589952,0.08123263636083353,-0.07193587267025321,0.07622459254292294
OSTN,,-0.02122846019907375,-0.029730881094002883,-0.0260810255313668,0.009103351260227242,,,,,,,,0.10730680329922161
GRN,-0.0603190022487798,0.03487517846082263,-0.02301257374098565,0.16542883433097832,0.008938707989340933,0.03891087355720409,-0.025461371292892634,0.06815270223312526,0.06307176217935848,0.008533531797882143,0.012797310364214705,-0.026517138253861247,0.021937883348194475
CALM1,-0.027610604204970166,0.07692546802367821,0.021898161101711527,-0.13907777597397625,-0.00836629486229969,-0.040068301192793296,0.01633343918235438,-0.008787914995265917,-0.06993240348010364,-0.005191885969915275,0.04450448521443248,0.0279644969749569,-0.021154832348619024
ANGPTL4,0.01372356470838145,0.049953274086689585,-0.0011664174761505622,-0.01858516384039762,-0.00103384233698154,-0.03521639014529485,-0.0937635043863183,-0.020770096331396034,0.010509143028448256,-0.07383255078975827,-0.06755575646382726,0.057478310609364994,0.031958267438188234
BMP8B,0.030134456040867258,-0.03371186620842052,-0.028907100410224953,-0.0064845816470466885,0.001375298042445365,0.07109592703931458,-0.021193929100733866,0.0665530799992841,0.02644026962251871,0.006320211319268355,-0.01448521593419218,-0.024909376093696655,0.02047790070435925
