,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.04074389274645456,,,,,,,,,,,0.0005119413798564064,,
BMP1,-0.030571338650210087,-0.0055791582986231365,-0.019453889711130327,-0.055429679406416535,-0.03407118760713553,-0.25105424207048854,-0.05796184598196812,-0.01106142606126529,-0.06188421985004894,0.02118510668251782,0.007297137379392166,0.021799244113995676,0.011291846099492981,0.03262121673297417,-0.07370938390566754,-0.03779517241180304,0.17121351171962998,0.08815112798577046,-0.015818005152633985
NDP,-0.013985912871795443,0.04036003600641308,-0.006090466803059303,0.13443766480573302,0.08035694361579516,-0.009780147532644683,0.02476410285468097,0.010361867050164867,-0.01954733648257988,-0.018531854053881365,0.06795228315795597,0.048396662102477415,-0.04163420615170099,0.05410306905685179,0.025491666068516543,-0.0254354504593851,0.04365788793941406,-0.07422200487894692,0.03738192510559525
TNFSF18,-0.05352912985047517,,,,-0.029921266994961594,-0.06050345756330635,-0.03214341378703413,,,,-0.023736419833632824,-0.06254484645462337,,,,,-0.009051963032090288,0.04846402272708349,
RTN4,0.054048706689290855,-0.008800368843679657,0.04774349787361119,0.13407410660276523,0.18587891747139465,0.3826569113914868,0.06760476467309996,0.008135106568495408,0.1648449319713914,0.01353334830814378,0.03866619757465734,0.03951570376396865,-0.05528432282289945,0.012025749548435194,0.05144081182669447,0.1959719174346447,-0.0350663664057669,0.05754444817013242,-0.016892812761519164
HEBP1,-0.014032064718435574,-0.0095449342994893,0.09017669470405926,-0.008424411039532335,-0.06146334712926647,-0.12422887560268911,-0.04179609704932242,0.00421604677767814,-0.10500341834538197,-0.012027739749602282,-0.06614031600687938,-0.04040160676692267,0.028612323261000598,0.06978127076067842,0.04276994578040248,-0.002242534180377411,0.07473070498085203,-0.015388367650458368,-0.1463294491108348
WNT7B,0.06312795037876132,0.08859514624519157,-0.0042338390814453085,0.048782155469243416,0.11082458577492628,0.2819826376703351,-0.02626210259682393,0.05331799595090517,,0.03904052732763277,0.002038355413632367,,-0.029991916575122936,0.01725106677341483,0.04812181434094111,0.050157173078454444,0.01637860919111637,0.06582018302145927,0.15355300337340963
PTMA,-0.04040135429892277,0.04801141141948845,-0.008074892037315907,-0.09851584806333788,-0.14501296960128865,0.05151601073473868,0.03668782773803385,-0.009673671652785279,-0.17638144626579963,-0.08389347563074409,0.005780450146081319,-0.07762380128848145,-0.07013261979501796,-0.09403214197188589,-0.020791248101154472,-0.029801743371483558,0.058370605262645654,0.04682453041662178,-0.10327592384961103
FASLG,,,,,,,,,,,,,,,,,0.0629646894511878,,
CEACAM1,0.015405692769231684,,0.06713685546792011,0.040497289833346294,,-0.07961910413403651,-0.014435917448304494,,,,,-0.021241180323469788,-0.026897231175542127,0.06588812907157239,0.024906693068751054,-0.030547735661464785,0.010251049021400074,,
PDAP1,-0.006214360807467144,0.017390935033141104,-0.007026672350299828,-0.07603351935982589,-0.050877044976856946,-0.18049179493586706,0.02394326956046524,-0.003433764009692062,0.0656408240122302,-0.0808716196507865,0.0353404292853376,-0.042457806875597436,-0.021578029940871046,-0.06512495586258515,-0.04371681468758051,-0.010494148813663734,-0.049552856132472886,-0.009988323513529861,-0.06053750486301449
QDPR,-0.01455080812682079,-0.02638672399972731,-0.0017921561506497748,0.12134491726958734,0.012202711552339264,0.1025479526073776,0.06964689979974423,0.009711483398931351,-0.17061699104707498,0.001056611712102185,0.008044384168491183,-0.03597933733239766,-0.1069224461730661,0.10530873492444928,0.12197607500579412,0.017272799753755712,0.044915466084706764,-0.0006549083474187975,0.004716257142112953
POMC,-0.009829647225522284,,-0.03954222015014513,0.026316038457678378,-0.0017749935740884245,-0.027195836753607216,0.024669438846056383,-0.02702606029152038,-0.05686953889103172,0.0021722357221267757,-0.000699301362562999,0.06627014488494296,0.09361869303991882,0.00791348576393558,0.06473449674876386,0.007664774778447301,0.07603300550255093,0.04212651324668507,-0.04466637255268129
CCL18,0.003971182236690141,,,,,,,,-0.047412280908247964,-0.0120814814391157,,,-0.01907057913636161,-0.017226180941877917,0.026927341353206447,-0.017570273651886865,,,
CCL17,,,-0.012844979828368885,,,,-0.01907765827674022,-0.024466577097788277,,,,,,0.11118597466680537,0.0007861680597794828,,-0.03297310626706302,,
VEGFD,-0.0257755273218808,,0.04825566909543399,0.045748548711750436,,-0.05644662432329715,-0.02833428547022992,0.07662576329003133,-0.02295580453432254,0.011432147259544705,,0.15595892246568896,,,0.009580230311076307,,,,
TNFSF13,-0.017271563492304066,,0.00035289103762353957,,0.014092100673070502,,,,,,,,,0.035965581218551326,-0.0013749441630783652,0.03319400959890445,-0.020773355547017695,-0.008986887680530308,
