,MGH258,UKF248,UKF251,UKF269,ZH1019T1,ZH1019inf,ZH916bulk
IGFL3,,,,0.03440804701189953,,,
BMP1,0.03251798999315967,0.07076808987478078,-0.020385240459590677,0.08149979195312068,-0.00548534228723753,-0.007288392906542466,0.06663384836021108
NDP,0.02685429099488276,-0.041714134388711806,0.01376900131192013,0.011997143293663907,-0.10629213399206805,0.07108210208707094,0.014273235597236136
TNFSF18,0.044620672136344255,-0.012008592141834893,0.0009209868581439454,0.030093016525325342,0.13366549696119204,,0.006714695544712088
RTN4,-0.07760288483506907,-0.06696006531040283,-0.06162817478664928,-0.10548951275972014,0.08190496810376509,-0.02700282224012648,-0.07531481381364115
HEBP1,0.020132205753311365,0.011365650397227306,0.011861616644016975,0.062365642016397736,0.1347353279882606,0.01926581630431704,0.024172633577216333
WNT7B,-0.018860669844473665,-0.03779429132783782,-0.015709238582761135,-0.06291455909451829,,-0.029991934479033377,0.0966712829469925
PTMA,0.03653775105029954,0.050495618010876694,0.04895819906337008,-0.08058088420529164,0.021307361726855337,-0.12229287063668748,-0.004985847444956188
FASLG,-0.018860675176336716,,,,,,
CEACAM1,-0.026188212545073194,-0.01625460379057312,-0.012055895765191327,0.08828972227958982,-0.029689486215852174,0.0008359382124311734,
PDAP1,0.027389407011678038,-0.011733401075742085,0.07812945345619512,0.0931937594073027,-0.08770163340212254,-0.020940809445439974,-0.04479783061529999
QDPR,-0.0836998345370421,-0.03927568551808994,0.004121152106482219,-0.1336034743035033,0.05511809168351051,-0.1166012386729731,-0.08299952121197546
POMC,0.0073230108965041335,0.008497435452904146,-0.005706639977476175,0.02529756506041673,-0.07766960055653577,-0.05089360317442591,-0.029582060369671977
CCL18,,-0.020284209730209096,,,,-0.01907059052069379,
VEGFD,,0.01250617769447231,0.11646669430750828,0.004616108457555945,-0.015238178685585134,,
TNFSF13,,-0.015307120439614004,,,,,-0.03073432298330321
WNT5A,0.030252580159995737,0.041128475921023595,0.01918038561922766,0.044693246076990246,0.0455753771209499,0.039694875881562175,0.10547613522899922
CXCL8,,-0.027273671386144265,-0.016168405768625736,0.05172962701548701,0.05938672737634651,-0.03357677714711248,0.03588403550965887
GRN,-0.06971621695308784,0.02555011527061038,0.025677204503536114,0.06778363517857047,-0.027029291277999006,-0.02349585822131749,0.04696310593743517
MIA,0.10945304222397118,-0.03012609666848563,-0.01535664203924748,0.05871853258856626,0.06389446375995182,0.00548429588200538,0.062400861805487165
COL4A4,-0.021842960015226717,-0.024361171081523463,-0.0008401510588346166,-0.014979002359722082,0.21556968414544622,-0.02411118508655421,-0.034350259658865394
TAC1,0.07788005497879807,-0.060070566898105415,0.015271797946448666,-0.058822691096803936,,,-0.023096895184843164
RARRES2,0.09741720992709557,-0.015343166424969249,-0.011106425374657397,0.1030890960369056,0.027238510240752484,-0.015002481770151243,0.020293517714967256
FGF7,0.011156933620219446,,0.04707766128934978,0.03821080436082903,-0.062343169541154826,-0.01062552565572092,0.1099839181790994
HBEGF,0.05829166792108776,0.07730448201384152,0.015230434609301253,0.07725258534417805,-0.05225308961858769,-0.015603798682690588,0.11648192253803186
CSF3,,,,0.03383970056897503,,,0.020365708643986593
PI3,,-0.0213398438540448,,0.07054829612721081,,,-0.002679966823138835
PCSK1N,0.09627207375395287,-0.011601930264394654,-0.03756759154843923,-0.00114187942854231,-0.016889478027704477,-0.012163832287377718,-0.07793900995834696
NTS,,,,-0.019478479130266534,,,
SFRP1,-0.02744274386773062,-0.010918438764901171,-0.03607647114753172,0.055737292495229476,0.039366876954016417,0.05531819725293948,0.02432118615817565
CXCL13,,,-0.029152190274292097,,,,0.09229731389647174
MICA,0.032138737869802925,0.006053033364211938,0.07305857482180615,0.04562702176661236,0.009491582847634853,0.021093889281499297,0.020148512555304685
TG,-0.021842955092831576,-0.011153934440283226,0.024431355624965623,0.08133676749186737,0.004272499369011547,0.03676876585082022,0.14446288155404707
ADA,0.016999940962104387,0.10550654625371023,0.08020597738418231,0.058383573812386506,0.029953868182500384,-0.014290292161513578,-0.007025425706564109
LAMC3,0.08600853408607584,0.11514516823118522,-0.00646070245730446,0.10714932283373234,-0.09549552360580019,0.07535641646541287,0.031045294460496337
CCL7,,-0.012902470953120328,,,,,0.030866182191402705
NGF,,-0.006084453170809426,,,0.1465744225818702,0.02217469794977308,0.013805105917672452
TNFSF15,,,,,0.03922240132113105,0.07514665334808268,0.04669591649023361
HMGB1,-0.04898633764689953,0.04265133103714885,0.025638648449464622,0.09698369288553105,0.027408638618357066,0.03710301431058303,-0.04046013904113202
ITGB3BP,0.04237207769423718,0.015108618161156682,-0.024708505737944537,0.12071237917197769,0.014065911606557095,-0.021596041704868358,0.04202566180912947
AANAT,,-0.0008679135323827515,,0.09352530665258953,,-0.019862819430992225,0.02351497998854985
RELN,-0.018108388875709893,-0.03179840733511388,-0.038470374606372364,-0.03268847043084846,-0.06029464822152763,,-0.041680008156833856
IL15,0.016263088643274852,-0.022200484932836485,-0.02088518179130956,-0.006875517823814541,-0.004491749100129594,-0.011083337936602334,0.1191818781617032
UTS2,,,,0.05748965283025798,,,
BSG,0.05678567219983622,-0.008087479930137451,0.046521611929010706,0.013197043628878097,0.013307405398896749,0.03792820974300651,0.06967743068653957
ADAMTS3,0.050132116618913494,0.09389908015484491,-0.0038940533696043586,0.12379288242544857,,0.188643772854317,-0.04906773404196538
CD34,0.033859235530503004,0.08400671507035602,-0.024356275253224282,0.10310949914441761,-0.011413384919103065,0.030068055715179145,0.01649477915962342
CCL23,,,,0.0072287968187120825,,,
PLAT,0.026909985169257505,0.09852820942103471,-0.00032532125069344213,0.13147349168634737,-0.00373123249926497,0.025240401860516203,0.06626725841824352
LTA,,,-0.012055897002342173,,,,
CKLF,0.0320908153954731,0.06341548719504148,-0.018134533186674292,0.10417174659539863,0.10054358583950379,0.01243872731785156,0.03122672760846667
CD24,0.059483559252459975,0.03920642830220252,0.0432747498541046,-0.028547540425251323,0.03383491224591629,-0.0020125716826045175,-0.0052224384542905525
HSP90AA1,-0.1257899311807725,-0.05088024156845157,-0.029232049940427503,-0.06470877849013006,-0.01940797980702493,-0.027183985392212555,-0.04079065527263574
BMP4,-0.022479571849943362,-0.044898077566117654,-0.012779957539233616,0.010610625958116082,0.1839545297703711,0.07083441596380635,0.018652142705198972
SCGB3A1,,0.039145058357888236,,,0.0418025652548705,,0.016998443777070764
IGFBP4,0.041780321179840645,0.09958282224672282,0.04992318846030846,0.1127363692695205,-0.007410226472749137,-0.07502488782939228,-0.012989059383974119
RSPO4,,,-0.01948973441391754,,-0.0395985932505189,,-0.0098361710957765
LEFTY2,-0.02162698771566337,0.07685846532188945,-0.012203961760256957,0.11836720987483496,,-0.025382999862179807,0.02302139064108296
PF4,,-0.013384241125915774,-0.010966476891411708,,,,-0.021792918464219626
ANGPTL2,-0.04778939501375912,0.03807547733837027,0.026848297734949168,0.08391633861349929,-0.05563121834210056,-0.009615305102227922,-0.0037442209371831977
LRIG2,0.017983520210771858,-0.005009153827677022,0.008178702248181709,0.045896067948468,-0.008025710322586352,0.040266477330306756,0.0019586269767007405
ICOSLG,-0.06056218536462239,-0.012029227293722774,-0.017062682081737203,-0.018264921847601222,0.03385324515860549,0.02249612807088043,0.06256572427237775
WIF1,,-0.024082769465592242,,-0.05369873113155983,,,0.012459085451947937
NPPC,0.031042125731790486,-0.02136032938661806,,0.0013657181858560189,-0.0020087378652865473,-0.02378365847174649,0.0968279950991402
LYZ,-0.05510009184837624,0.03626282977877353,0.04745238800789458,0.0011579615678842495,0.043031627337968795,-0.06777169713138764,-0.0047543775632127305
EREG,,,,,,,0.03865307550624401
SPTAN1,0.113946921788218,0.060305713978398116,-0.0025383007217315233,-0.04730612985284024,-0.0631441590833828,0.09114890411487468,-0.02905829062907815
LIPC,0.007130533348266935,0.1700358845663259,0.023055545877734982,0.06892727436324912,0.04231571038429807,0.032283570132020385,-0.005214385491315566
COL8A1,-0.03726135825930699,-0.0056599036618446025,-0.010437487780867413,0.132138023818702,-0.022955768511165063,0.05372988379970054,0.04131193821378957
GSTM2,-0.013501613200887807,0.048910370110243406,-0.024030383295264714,0.051269183443192944,0.042981257998619425,0.043903352054755845,0.018379527149737368
SPX,-0.015338736984532976,0.04003821612910614,-0.03692014268604228,-0.050133419048345486,,-0.04302725612011546,0.0004491472988083148
