,MGH258,UKF243,UKF248,UKF251,UKF260,UKF269,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916inf
IGFL3,,,,,,-0.005006934399911309,,,,,-0.016539980557927332,
BMP1,0.004094990765644834,0.1105641928774435,0.032692004129263784,0.06301588195574752,-0.032859698233592374,0.1603719073217397,-0.016953295334562513,0.04185375669213862,0.02385981428673285,0.027487749467982218,-0.03846119174962149,0.11492949383682909
NDP,-0.02092193599622983,-0.0020987193591321227,-0.02867428612249267,0.006041909330027689,0.03419649354645371,0.037582099979146,0.012870482887828305,0.049552551132653805,0.03175830789777385,0.06442254146620942,-0.09243498570358973,-0.04712912536454
TNFSF18,0.010748419238702196,0.030748479739618143,0.03180828037294005,0.038169287891622924,,0.0004578340267512853,,,-0.03700314076215645,,-0.0027592259729614715,
RTN4,-0.027848746028086686,-0.0815001855656797,0.0007608005519680226,0.005492560553709233,0.033168164304328285,-0.23651481414204117,-0.0862307497709506,0.003384916216746815,-0.07565864154492889,-0.0052978745522863375,0.062274239805561286,-0.019132805068489977
HEBP1,0.007545538710245218,-0.018760879238146077,0.030882000594004227,0.05545601129727159,0.021871559587706087,0.13984844121148615,0.0406481959599462,0.04925245544830301,-0.04360664096272501,-0.019256934253796036,-0.02014346180219586,-0.023546285239326604
WNT7B,-0.02348937286886994,-0.06493925782230871,0.002617788313005908,0.029405889412134296,0.031305598178865024,-0.09464022084188557,,0.03700275834205393,,0.07083537846726767,0.03160254231309909,0.02303402947850204
PTMA,-0.042661819429308884,-0.03170401442472651,-0.027448612766190362,-0.01742394672838022,-0.03957462521240221,-0.12787120050012957,0.09121918558621547,0.029679067125623525,-0.04664545764561702,-0.012943791923158076,0.01609471127342792,-0.10024306760679773
FASLG,0.0972403201392198,,,,,,,,,,,
CEACAM1,0.01151313852197065,,-0.015573936352783903,-0.021628285558079014,-0.01959943421322226,0.09781092625432998,,,0.03275958980656954,0.09712084799222646,-0.023259676021080214,
PDAP1,-0.03412989097045037,0.012755952011065967,-0.008385657689319887,-0.01699759646141196,-0.004760676186094923,0.155367047002282,-0.05522080472007813,0.05603263045156693,0.10689540248149326,-0.02451934090807451,0.000831268720724998,-0.015442318757341904
QDPR,-0.04270603430842677,-0.0063072992777966986,0.03061346546474272,-0.012808909323703854,0.030038612994455777,-0.2179771528406792,0.08178727372093669,0.05225288197717194,-0.031247947900100867,-0.03724575021679498,0.06978374911407899,-0.07229843035720429
POMC,-0.06164692145846851,-0.01687665139512335,-0.016831838996157304,0.0368092389505272,-0.029426254354147065,0.028046585379422364,0.030763118296528592,-0.009893191024827955,0.02820790041624162,0.04087666716886331,-0.020101941549371713,0.04855468101423173
CCL18,,-0.032902604580230636,-0.019434801080048837,,,,-0.0014663023946251599,-0.04830376348839943,,-0.04172312819118657,,
CCL17,,,,,,,,,,,0.059454996450905406,
VEGFD,,0.011034030938750997,-0.019434807251508448,-0.030978179792726494,-0.01875162897133748,0.10388565970125184,-0.015942324734282195,0.07192372187116469,-0.0814148667969511,,0.04020597541078238,
TNFSF13,,,-0.0146661292112947,,,,,,,,-0.03401479305427237,
WNT5A,0.08211845013741664,0.011717620520208475,0.0115835824755161,0.035672800972880836,0.029244242268258912,0.1480006918882898,-0.06503827519607526,0.008415665866197642,0.08092782772699257,0.006432840452698119,0.024674277490017774,0.04403683795676138
CXCL8,,0.00664269119293501,-0.0039552824480000096,0.017153876760274717,-0.05649968372534881,0.07784263225570914,0.03968058324684008,0.029187199501723125,0.06522715459190537,-0.0043409988553919495,-0.04075154405286363,-0.03870137274733998
GRN,-0.015548943760505632,0.01928732651924284,0.016046516342632374,-0.05370153860419222,-0.021909490303552,0.23226670489424553,-0.00010783656544657323,0.024236444108789893,0.013457032110006746,-0.031198062171778007,-0.021382155125375512,-0.07060849277194758
MIA,0.014856681248980107,-0.025293539150260967,0.016763744902298625,-0.027549826716071844,-0.02566453822120005,0.12852876419244255,,0.01033193341990187,-0.02218337410800585,-0.014650570008519123,0.030354658024160205,
COL4A4,-0.02720356363736537,-0.02996688400192506,0.006526527766205895,-0.03950906033435665,0.009583575932725437,-0.008319539230407009,,,0.07080909306661232,-0.022310281275364118,0.0032764658512943194,
