,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.1880624175660174,,,,,,,,-0.017079230261307206,,-0.02184506036293779,
BMP1,0.02640183175990694,0.03990735067309911,0.03408277666613825,0.03958708514654044,-0.0008434431554398138,0.021712274587252438,-0.007128531638947162,0.013478215682854094,-0.045272354002235685,0.027733079182879487,0.08575032566456998,0.012931243555393272,-0.11927228486038213,0.024706009036998086,0.02056057174938315,0.016719645403835623,0.03183981017615158
NDP,0.014448627888348322,0.022541199029299127,0.09549595540743232,0.03793805008774924,0.01805304038207976,0.03446268405703207,0.013444793854150719,0.043741702515028874,-0.03478787536424292,-0.01928499769523341,0.00817863587582607,0.05314323568169223,0.02432629367675152,0.023044705126968285,-0.06511270271691288,0.03491210026576981,0.05141106728405102
TNFSF18,0.10321777771984328,0.01728438928950269,,,-0.012399099164947828,0.05688064819814024,-0.013506325325882383,,,,,,,-0.0176135087023684,,0.020982459828289116,-0.02568532065066504
IL36G,,,,,,,,,,-0.01713623397125894,,,,,,,
RTN4,0.008826456969201583,0.019685464699343604,-0.004359388435481373,0.031654390572009375,-0.008992455121958697,-0.05900362498203379,0.014961406843260257,-0.013767493744704923,0.09725671356053381,-0.037833954781446,-0.026398428134825024,-0.024849273615473275,0.08957549183758592,-0.04329544592737328,0.10045028198993607,0.002627201056062214,-0.07396884185915818
HEBP1,0.01453503878152364,-0.05670563076048471,-0.027564765282815578,-0.04035496961476891,-0.02043982684138592,0.02217737140667404,-0.020336144346357058,0.019610762015551227,-0.009456291175216541,-0.006399231306920963,-0.02724984758031236,0.08289332117451885,0.012635475054193128,-0.007832631822514305,-0.004041324245666753,0.011833654953322247,-0.0490543309085891
WNT7B,-0.045012885209301946,0.03279368015823216,-0.02697617862123243,-0.06404410498802425,-0.00628708152776449,-0.006362390102185009,-0.009303547786652119,-0.012626035793544224,,-0.018834695937998327,0.09171699777690405,-0.021972383657485776,-0.0194909637225886,0.08911589728560186,0.0029793463017000394,-0.02871157818256078,0.029947400327263545
PTMA,-0.06369054452475645,0.023375609753093846,0.017729730402025357,0.043191493102285095,0.02914878705590004,-0.0202761866765327,0.03261676259069899,0.04205251876162927,-0.025847655131147212,0.10247041311389145,0.007324729880755147,-0.0454736965201805,0.02639361995768369,-0.001468415637153556,0.030533547553016405,-0.05664316974194855,-0.04347831296681921
FASLG,,,,,,,,,,,,,,,,-0.01894621340022591,
