,UKF243,UKF248,UKF259,UKF266,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.03432622590599036,
BMP1,0.04136115204964318,0.03380882895104824,-0.034144766065308405,0.03564456102428327,-0.0034846745298873277,-0.02300538656936255,0.05235472306494787,0.10122333080681593,0.025942735273805067,0.00497303189906977,-0.0423029691387818,0.03137547927861721,-0.029860197356412578
NDP,-0.014708904306747242,-0.047949326818675475,-0.09553396524131919,-0.020710216169874233,-0.052813890131023035,-0.01259899609942443,0.07985084792218584,0.03410396125560103,0.005794685608377991,0.018020932599571583,-0.03626856392432392,0.04205382062212327,-0.06470145015851747
TNFSF18,-0.023106352644201914,-0.021474176713793147,,-0.012582397621718625,-0.01577693921717344,,,0.09991415426030995,,,,-0.027310470112304995,-0.023953075066121154
IL36G,,,,,,,0.020413976712835066,,,,,,
RTN4,-0.014035378795247157,0.04009990963542569,-0.02683254013495025,-0.03158365945963897,-0.004993815287560018,-0.03147242996578991,-0.028856430574665075,-0.06422664155422216,-0.03442403366968428,-0.10002086687876602,0.05768830436417014,-0.021249052736195442,0.025058733121168717
HEBP1,-0.1035374210133212,0.005008541451021845,0.044464615475652655,0.026637813703076472,-0.023728318727349224,0.07759614136635287,-0.027900137304801027,0.04684614293824283,0.04182028954919314,0.005292692383413624,0.04053362730208003,0.06480551160473237,0.04310078620120245
WNT7B,-0.0539304839256618,-0.0025449164617558696,0.05917704680277721,-0.029034642554698467,0.0442167493017421,0.008166943356853073,-0.01918664027154468,,0.0661692721272034,0.031154965828285208,0.012468135973220435,0.0147473020767694,-0.02010749337639455
PTMA,-0.007272446520785057,-0.05086599780856318,0.06365440327464034,0.09123012865570006,-0.0008050524301904728,-0.04646329605047342,0.045532016300781006,0.0005180314493301302,0.02074484383763448,0.001392775196472269,-0.04989523171761296,-0.05294509574322716,-0.06655996430814974
FASLG,,,,,,,,,,,,-0.014042010589864724,
CEACAM1,,-0.028636611508005633,0.016488451676293852,,0.019442708882121417,,,-0.005531613426553945,-0.02621571238775571,-0.0141651453946322,-0.02214439304807019,0.0013767614585420318,
PDAP1,0.005405042690099245,-0.027373920867800036,0.01721284916235246,-0.004713689475500563,-0.019924804316659477,-0.030850208564417995,0.009894057123138199,0.12398481095493499,0.03146757393522858,-0.058958096944068956,0.013174792333039786,0.02045374349070215,0.03775393201735278
QDPR,0.0239916363288249,-0.019729478253037336,-0.0060232202887374985,-0.00932635572092498,-0.061366059673132786,-0.036688758631712136,0.013693671023215028,0.05598659696031843,-0.042204586921317906,0.012297178464967857,0.022871460320729904,0.00015389762375871493,-0.05224419566487451
POMC,-0.029307147924824636,-0.023203803886424384,-0.01028533233229305,0.036383699480261135,-0.018306312656643096,-0.021563509233186295,-0.01935482971300772,0.00533143539552914,-0.009052908055722727,-0.05470048937007777,0.006638721743525479,0.010166551834745435,0.039544300939461194
CCL18,-0.030987518797849726,-0.025887314026891553,,,,-0.06155844626471847,,,-0.01540406775850929,0.0736367714602001,0.045985297719453415,,
CCL17,,,-0.024751295149163136,,-0.019676914879531156,,-0.015946954365104755,,-0.026809707269856334,0.0017615398709375611,,-0.012727505406434024,
VEGFD,0.09922479949106668,0.04258263164929823,-0.005981425339348198,,-0.00786697408050494,-0.01456917850944272,0.002429455616314777,0.0006007523515056528,,0.11318182954200047,,,
TNFSF13,,0.04924841453847618,-0.017072889443550017,-0.012202300856856134,,,,,0.02525126057137599,-0.026531380885435017,0.03617974157848357,0.07941658579328963,-0.026057529012829015
WNT5A,-0.04688496896694801,0.06585601872456309,0.012317492840945445,0.07585947454344764,0.031697873416448086,-0.04754696265335814,0.0307784598350979,0.013009306233406544,-0.03703873681480193,-0.03155589372718844,-0.0023733941194205867,-0.02077189116030397,0.0378258995482565
CXCL8,0.012650087901843987,0.050381022317720334,0.08775686276603223,-0.017356981537947975,0.06344811228348375,0.09921336376028245,-0.024205893581933258,-0.026110920242362796,0.09844665672078268,-0.009919036781204925,0.089677212284888,-0.024146135577275355,0.04585863452372468
GRN,-0.08002137135727014,0.04873384934269852,-0.04951174148774281,0.046866516498415334,-0.005171765937763388,-0.0022864221226529436,0.023669209477441416,-0.018792816006471137,-0.0657153292355146,-0.121858067827394,-0.01908907975775233,-0.03151522715859564,-0.046200768433882315
MIA,0.002328017331209482,0.012381550011656075,0.004123718628130115,-0.02206411329973583,0.14967828326035257,-0.019758423454255054,-0.023406695354418493,0.0319009010014646,0.06845303969365935,0.15928635061736787,-0.03196592449620305,0.029270917410193047,0.007291783920397177
COL4A4,-0.0351469099065359,0.009335818184603903,-0.003843058804552802,-0.011609950162572356,-0.02054330791183607,,0.006524690993555508,-0.035801199627701306,0.037347571725131055,-0.04623546920710698,-0.04462860580250021,-0.037376682318665845,0.0380009752196091
TAC1,-0.0017645988112289606,0.019339519521243274,0.021853064202422376,-0.02256470198525339,-0.057715294103142904,,-0.040238654819363506,,,,-0.03820538655780473,-0.016731600043979698,0.00040245384424418594
RARRES2,0.02568749929724264,0.045854452289027396,-0.0007183192653577341,0.0304883386098612,-0.09023657839761882,0.07036323657253055,0.05628808149235991,-0.01763606960707159,0.039253429343457935,-0.006296401072535783,0.04612153669305801,-0.007990471291589037,0.0708955119527738
FGF7,0.0858053827771904,,-0.01667247889754922,0.001196414715126688,-0.0028670202037377004,0.12152528117763403,0.023858418061018984,0.059276269712080734,0.018580265877143762,-0.007404933501097988,-0.030835772314129966,0.02219276819858077,0.002282536616093349
EFNA2,,,,,,,,,,-0.027444989377129136,,,
HBEGF,-0.051251123548521293,-0.015726474068715968,-0.007209774857626922,0.023879121863992447,0.09273514604381385,-0.02329530961427959,0.0049690149161185,-0.04474170471172951,-0.0045548571380661035,0.04978699927679778,-0.012605807270474863,-0.025091421902802256,0.055664105444067496
CSF3,0.030451416818463094,,0.019846547022874004,,,-0.021887659159000213,,,0.07096074662929193,-0.06485251805019417,-0.031747012328955854,0.07948750754790625,0.17106390592155615
PI3,-0.04163672296211369,0.14409482678105473,0.01427748146756604,,,,,,0.07909531919597697,-0.05256740324086721,0.012104578905384121,-0.029113964995957895,0.0596036552427926
PCSK1N,0.029864470994859536,0.03589716620233261,-0.09189163085915958,0.04409203765394338,0.025960240124781937,-0.042947460784991065,-0.02120532135654687,0.0029962838469928667,-0.10088306478616352,-0.04913747991354766,0.014604088740491036,-0.007256978565392963,-0.046019597019423014
NTS,,,,-0.014173111272880535,-0.023468341282712545,,,,0.010576870300126008,-0.02077878147463751,-0.014722397983812823,0.12918029849688767,
SFRP1,-0.054267262633043024,0.007393143084459466,-0.008099420081724812,0.01920196577985052,-0.010921329190398529,-0.00957690183562479,-0.007211199066831121,0.024240774970297124,0.024514606430188667,-0.049127498163769996,-0.05031495459611398,0.022710114352364412,-0.038218768600826444
CXCL13,,,,,,-0.03171783730436892,,,0.001233159667091452,0.034043284969148296,-0.021451407021970657,,0.01489976528252753
MICA,-0.05602827824631371,0.006464785053480497,0.07513724532898985,0.03459162559272058,-0.0048185455574134,0.028290275936394046,0.03629183874487085,-0.0072094464301838464,-0.007424538095277848,0.08841127446748917,-0.03925055205979225,0.032416955634804345,0.02845648773909542
TG,-0.02801767487473104,0.00175178701195062,-0.023306003840933134,0.07350700550743376,0.05094885370585152,-0.031096943223411666,-0.02395457561851302,-0.0730231785200008,0.015713881066762542,0.11305388351209385,0.0334245557472838,-0.010143840461459974,0.10113771057922516
ADA,0.06241207771162028,-0.0055364960217278315,-0.05512037790604596,0.02838180482064209,0.059276641219676095,0.06273015915054748,0.057098167749829426,0.07928244425223027,-0.039503587619912565,0.028840142508302465,-0.06136883426553995,0.008120760966849532,0.007863563627071883
LAMC3,0.06627904032563334,0.0028958357790656516,-0.026809495919886572,0.022320203076123882,0.02843166481501127,0.03283736631254322,-0.03322506835930573,-0.013038242552728412,-0.025888211706916374,-0.003410750793657032,-0.009477206387458944,0.0034838869785122186,-0.042155318662646296
CCL7,,0.03993877735299156,-0.016850203540309316,,,,,,0.053962311971168714,,,0.015658933097832912,0.1337052347615513
NGF,-0.020249117869436267,0.06282679601827701,0.06964186753731264,-0.015611357222417707,,-0.007303297924197573,,0.06636751964000548,0.029969095751540272,0.07611480431780024,-0.024256605844545812,-0.04204134153716843,-0.006053451368641406
TNFSF15,-0.025050685963377707,,-0.003590768956313481,0.020278418195146482,,-0.013938491568519621,,0.0048206795890261885,0.03306481517244497,,-0.019714349627328577,0.009054200943161317,0.05728882851868464
HMGB1,0.051522553263302386,-0.05581417736542974,-0.0717868406704798,0.02782811706421106,-0.0918240057001256,-0.016233358846558684,0.014721378056189291,0.026357177885279814,-0.04254572792735004,-0.139705742672806,-0.05158045886907991,0.0606147048965017,-0.0021227670408664446
ITGB3BP,0.10403566219284757,-0.016575599105990307,0.0691641196366254,0.13296881572732452,0.017424338089336935,0.08071248798250656,0.07262506501324664,-0.0007255254289094816,0.042276592843482355,0.011072442379241362,0.022701072897892794,0.03944567034461809,0.06077843161262309
AANAT,-0.004022165445986371,-0.03297919142734268,0.05126658779137936,,-0.017827611615507503,,-0.021391313938127408,,-0.010029682317691305,0.01889646778925251,,0.0948861277436004,-0.01870527211831144
RELN,-0.03491385838412451,-0.022494081289063807,-0.019257196128812572,0.00644792793219366,-0.03191245993840195,,-0.00946462146812113,0.020390154228536465,,,0.06904689537518613,,-0.0325237254089168
