,UKF260,ZH1007inf,ZH1007nec,ZH8811Bbulk
BMP1,-0.06807299082820936,0.055027151065703564,-0.07024002328262731,-0.03770792732738167
NDP,0.05701400490678593,0.04686540911510405,0.05595583968062087,0.016460849415260114
TNFSF18,,-0.02634636310165118,,
RTN4,0.056491539341282426,0.060101791508424145,0.09461343172361172,-0.08738610141511594
HEBP1,0.06693268709762883,-0.04616340952275945,-0.03566613592867042,0.013489675411158072
WNT7B,0.016964707985583607,-0.029004774227349,-0.034345750737096885,0.04586141752674506
PTMA,-0.07122918281057404,0.09271452277194515,0.056600039216420026,-0.017628836742298596
CEACAM1,-0.02323567998482287,,0.06735761461128134,0.14872498659195021
PDAP1,-0.060538158011007426,0.05400444296188614,-0.00420178459828726,-0.04383481228222259
QDPR,0.005439787512154303,-0.026974703242039343,0.02385325056605023,0.09595028653487508
POMC,-0.013594653984503297,-0.01812502524280154,-0.0588126378230803,0.053513194078640164
CCL18,,,-0.035828158601675694,0.061494426699897416
CCL17,,,,-0.025257186383191018
VEGFD,0.011240434497116768,,-0.040364425585299485,-0.017496423947073417
TNFSF13,,,,-0.027453698082799047
WNT5A,0.06536447437582103,-0.035104426989925726,0.07508210116362275,0.004733150926456186
CXCL8,-0.07449310456371615,,0.00027808149496504503,-0.07556044513182689
GRN,-0.04132785025859568,-0.006858277351187665,-0.018331665497049034,-0.05005698485536108
MIA,-0.0024205649033782993,-0.058207959434745916,0.08550926438251984,0.10184525276753384
COL4A4,0.039139132729058744,,,0.0021484499000336585
TAC1,0.077860130761454,,,
RARRES2,-0.030239288997336508,0.03486915197222803,0.1328615223781015,-0.03177234237842498
FGF7,0.04860975450539835,-0.03267504355512684,-0.013056687231183372,0.03091103242830557
EFNA2,,,,-0.01662918004716314
HBEGF,-0.08274433039081294,0.09086724975097758,0.11843998631864974,-0.0239815032774157
CSF3,-0.05384025630422958,,,-0.07364485658722773
PI3,-0.030747541138654404,,-0.05735151560113059,-0.1189669671137109
PCSK1N,-0.019853571890891458,0.047927257228470035,0.015198574661879943,-0.050376369797728394
NTS,-0.02905641875514852,,,-0.020259500277327088
SFRP1,-0.02536124543598738,0.08985341857503854,0.02955384224255921,0.02826512453841816
CXCL13,-0.025133318104962672,,,-0.04272510402239211
MICA,-0.0051108526855676755,-0.006287661960695741,0.02700986935188028,0.022869171364472994
TG,-0.014899419283062555,-0.03376409453677754,0.1088012867745171,0.00876021438340201
ADA,0.03812506620518129,0.04213981608066026,0.060796876088528795,0.013494949799063946
LAMC3,-0.026105535981461276,0.04249457083779018,0.055387353125356725,0.03297786559136155
CCL7,0.013125036599875833,,,
NGF,-0.03556791572016794,,,-0.016405655890638176
TNFSF15,-0.01022678579401322,-0.031121948027996376,,
HMGB1,0.056303195719163715,0.00809783310288868,0.06691863628055317,-0.06774322143021708
ITGB3BP,0.0020887887984904854,-0.051198076458264664,0.060339261892143274,-0.03183688292267694
AANAT,0.06146766275507019,,0.0383935394910936,-0.02237837240266446
RELN,0.021539911440928445,,,
IL15,-0.033126306581431605,-0.008997851491363508,-0.015161772369912709,-0.020328119823240055
UTS2,,0.05529699817799665,-0.04178895229885815,
BSG,-0.03658375215080178,0.052149917579068054,0.07377268686715548,-0.017587413828893145
ADAMTS3,-0.0027892360214095673,0.03959226067242725,0.0322243883966996,0.05021624416277315
CD34,0.04044222660885128,-0.033171192965957434,0.03816597676156579,0.08079037709956043
CCL23,,-0.02936696624810929,,
PLAT,0.09449407788442966,0.035783662696639594,0.06341309298064692,-0.033653345620963865
NTF3,,,,0.11231180744188575
CKLF,0.05120107004251493,0.020645416779819015,-0.03316508556267801,0.06842661845110566
CD24,0.05471095714288868,-0.06805441449238231,-0.0033064876821482588,0.013413111433769723
HSP90AA1,-0.03672992424975571,0.018364355946175373,-0.04665292223123353,-0.17433145769417915
BMP4,-0.024317654462170598,-0.009872390984735555,-0.036876794597827715,-0.015321530756574544
SCGB3A1,-0.012085973396728645,-0.036241195581010945,-0.04036438634743488,0.01953789066494987
IGFBP4,0.02251833276783113,0.03033821766260315,0.05834008689852818,-0.05711276456882958
RSPO4,-0.030555165409672125,,,
LEFTY2,0.019581756757541046,-0.046406352893972595,0.010666524944178121,-0.01912056933677535
PF4,,,,-0.01524179480499316
ANGPTL2,0.09342349129221475,0.057031028286542926,0.043767021950582005,0.06505623281742715
LRIG2,-0.008606086819623975,0.07874452418019144,0.030404134476538877,0.018654852023714096
ICOSLG,0.0515258285333844,0.07037943991878877,0.03694375606250416,0.10950084577320042
WIF1,-0.00858253925335702,,,
NPPC,-0.032689899028838364,-0.025946722569833,-0.05042646669884612,0.04241416157773117
LYZ,-0.021560289970801023,-0.035768207840083256,-0.08113818837695286,0.07787734948334513
EREG,-0.007013922142554801,,,0.06249902132027211
SPTAN1,-0.012048799864871463,-0.0357648822794838,0.02768559052305903,0.039837202503405104
LIPC,-0.01671834207705028,0.028051246610753432,-0.03635569356210061,
COL8A1,0.019751190473993027,-0.000784221525504245,0.12319397447773094,0.007445650115826074
GSTM2,-0.018785665445341406,-0.026635127627145504,-0.08549252266365094,0.06989605525248241
IL4,,,-0.034752573326921936,
SPX,0.04557224809836848,-0.034397358056952196,,0.023342937988955526
MFGE8,0.021592686677554387,0.012208487832598076,0.12762823623870273,0.02467813297049635
TGFA,0.04193429030004954,0.11061544530308035,0.024140697495761303,0.027279633347385958
SLIT2,-0.03527226574017535,0.011894273365273121,0.005505878482389123,0.03657533174941461
PLTP,-0.1069935891668915,0.011688136564419522,-0.0722145060428614,-0.06891753346629047
APOD,0.07888797408408114,0.016861630329744543,-0.04668154257284101,0.11883677370966869
B2M,-0.037775526916343095,0.0025722682208979024,0.007286754201238993,-0.017306169718899103
OMG,0.07306270123551745,0.029803323999706876,0.004345525462492444,0.1575998073225086
CXCL3,-0.058772907317321495,-0.02674069961503313,-0.0346711327147918,-0.025864726342639945
CXCL10,0.02482437478062061,0.022317358554175624,-0.07490561005447613,-0.020443665376288733
RSPO3,0.05593327609775555,,,0.0020988342900277015
CORT,0.06057229789744321,,,0.009975940988956992
NCAN,0.0310920441218335,0.015628235416094673,0.0796005433215416,0.11348112055977297
PRG4,-0.00401901769214632,,,0.011759470810588578
TGM2,-0.03177455240426114,0.009708091347032719,-0.04103497841698329,-0.02160802763480506
VEGFC,0.013286116179284008,-0.04425951527384184,-0.03939447637132858,-0.03195751319524751
WNT6,-0.029185241084932926,,-0.04406862593045024,0.05510788626123315
NRG4,-0.018358391312346643,,,
PMCH,,,,0.04995950170152084
COL9A1,0.03208378198994135,0.046090825923697135,-0.026167054178454642,0.09253462944193021
GDF11,0.010654371486527585,0.06044923712544386,-0.060204116660429324,-0.0031642482314906627
IL24,,,,-0.01499877213604095
SORBS1,-0.018357320007588718,-0.02788233805045472,0.10759188717564808,0.027881677683952152
DLL1,0.09612277697185476,0.001037346757874925,0.02325912759143831,0.11206454041944458
TLN1,0.047886481199616075,0.046924645868558955,0.12159408624144252,-0.017608801391571876
COL2A1,-0.018917756923632685,,,-0.03909138842327498
SHH,0.025226187865863035,-0.011035050099265068,-0.020903289302470696,-0.02768672658545947
PON2,0.06497663219636345,0.015495390039149522,0.1149930711285145,0.0659943716295332
ICAM5,0.01130440029809313,,,0.0034170530639929205
HPX,0.023981682807069565,0.16818483853539046,0.15858342769796438,0.036535487460522445
SFRP2,,-0.09949095826364543,0.0291147928289027,-0.026049870274326047
CD70,,,,-0.016491687350205547
HP,-0.02962382317768979,-0.06771858258530618,-0.017173945378929203,-0.07249149601112309
CXCL2,-0.025060080391222504,-0.04799394331460303,-0.049205159118858324,-0.052067716399810955
NPPB,,,,-0.005901108328141808
