,UKF266,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,0.0425346090874612
BMP1,0.07483431179782403,0.06827423108469552,-0.012298550393417379,0.008080506199009949,0.023827716848117617
NDP,-0.04192196590671938,-0.029260130158443674,-0.007862195307854902,0.08567322514273573,0.0039404727917926735
TNFSF18,-0.0120245458366092,0.04540203031657574,,,0.02120699714779655
RTN4,0.07662535873046408,0.034843772910477196,-0.009360927961367867,-0.02696887601244951,-0.008420291971159465
HEBP1,-0.003592535190584516,0.021821849315607295,-0.042264539402489976,-0.0034842641782329782,0.10693292816982453
WNT7B,0.06695184658204066,,-0.03673614309094761,0.0709679836070804,0.16396239096847184
PTMA,-0.0249314087559716,-0.13845516125648796,0.01282520986813812,-0.025931400656504337,-0.014029753036852163
FASLG,,,,,-0.02128500505508644
CEACAM1,,-0.0310520277205765,-0.02058507286901666,0.0556028111639379,-0.001526938790507154
PDAP1,0.05233520910580159,0.07200209507329472,-0.00796009933539713,0.012295846203228393,-0.024522391741423785
QDPR,-0.01963589371350751,-0.013754286693567477,0.07200086151337731,0.0510355411916173,0.018884120457694806
POMC,-0.031723177152580356,-0.04490809239891148,0.0431903879340244,0.0749747668068585,0.07095471358021845
CCL18,,,-0.037670430841566016,0.03804747385029057,
CCL17,,,-0.014604112855033893,-0.030716221776376174,-0.019292466358779323
VEGFD,,-0.04221455121733501,,-0.02127806439316885,
TNFSF13,-0.011661300999747048,,-0.028023098997405644,0.05582828676007752,-0.004480372910392139
WNT5A,0.028745482092975477,-0.03926488500333237,-0.008385713504099728,-0.03730340094863302,-0.021181412992424938
CXCL8,-0.01658744433000421,-0.01371967418437489,-0.04134219592059531,-0.09751002786177446,-0.017338278711799604
GRN,-0.00879918909061266,0.04436902849228753,0.03557185462678151,-0.019487243842436663,-0.038087808966216954
MIA,-0.021085881220194138,0.1413894931875726,0.01952689603335228,0.09676270791420409,0.07214061315904102
COL4A4,-0.011095212700131725,-0.03305482498631446,0.05755340175136845,0.06220533845672865,-0.0014089682086138656
TAC1,-0.00730902105469271,,,,-0.025361908769164603
RARRES2,-0.02982333512715521,-0.03987325433717111,-0.012644118718862214,-0.043142323096167334,-0.06170940555377231
FGF7,0.05219761052559821,-0.019535853350714984,0.04073251095654097,0.039720572974838185,0.005938548920817482
EFNA2,,,,-0.02022337621216142,
HBEGF,0.027441249274965385,0.010565061896392666,-0.0012137387590506856,0.02219091378530737,-0.0355450179735214
CSF3,,,0.012643017812717277,-0.02691194268368125,-0.020311990861579816
PI3,,,-0.037878826237909606,-0.09999476664160878,-0.006207710857914792
PCSK1N,0.027853130437553806,0.05053477432683748,-0.062308184762686535,-0.005269862572255285,-0.003384256190141577
NTS,0.12314911886463263,,-0.03406987505867277,0.025950650052319345,-0.030079288698196257
SFRP1,-0.041222799726487576,0.008637431741597175,-0.004576250582989306,0.018273349324600088,-0.02938032223297982
CXCL13,,,-0.03280383173507616,-0.0008884109703486985,
MICA,-0.0026879326615993114,-0.013307376969515748,0.01779897591929922,0.03570398441766055,-0.013222628936106864
TG,-0.015634193358136872,-0.06742143869546097,-0.01940521474686721,0.00970973245191249,0.00423099258581647
ADA,0.02160751098572596,-0.03543243375859223,-0.02799528273475168,0.023631813456637233,0.03269827923686822
LAMC3,0.0032252000703028236,0.0670280946239992,-0.00021215961494167168,0.02298952424827315,-0.011826360457645178
CCL7,,,-0.021888198912600992,,-0.021284997486392704
NGF,-0.014919213820473847,-0.006256303784196596,-0.007833575240259221,0.0007598575525717102,-0.03677652575122514
TNFSF15,-0.018115196362917935,-0.027859828101350802,0.0201335761790146,,-0.056238648497807124
HMGB1,-0.045994206067846266,-0.05570376730277123,0.0015879729829385676,-0.07894908352755133,0.005502252682415894
ITGB3BP,0.02041165378988907,0.0012117478477856978,0.042708052529428164,0.008333293785830788,0.022190408046742067
AANAT,,,0.09435823055612733,0.06166215692012738,-0.022520414971361567
RELN,0.006311905878082916,0.011100292613567903,,,
IL15,-0.012890039148195812,0.02932046811393467,-0.03517908254349664,-0.033026606527500495,0.05113028785975619
UTS2,,,-0.0163520160962673,,
BSG,0.07981737997367422,0.027185681648313195,0.02759773154209247,-0.026071565353106937,0.007775194768701833
ADAMTS3,-0.020762124141722745,,-0.009248555856057512,0.125776561709995,-0.02441438789927905
CD34,-0.019303122613603164,0.04324696118985346,0.01925997372749632,0.07440567084931993,-0.00678908600466131
PLAT,-0.03879601779351192,0.05644140460367395,-0.023404124232804947,0.08401344287244328,-0.021400754607868264
NTF3,,,-0.06069567747985075,0.08384667089573812,
LTA,,,,,-0.030309084643462412
CKLF,-0.0216207083397468,-0.02906984615826277,0.04938146305191351,0.022973534054318824,0.036521721730414514
CD24,-0.01884003811978804,-0.03697352670156998,-0.022632074796257926,0.03710533179247828,0.003048277619934455
HSP90AA1,-0.008578964130877257,-0.013617242198646446,-0.08908712130509414,-0.12558625713902177,-0.038458619731828514
BMP4,0.00853820727900522,0.06127761042610708,0.003854507907113467,0.07226618148807669,0.06034590192861443
SCGB3A1,0.02885251240044047,0.04142266000643067,0.091227366275776,0.018536576811117415,0.0027518219597650485
IGFBP4,-0.00025590308035325224,0.11017146567217938,-0.030140559109171038,-0.06491738485459349,-0.04613177077713838
RSPO4,,0.006501302718523993,,,0.04438781032318249
LEFTY2,-0.0369484484180187,,0.027315387540428834,0.049986603063861226,-0.04200406025296243
PF4,,,,-0.018536124428006815,-0.0021431874655418667
ANGPTL2,0.005350517539915249,0.10101388024974803,0.005161374919160303,0.10271805632375874,0.04902354125731824
LRIG2,0.05419980815659499,-0.046180263143668125,-0.007861955233084065,0.028286482441115906,0.0400474946036809
ICOSLG,-0.004825134878303651,0.09106980278895246,0.008037601499433564,0.11233387938146404,0.02859916643934959
WIF1,0.0366675127764749,,,,
NPPC,0.06304062595096992,0.0033312876037988473,0.07714902131346348,0.1684828451807736,
LYZ,0.0702738378785778,-0.019022102117532025,-0.010390597577732884,0.052850679176619446,-0.06557006600475673
EREG,,,-0.005212272120840136,-0.018810842375117626,0.031100179574539942
SPTAN1,0.027694258993944662,-0.04841453357134028,-0.012121899664698682,0.0780638201445562,0.03481234221948393
LIPC,0.05397817053461569,0.1814787745101263,,,-0.03832214604083328
COL8A1,-0.03160789039543698,-0.019021197785642104,0.011343915327880393,0.041235283441294714,-0.04401022516151195
GSTM2,-0.010900263777230777,0.0073879128483031265,-0.01674569524856732,0.03728002103065487,-0.02463560787938658
SPX,-0.011959078338395232,,0.05527640623332734,-0.02301496773860499,0.039414365866010305
MFGE8,0.017101424728857097,0.11408392014139436,-0.02449390376459653,0.035064410572561024,0.014688148986452779
TGFA,0.052442962409154796,0.036719380058855944,0.006097120455938552,0.014553593847575168,-0.015339896703471254
SLIT2,0.05152579954164971,-0.005204528496320153,0.07692835035478858,0.08910281563462262,0.0407259582965982
PLTP,-0.07050679362505803,0.014709988546383976,0.05105279197421414,-0.0469791701452906,0.005189408291499731
APOD,-0.004611420626974641,-0.06753533364253198,0.04979554262387592,0.08459933298708258,-0.08317283855870863
B2M,-0.07365906994739106,0.09963538282211894,0.02311393336852661,-0.0046547507381220635,-0.03113686842670592
OMG,-0.029604978892664294,0.008285876180691765,0.007219974385383393,0.09730170052588227,0.037981182772594976
CXCL3,,,-0.027399787637356496,-0.05527959111927117,-0.002072668227253416
CXCL10,-0.01761922322906533,0.01798967972233594,-0.022602373361613606,-0.008043132695040369,0.0372736820285732
RSPO3,-0.023590045022899568,,-0.03243848221378362,-0.004649726743662032,-0.02160011037051762
CORT,0.08752024816644399,,-0.02495833919324969,-0.01939711209492217,
NCAN,-0.007963590904050197,0.04739960661525761,0.03265276183059225,0.1281938509431608,0.09829502185612823
PRG4,,,-0.023973634889621145,-0.02862162588382207,0.0030067670851736976
ZG16B,,,,,0.0042256263171396415
TGM2,-0.028157861919874294,0.15231765999398236,-0.0047471588963785075,-0.07335012866990774,0.017112796380878877
VEGFC,-0.01184134430332822,0.046264503657142825,0.03462432332361565,-0.038864743199581685,-0.044563686242359145
WNT6,-0.013221208463163207,,-0.005592461165679081,0.0929898443861161,0.0729698062535308
NRG4,-0.016185203252173257,-0.03305478852391932,,,-0.02160011279137465
PMCH,,,-0.022247847509550445,-0.02721518600330681,0.009153218840533434
COL9A1,-0.01879888282476335,0.0335979956585048,0.0017336583976917171,0.07170059316710428,0.02085365808861579
GDF11,0.00731065518887463,-0.04251911959492368,0.007505334322095433,-0.004278985276508834,-0.011582298346937234
RAET1E,,,,,-0.02369517025919675
IL24,,,-0.01658745899828992,-0.018240575348114414,
SORBS1,0.0250375641630745,0.04192638414025683,-0.0440270648131055,0.07940368320138935,-0.010764037866556983
DLL1,-0.03797544540641337,0.017478700473164396,0.03202099378405796,0.1136151658419503,0.06658978072766186
TLN1,-0.0248984500369004,0.05036183027428144,0.01753091099546478,-0.052878384046060885,-0.019432128771389487
COL2A1,-0.0143235339541578,,-0.03626235986076127,-0.009494052171197406,-0.031435461224822873
SHH,0.00834019863863167,,0.13794734748263,0.08990719081815507,-0.012917990571864286
PON2,-0.06485705480225551,0.07523501132476373,0.010798350427191222,0.07924063080635008,0.009339275043496305
ICAM5,0.08302369239056362,,-0.007015710849692498,0.05876169505313254,0.09665841384804735
HPX,-0.01322120935502703,-0.04300117840377089,0.002364663544165548,0.06510015952470734,-0.006652596852604667
SFRP2,-0.03125489799790227,,0.03657593475456053,0.005969342465001374,-0.04702522348072031
CFC1,-0.022340608243251875,,,,
CD70,,0.15604486587155958,0.02075093824177839,-0.03313188683212736,-0.005806477844851563
HP,,0.03263096508464927,-0.029842176717447617,-0.03264085397185363,-0.032311406238936434
CXCL2,-0.0020818167221419766,-0.03256427565968968,-0.033537781137939544,0.018490746748359994,-0.029997052968684906
NPPB,,,0.012958740613744258,-0.006372798665647705,-0.021910908817527077
CCK,0.014330423775474324,,-0.01367630324282556,0.09895117334847643,-0.028424363704644087
SEMA6A,-0.020270923837061056,0.05206014645263876,0.08037760090277067,0.026958926442118756,-0.011589416512991965
IRAK4,0.05458918849523686,0.0009346371230603771,-0.010390197880266955,0.027073380139019398,0.061590056904675276
GSTP1,-0.005674430496930531,-0.019622960643697295,0.05734312627078393,0.12193105218958648,0.02646907905192084
VCAM1,-0.029463877584883304,-0.07935334231101264,-0.0019144560348338948,0.03151790963476684,0.03760570318717458
NXPH3,-0.029245527678582187,0.024805212172655484,0.016518297195288793,0.05590788073612346,0.04038034315811999
MTMR4,0.025254604311646126,0.01853719792479697,0.07524439569962854,0.02789964241934078,0.04043751321365857
LAMC2,-0.018115194582494182,-0.03305480834042345,-0.02039276768852284,-0.02395499363930275,0.032310985659681525
IL10,,0.04288320272228453,0.00570072469993882,0.058096073775197446,0.007028543549671819
SEMA4D,0.0716790604392558,0.009593088048818529,0.03922274866990548,0.0912539625606202,0.026306947642093962
TRH,0.0210505676471874,,0.04197984529191477,0.052624720172519915,-0.02454168725347388
SEMA6D,-0.0486607988528788,0.05105505764581781,0.03315830650416333,0.05280142057982353,0.0721529428938036
CEL,,0.007710617557627876,-0.025119171187041534,0.025633641876454134,-0.0021830359527332424
PDCD1LG2,-0.012721407490462338,0.0413687971021406,0.057939010364009544,0.028736627090851993,0.010254692032085882
SPINT1,-0.016454367977582162,0.04461848010064621,-0.02954204993095991,0.043070139746658805,-0.0023371001020794624
CTHRC1,-0.0320194282237685,0.12142586945254488,0.05076481709120652,-0.052261254731237355,-0.0070141847386775355
PODXL,-0.01171806464994763,0.1190432099242376,0.013965803435620408,0.032727015583063304,0.09364394645694293
JAM3,-0.004571385742648554,-0.07097124017971027,0.0228526767399156,-0.02819846192590885,-0.005399648801040126
TGFB2,0.00522742769420824,0.026468893978618714,-0.0057115824616533716,0.0173381752627211,-0.01114988371463455
COL18A1,-0.024699739039450143,0.07867466303548973,-0.07115532254519924,-0.03057756132031757,-0.020412575065629584
NODAL,-0.011435230239983772,0.0015456733615613841,-0.024796596349290247,-0.004215062423698289,0.04318477105223874
