,UKF251,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,-0.022059515634236977,,,-0.025018561824583542
BMP1,0.02058062389736817,0.04455379049806421,0.14853468875006856,0.06657608332409964,0.05034680405672176,-0.01854968692024117,0.04007208791990592,0.04159934989751959
NDP,0.05130706408033482,-0.013939171129724502,0.05257356143468775,0.02521556702238655,0.022842020605395332,-0.04489186990087592,0.08587476509226585,0.04390086562872571
TNFSF18,-0.031507333640166515,-0.021438991329641027,,,-0.022749589100271684,,-0.04072986390755367,-0.020951907253600542
RTN4,-0.04405268113326252,-0.03204395283647405,-0.0770203024461739,0.05388836365040776,-0.03766203583256142,-0.05876576330309217,0.017660476756435266,-0.022712304449907707
HEBP1,0.015913430099278744,-0.026600459151081224,0.03708217252769963,-0.019079596060184455,-0.08951108879568391,0.07889185651001959,0.08780358594339169,0.06175664127984686
WNT7B,-0.01957137896910815,0.04123438248436,-0.0405582510292828,-0.02442774170628212,-0.03710791894499288,0.1308744463109925,0.010918409862721625,0.029331600124504156
PTMA,0.009502849547527767,0.0428818863076239,-0.05076015651301418,-0.03383013834430576,-0.010038148700679109,0.005821880100492951,0.001641671118207572,0.03783057173911342
FASLG,,,,,,,,-0.021698590135255606
CEACAM1,-0.015019856219610205,-0.017380158469115007,-0.022726788460364755,-0.01788811887111776,0.03294208891554665,-0.013320732114070834,,0.028641482750199294
PDAP1,-0.008171324800964311,0.026631022850286793,0.029812087525687193,-0.02500662300149884,0.048055108873685276,0.0021792473891007803,-0.025747054516707,0.03798482198211267
QDPR,0.01025445398852989,-0.02042384021754269,-0.033102608847643065,-0.044888211175230085,-0.06680395423382061,-0.03075996966786703,0.03534098868957133,-0.002353600437910994
POMC,-0.026687888195370862,-0.02487611018341636,0.04210394275886396,0.03988060927415395,0.0015840081462635072,-0.005146601891561604,,0.02408664339332138
CCL18,,,0.01688627569198681,-0.021774048721158224,,0.02996464034793548,,
CCL17,,-0.016113016159592746,0.5001325945002116,0.24172704713964402,-0.011096003264954317,,,-0.019667334780234066
VEGFD,0.009435470937130304,0.010994595925594066,,0.0756755947744343,-0.030674851118025055,,,
TNFSF13,,,-0.030938682946149848,-0.028068307914945752,0.06699101452198186,0.08543096542570103,,0.104559475762966
WNT5A,0.0064107643763247,0.011065569982734709,0.08719142108333201,0.09934719712559364,-0.027052109545250804,-0.01806484504313169,0.01403469506539608,0.025880486008109264
CXCL8,-0.020143433111477368,-0.016435450521888714,0.15095567892621686,0.0776900959418437,0.07837260989219466,0.03041227402419311,0.0358727311611932,-0.04327204039619693
GRN,0.0829157482554895,-0.0059331316651146295,0.06648509320546349,-0.025444444003200093,0.0043004963787121485,0.008068514111294993,0.008241324530170926,0.029549472526470368
MIA,-0.019132096024874548,-0.020237247704101614,0.012931069765424245,-0.045456948351594244,0.07134756919270507,0.0010320566782072286,,0.013891509433224128
COL4A4,-0.03217448708534002,0.0037044368022118327,0.02060677491975352,-0.00035608787677688476,0.02871974810697174,-0.02684587928100292,,0.020090100223227197
TAC1,-0.033753513976671756,-0.0172558098995074,,,,-0.022982057740137098,-0.06066948256883134,0.10417540758618113
RARRES2,0.007089407939760411,-0.012770171357539122,0.13300314915544229,0.032689521132534635,-0.036306945877705964,-0.03499445178447639,0.028837823676952194,0.020689869418250826
FGF7,0.058398841303719105,0.021746760976751323,-0.008915152216778782,-0.029094439990593572,0.04482544202447909,0.01245883370434039,-0.024261916101054208,-0.013853643453657185
EFNA2,,,,-0.01700145985903766,,,,
HBEGF,-0.00148785880100467,0.001600692706186961,0.0785582474186731,-0.014034133015558965,0.037897502526075086,0.017381836858683157,0.029434598041661056,-0.0001470537844351898
CSF3,,,0.24017520493874278,0.11173277170774114,,-0.01909708907975596,-0.007193668793999997,-0.02070666947909202
PI3,,,0.09822893493830176,0.048024405036105715,-0.024711768957922604,-0.021086213802628664,,-0.03590929906797188
PCSK1N,-0.011793773183786278,-0.02236316134935344,0.018921316800338945,0.012719391766472219,-0.010935667857104342,-0.006105991373912519,-0.061186912536421695,0.025137260600775115
NTS,,0.0044164420593407385,-0.03761457869284195,0.09931053157530724,,-0.014448864176784983,,-0.030663753911875032
SFRP1,0.005444468224504687,0.0066793137641171915,0.02209288214554142,0.03196667605679968,-0.09387810656385484,0.031602984582145624,0.009617662869508374,-0.0024738169394225287
CXCL13,-0.03631930094077398,,0.2716887859028848,0.1004295832706538,,-0.031151326314436806,,
MICA,0.019651912281698696,0.0011155512344490724,0.049485121757457375,-0.006647448602974458,-0.043715031178858166,-0.034583073181879954,-0.06089611453361397,0.03350195552070893
TG,-0.02042397819337543,-0.026938123821311763,-0.021424175342308078,0.007839150257668872,,-0.015717197769601905,,0.09021287655061955
ADA,-0.026926804318253002,0.05245204657813045,0.09673874325550687,0.005955427135754103,0.0015287524270990356,0.10216725144659658,-0.06211733231211063,0.07505649483235309
LAMC3,-0.0008086490973612422,0.00747522187280365,0.080994942780718,0.07319097980616394,0.061703960063328664,0.035027775547281884,0.02922330797579829,0.04954247591417338
CCL7,,,0.2503068999321462,,,,,0.07348970745734482
NGF,,,0.0044190664674562214,-0.016772931635522948,,0.002355556604762854,,0.006430595463627422
TNFSF15,,,0.012483209884271537,,,-0.011858964461961705,,0.08984592573191716
HMGB1,-0.04313834796145211,0.002081457290046359,-0.08685815592195746,-0.008507315986346983,-0.0018414650343344852,-0.012812550799289503,-0.05108688942409077,-0.017203448295987148
ITGB3BP,-0.006603077166943432,-0.02723442884301898,0.025553321388544204,0.030876186859656513,0.031680125163322345,0.01627534853787321,0.10843776767407952,0.025274468977687495
AANAT,,-0.024225612179391294,-0.021199957385482616,-0.022879360199085794,-0.007628226078730639,,,-0.022958005077977378
RELN,-0.0116703863082841,-0.04227888980665234,,,-0.03324162536463123,-0.014324343886463746,0.031099239030192946,
IL15,-0.02601983574970901,-0.024400298062260344,-0.038839190528158214,0.03487529561095914,-0.04480184892606027,0.03935995415468499,-0.012704598376844524,0.08905401431223679
UTS2,,,-0.018053315287491566,,,,,
BSG,-0.016562650541704617,-0.024130657558415584,0.11381620611828111,0.09139280464906081,0.0670287860044591,0.04516591759511779,0.026256093862224234,0.06851276342058396
ADAMTS3,0.14936861951532449,-0.02788216284375429,-0.013376839112377203,-0.022611834468506502,0.03445823064154344,-0.053875716937365724,-0.021213414876581974,0.054387921395893955
CD34,-0.015239359726714665,-0.010186356362603587,-0.06490385178178153,-0.02121114566226467,0.018369558262385798,-0.042400191686589275,-0.04721615324797093,0.06496628217487219
PLAT,0.010637460396354532,-0.03568895294358962,-0.04872330722289388,-0.021403922206292916,0.05378579092430761,-0.06489044013923413,-0.05113350974588638,-0.01939093608292675
NTF3,,,-0.027421258853450783,0.08633455558201751,,0.0699729437012063,,
LTA,-0.015019857760916487,0.03797264452503285,,,,,,-0.016799577838450448
CKLF,-0.04949001686933345,-0.06013646776595608,-0.049312736462131364,-0.002561112132902555,-0.014229129816582765,-0.023637934267463776,-0.05846690495938728,0.015995908807344823
CD24,0.020920855629364545,-0.013778805137723529,-0.09550458195981966,-0.010000170531291104,0.007192655933101639,0.04154865046594474,0.005493805328490524,-0.029913345343805926
HSP90AA1,0.024433336539615776,-0.07596624957284255,0.022504617558262115,0.04977361347206338,-0.0011583425054328817,-0.025193961187558896,-0.07737862545689274,-0.04862283200821585
BMP4,0.004090942533297256,-0.010691543227617152,0.005698815917673134,0.017223340680119697,0.04861147943575329,0.06547971993109307,,0.028914205813033823
SCGB3A1,,,0.00029448521944966616,-0.032545163179127104,,-0.024627327162103814,,-0.045496126053817657
IGFBP4,-0.008552731358029227,-0.0048934532419199995,0.11559149135242092,0.06494746328749708,0.03291928810647467,0.00041087948121005396,0.11102998460656202,0.07508538710890213
RSPO4,-0.024281315495496468,0.1275672245505079,,,,-0.01658545676224415,,-0.040751247449700455
LEFTY2,-0.015204324466533874,-0.03208868915550868,0.02251199266860827,0.021697182829086552,0.025786535740865438,-0.005311592505749701,-0.05994815825129535,0.029360380134688335
PF4,-0.013662602045735897,,,-0.015583015026708235,,,,0.02134127200214498
ANGPTL2,0.048815959542131256,-0.041253672827726566,0.042838354897196576,2.3993552700906874e-05,0.01850613685666084,-0.05268178322780547,0.060804699298642885,-0.004903210474119118
LRIG2,-0.0019000445443854588,0.02048418907084213,0.01530724215773579,-0.015519784090769628,-0.006511584385918202,0.009260634222401753,-0.07548733486742255,-0.0422042312424503
ICOSLG,0.03475211961165278,0.019556271033299523,0.04446600322609151,0.03651113884840986,-0.041963452614922986,-0.0015996195347403308,-0.012516756947403887,0.05022010805815993
WIF1,,-0.02094043323953386,,,,-0.015417788559461082,-0.03939821610651942,
NPPC,,-0.026007272637955874,-0.03607472552865863,0.1028133855183339,-0.03413093951711286,0.017582709688520732,-0.0017020368606620183,
LYZ,0.04781936497462323,-0.031770986692752974,0.004350255855681539,-0.01213250406804643,0.02973115005229476,-0.020278072779568855,-0.05038199834878225,0.07780866373405075
EREG,,,0.2259286464803796,0.1463922661553801,,-0.020657466029345043,,0.019749008551441422
SPTAN1,-0.021300491624990307,-0.015674938069776306,-0.021047934741022827,-0.04105121809857132,-0.008783198330672813,-0.012430476463957195,-0.036563388472707535,0.02093685165691328
PTH2,,,,,,-0.026376401563236052,,
LIPC,-0.00513714888604306,0.0078367632937779,,,0.008545070082519762,,,0.015281317020356441
COL8A1,-0.016054497052391727,0.058697684563535704,-0.014762531807017818,-0.01278360414648845,-0.023360198474980165,0.030709265809879347,0.030619692447394552,-0.012148387510990122
GSTM2,-0.019279619309214513,-0.011224261866503403,0.03176576279407967,-0.03884053594634119,0.003673555385182948,0.00030335239336688735,-0.05328956581790731,0.022219223764102243
SPX,-0.02680442748374608,-0.022192024985589084,-0.024364764786054247,0.06772769799834799,-0.05722852740101562,0.027872573918243226,-0.040620184829603716,0.04150193857324579
MFGE8,0.026840472634507027,0.023559379432504003,0.14536864778848593,0.06593380784329923,-0.02457416559800303,-0.03883757072949112,0.0628482669165736,0.06751246188506665
TGFA,0.025338575519939302,0.01571992538031371,-0.0330758402840686,0.006803112479014445,-0.03674733662651217,-0.07152651859257204,0.09387029183554273,0.026975616331261176
SLIT2,-0.03562480929738524,0.016212671713922957,-0.017287779957506015,0.005736758759305784,-0.0507443259543264,-0.017809008137883782,-0.026008489024005682,-0.048724210990237424
PLTP,-0.0038181640055647828,-0.02252516956161012,0.04785934358710358,0.028749461005726014,0.05531670829124432,0.038629839878443824,0.04496504897365877,0.009242048791286601
APOD,-0.06438309284929652,-0.0458604338608734,0.05057646731645031,0.04399183187958909,-0.01813683329600123,-0.01993526647317276,0.10521959062777257,-0.010579931421350858
B2M,0.0440991950907543,0.0015243588537034985,0.04242304455029475,0.028566784041223228,-0.0002698120371583515,0.038144054460864565,0.02509268912817405,-0.027299934354709534
OMG,0.02005661318539948,-0.009695227825868551,-0.02940935264384717,-0.061799556025076884,-0.03629630148889904,0.014869644040287833,-0.1031937553954963,0.04409453131194461
CXCL3,-0.015766614543266857,0.0379088717706329,0.13272055420709425,0.09796227192849377,-0.025334470551809644,0.05240216231618288,0.0817191603815817,0.060311646690091675
CXCL10,0.04187207154508021,0.0015269995414652002,0.04556204455923867,-0.020901340612152743,-0.0341309358059351,0.029602657665415425,,0.0675965462846717
RSPO3,,0.03962610666813104,-0.0548889552104187,0.0276788304068708,,0.0395294667662286,-0.001735083647119858,-0.022019818205029896
CORT,-0.024400542074974337,-0.035870972954809406,-0.027555058890307068,-0.0163068332015086,,-0.027583838983370596,0.024524086296099895,
NCAN,-0.008641412916547374,-0.007076778162091235,-0.08592188140673984,-0.039694561601606226,-0.037248114199196845,-0.001967142669990698,-0.04588631587934782,-0.008507898774934472
PRG4,,-0.02627812086265854,-0.026467903816969417,-0.024061730269922456,,0.0031688302401771716,,-0.03316797022096194
ZG16B,0.06281772082024065,0.058140153150603474,,,,,,-0.012533336516629417
TGM2,0.01602521602307042,0.04066102873884038,0.12724058461595758,0.06138370276465402,0.040682028292763565,0.009643579219537101,-0.0099242652228911,0.034873251396316356
VEGFC,0.039571054202380204,-0.0083755407216763,0.1419916105146251,0.0560256642404254,-0.002770790541484922,-0.028306676315521022,,0.019905125098850007
WNT6,0.0061272423209555215,-0.041258383029309086,-0.023534539819436255,-0.01696897709235528,,-0.022011607853672153,,0.052513284658148356
NRG4,,0.028441416527048072,,,-0.026833034381893522,-0.02190152597564179,,0.014848965077398324
PMCH,,-0.027136289970820578,0.01202754298458256,-0.022879359387737577,,-0.012609994394499852,,0.07031078366340682
COL9A1,-0.037763803695701724,0.01195328032095959,-0.03194955740272523,-0.045997511665910894,-0.02382496044049821,-0.045347087568335956,,0.06507252496319242
GDF11,-0.05435499610059826,-0.02854052370110643,-0.018609635403086078,0.006198757318378928,0.00023636959983021225,-0.017163631876976018,0.008007085553352748,0.022748690810120323
RAET1E,,,,,,,,-0.006691266185720738
IL24,,,0.28996580991352583,0.17137514917100263,,,,
SORBS1,-0.08666276177570116,0.0026079548456179615,0.016901824790005276,0.013597720350198945,0.03417518911664072,0.028239140202942443,-0.050885783793201675,0.006682602455235768
DLL1,0.01616597151190037,0.004499966287117269,-0.006459230088061418,0.006322822846862388,-0.040209504191519724,0.05255517304784328,0.1501476529624617,0.08256685575705353
TLN1,0.002946820451779048,-0.007568299210443332,0.10396857377294426,-0.04727790565645676,0.08103032274269235,0.04081279179004171,-0.035415139466625375,0.04822334452937388
COL2A1,,,0.03954193032452377,-0.01813886149688281,,-0.026564984704082906,,0.04560386883172519
SHH,,-0.049842933826855236,0.03196804133420951,-0.02242513527974461,0.04258489113581513,-0.03584098622056165,,-0.040102572001094
PON2,-0.04472665994744198,-0.07728495654327473,-0.02711892449635113,0.0311921598034567,-0.01431455534297536,0.023812015411392835,-0.001296030143882587,0.025402809493683433
ICAM5,-0.019571380746437137,0.003048227294571301,0.05096212064946668,0.060347713327541685,,-0.02140867284431253,-0.08197078014301185,-0.00035369576085008547
HPX,,0.009485397342698588,-0.036476782084450744,0.0707167208292885,-0.03597620399269271,-0.03490503908569201,,0.05497518163004915
SFRP2,,-0.011994990827469711,0.03304432653076649,0.07703248287762009,-0.04429957793971724,-0.002696826967831486,0.07696576326582309,0.06203831732292255
CFC1,,-0.023331790642447024,,,,,,
CD70,,-0.029809407821430656,0.12216744997307277,0.008572456074761087,,0.025906774924264905,,0.051522546525014604
HP,,0.03561198966856513,0.029047671980035047,0.02850308604413902,0.02532394528690995,0.00368063557215657,,-0.008439754198537968
CXCL2,0.04067581400680962,-0.05431125427242632,0.15813086881172886,0.09266779796971522,-0.0388539284365343,0.04738767849182828,0.1598620679720609,-0.022315138075812865
NPPB,,0.035488496622605885,0.0089078112470564,0.0041859376945710845,,-0.018846939924221418,,-0.02233665572040181
CCK,-0.002213820934531725,-0.005422562004173778,-0.05974918871107568,-0.07360241646444686,0.04566693558137377,0.001118585285403768,-0.08962466399503721,0.015388042696945952
SEMA6A,0.02688083880758394,0.007955743001437433,-0.0637476190559726,-0.004577247284749315,0.07888614981584822,0.03408363381091312,0.0595246530746854,-0.02266461391846209
IRAK4,-0.03439600539378415,0.0012492683533020326,-0.02174583712664174,-0.016866272344195507,0.02109345174497504,-0.06599283715813146,-0.004593100506873836,0.04894127732386398
GSTP1,-0.0776442742700046,-0.012594964830728033,-0.005684017813910202,-0.027678787517451547,0.030389879836753324,0.0027798187236815096,0.002887423243270487,0.04315209349124286
VCAM1,0.0011115565617405988,-0.004263281298803823,0.17387466209255975,0.07874108895402074,-0.0434042371871325,0.011660631574152262,0.14849434339688097,0.14210032324342445
NXPH3,-0.02362196802097226,-0.004101573270025583,0.020181756286199004,-0.027794401734673943,0.052405957829097495,0.001840512766550771,-0.04201114677091388,0.11876811517951864
MTMR4,-0.00470934502553941,-0.0459626212483276,0.04509043412589811,0.01789477374536606,-0.015034172839723846,0.007407611823096307,0.06528890482687366,0.0537198675481741
LAMC2,,0.03980769449343843,0.11716736270098285,-0.020138569272977996,-0.02594339642246483,0.018393531450585657,,0.028231135171710078
IL10,0.008189263290661369,-0.011822231136822705,-0.0017140847950097699,0.012082959555151481,0.11334436993191031,-0.03048002049261517,,0.0317361411013978
SEMA4D,0.015360539570575664,0.018401678597920752,-0.024127237034683797,-0.007229749921167375,-0.024673335529050038,0.04675915988473324,-0.019160905492688503,0.09072819509474109
TRH,,0.05022016127714508,-0.03650857399231106,-0.032665250365242496,0.012194801743446287,-0.04748817248915151,0.00939610242775827,0.00946849724675631
SEMA6D,-0.028732251178175457,0.010939673347485314,-0.04304693809359828,0.04597542751388901,0.018024120905166946,0.008475838309619838,0.005868985930000823,-0.01355869061752712
CEL,,,-0.011050797327195591,-0.02503568918386535,-0.05057184426519654,-0.030984505222225685,,0.017315909922288156
