,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02553972914594489,,,,,,,,,,0.024163119033894325,,,0.04772756274348412,,
BMP1,-0.011726604168517176,0.05564253307038275,0.015354548633369143,0.0032597448270766595,0.01390342444807904,-0.020648572137658815,-0.0053955225257304035,-0.17579234629540422,-0.004754649183108994,0.08612698305623462,-0.05503435994142786,-0.13604327922019704,0.07736673522275833,0.07170302759275755,0.017630561029178374,-0.019857631148179903,-0.017027869590161476,0.006159723531769038,0.00640400575941873,-0.0789341896284969,0.08940737067004796,-0.013673720721720009,-0.0041849929776657125
NDP,-0.04047629192979595,-0.04383872748867266,0.023155178967059115,0.04161251214375945,-0.05597980288279358,0.018768412404308373,0.01881229906883543,-0.012074337807542284,0.006358179929427884,0.0749311124090677,-0.02694969855662928,0.013899403522643699,0.09733358903147116,0.08450721630191688,0.04900576956666453,0.07546089881639273,0.14958180763015277,-0.02737375573486888,-0.12290993960599023,0.0020303129084918003,0.06909463474965123,-0.059721836734903985,-0.04636770476132407
TNFSF18,-0.030625562476261407,0.06232591715468924,-0.0297356692287882,,,,0.03233854841978927,-0.037925731058048646,0.0016541279397805655,,,,0.2217767639255777,,-0.03991337781585536,,,-0.02236251690949002,,0.11550202800311178,0.040791313896962285,0.011133070114577445,
IL36G,,,,,,,,,,,,-0.009709979193046447,,,,,,,,,,,
RTN4,0.0690439051237886,-0.011024668782086302,0.02496971367325064,-0.05574322241821911,0.07349155185504071,0.0651459611885004,0.057162936828761855,0.1884308743531586,0.013760959627395555,-0.0936498758771225,0.17942013237452845,0.19865474010149378,-0.04156016848059008,-0.03754362888693617,-0.09514143979074315,0.09035187045543769,0.04063006485723527,0.016342640058692993,0.14675987033856938,0.029955576458272588,0.12537665241575066,-0.12495827592691645,0.04899614564732926
HEBP1,-0.1083882389320151,0.02008151846920149,-0.04704238055539754,0.046392074226226286,0.03122692182208443,-0.042961310639188066,-0.03277760709814401,-0.1073106680657195,-0.038676079830015225,0.012103423818094653,-0.09374103104748592,0.004738197784192728,-0.0932139681141664,-0.027350139266560058,-0.0989508682918242,0.07473126161577567,0.143337382763654,-0.010400067759969234,0.0005926318611340333,0.029911227971212522,0.0823664648006511,-0.019554757574081906,-0.11826549407886777
WNT7B,0.12778290838032694,-0.03953791465491782,0.016160530966391494,0.060486086083065445,0.0778896013536896,0.005563666866964409,0.04652030030779034,0.10008774543107501,-0.032137405407165094,-0.04538291537463854,,0.10316253417960726,0.031203097404915555,0.0681386855395636,,-0.06264693876276863,0.057873760988515044,-0.021561843797676377,0.005769762130174559,0.006683473981989874,0.07745230484505729,0.10331661979140545,0.05323173683363018
PTMA,-0.08427673296258813,0.01933799804934017,0.01162879408558737,-0.07979826850924635,0.03845482196525761,-0.04750431487668054,-0.07657554499200263,0.08271700676693654,0.04253326501365706,0.021034578984948985,-0.27520914699592625,-0.1713128214215012,0.045081642239558115,-0.08920556661846868,-0.001144152650035414,-0.10613128580529925,0.016845726509640595,0.0005099447285740185,-0.0050624309402315685,-0.042795953721640335,-0.05448462772253523,0.06418731407871184,-0.259403308043258
FASLG,,,,,,,,,,,,,,,,,,,,,0.031838888609069034,,
