,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.02056656485295166,
BMP1,-0.10582814755588217,0.08558637273389223,-0.017902802231663083,0.02597226303138773,-0.01614606557634937,0.08555671674390021
NDP,-0.008504572715123419,-0.04436339889897854,0.09102154963206578,0.07184411302507596,0.07768908777518437,0.09337629197317386
TNFSF18,0.04187810573627285,,,,0.037569279717593114,-0.0027392187069883557
RTN4,-0.02508465732843853,-0.03552345310118348,-0.048722992442418754,-0.014839942131374965,-0.0008456013222186919,-0.07596170701897345
HEBP1,0.004644571479498664,0.025634423531558616,-0.0179045707793436,-0.05032867137639388,0.026144139378200218,0.021446874199482734
WNT7B,,0.0031575086235578714,0.010619029416843296,-0.027014748823877593,0.10669662101345168,-0.051297303721290856
PTMA,0.13882097632640447,-0.0634872538195215,0.01793436044075236,0.014635201187192342,-0.08846713875555504,0.02749803785041524
FASLG,,,,,-0.017837374680579988,
CEACAM1,-0.0033430839581803555,-0.009421650038773351,-0.022723277441492704,-0.017930081688822107,-0.007818544279552905,
PDAP1,0.08822480920281878,0.03199169977552121,0.001553706874856449,0.029718726896666128,0.04782365269698922,0.0014669389403870322
QDPR,0.08060292399354257,-0.08990449785588363,0.10317492354179883,0.05334776149601689,0.005911026680875695,-0.03341680805748138
POMC,0.10013445007731998,0.004827194046235262,-0.03808557146605431,-0.029331258246408552,-0.06453173061304553,0.003184666465621246
CCL18,,-0.022715293293558304,-0.012360748815501456,-0.06174664189221492,,
CCL17,,,-0.032802477541288684,,0.03414253822574532,
VEGFD,-0.04341093441299059,,-0.022723277441492704,,,
TNFSF13,,,-0.03565517160635371,0.017291634929300085,-0.026343716716011805,-0.025665216758463734
WNT5A,-0.015487609187543848,-0.019420807114592487,0.05819822022994128,-0.03438439576500677,-0.04077887225486643,-0.015983417842522933
CXCL8,0.04500661593161657,-0.03999385021252916,-0.07001852950670934,-0.012298575697469305,0.012591832888249293,-0.033741584445330625
GRN,-0.045156381271474914,0.06270390046350013,-0.011312287816821635,-0.029772787910932044,-0.04654945516137052,0.05815066490976837
MIA,-0.007799422879689551,0.043677247128901614,0.14057031475931062,0.05520782222458353,0.12505617054278598,0.06015266018316477
COL4A4,-0.03399161659036032,-0.028719228190759914,0.10378781093539816,-0.014302393626512982,0.01456559257064288,-0.028684765899455032
TAC1,,,,0.05124598014558803,-0.00153398306681902,-0.0478267388319752
RARRES2,0.023179393329237172,0.02976848762436002,-0.014370132065507664,-0.07981802602292036,0.06611071993822083,-0.07195942576878009
FGF7,-0.0343986337163741,-0.003101573548727033,0.019918031378323264,-0.038041830993536155,0.010425228737718837,0.02382949541178167
EFNA2,,,0.03617372373079683,,,
HBEGF,0.018308533907666184,0.054918478230774545,0.001783522240316936,0.02648142307362872,-0.001393670280838524,0.032040467468522134
CSF3,,,-0.053254143148629,0.002766069399265381,-0.017021964080761856,-0.03017309173333391
PI3,,,-0.09238844706567598,-0.006219494418304188,-0.03698307295431219,-0.0006447978560653919
PCSK1N,-0.11310888799334806,0.010989959339419517,-0.03063020122830219,0.06303661565190855,0.051958311502194106,-0.00929409993338095
NTS,,,-0.026311790741942183,0.03849952068338833,0.007257826131775852,
SFRP1,0.026878069129861643,-0.04177984051565122,0.04118551430736775,-0.02250498150692341,-0.02462145602265666,-0.024285875514772296
CXCL13,,,-0.0052136338935317725,0.06160847833451361,,-0.024474476076008604
MICA,-0.001088600965671035,0.09396486992736741,-0.03245282823474195,-0.005375387472236577,0.007360855585541678,0.06167112648748636
TG,0.05147844187452136,0.09194590355400108,0.033297849767606094,0.08372503551629223,-0.020845366803927637,-0.026970999289682968
