,UKF243,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,-0.02228612616788006,,,,,,
BMP1,-0.054169979423304704,-0.04349607423843269,-0.0027414893390862735,-0.14849388366805485,0.0043866395671422476,-0.04014096918355971,-0.1413978452307887,-0.188937107783855,-0.029288974666078278,-0.050188271459590456
NDP,-0.07345178022687787,0.0827127681970492,0.04598993161081464,-0.014840702303324547,0.028237346006248856,0.018267399311919265,-0.08268821319744496,0.0013059536865621974,-0.02142683089514827,-0.11349586186266923
TNFSF18,-0.022852773183542993,,-0.02526272880755021,-0.03309422831146039,-0.018617220643236402,,,,-0.014867930520683439,
IL36G,,,,,,,,-0.026379868738205803,,
RTN4,0.2078489011121323,0.13739213230016575,0.09345010848293928,0.21726841437315356,0.027733900084227322,0.08412361808124391,0.27524683925193394,0.22742291085219712,0.055423390539194005,0.08303508128297832
HEBP1,-0.1045350305670405,0.008408530238249388,-0.05203309900571332,-0.04374437837413996,-0.03323925530551632,-0.07327037115974235,-0.18153250596186532,0.0058475240158015595,0.015453100694023057,-0.09091640078086556
WNT7B,0.1779106129262465,0.04372356372430057,0.13936714737521094,0.07408591365239076,-0.020824202477222057,0.09291211860961515,,0.030365266311509036,0.025717301830388818,0.16751588873174908
PTMA,-0.005100334459797218,-0.11935837049046241,-0.03262219797761388,-0.001163773001492776,0.032134571108741315,-0.08426724987918524,-0.3491848690863924,-0.26431956592742384,-0.07271627974410624,-0.20465622338353304
CEACAM1,,0.0733535659857166,,-0.04355011955157679,-0.01918839675087559,,,,,
PDAP1,-0.020041424042358903,-0.10635382661164611,-0.035360056319174334,-0.08465347997039563,0.011710042924468348,0.012780232925803835,0.03167511026432751,-0.09242612277953223,0.039771543529234725,0.009624581224619459
QDPR,0.10126613123534191,0.0892907347989506,-0.005300392574615305,0.08180726773317813,0.02096417463114126,-0.03987767067398502,-0.33327212042683296,0.03315391649883417,0.13423213024722702,-0.08017821509345066
POMC,0.18808242081869334,0.07865398163161012,-0.039725406338277834,0.028640209805636516,0.029489400824604568,0.009678761489013315,-0.07246911403200673,0.024502821618144162,0.009936716411209495,0.0018238422923894013
CCL18,0.06920802509714405,,,,,,-0.08804836096785666,,,
CCL17,,,,,0.0006255368931545123,-0.01330494638202669,,-0.024098759016570555,,
VEGFD,-0.03453071599109008,-0.015506866426633698,,-0.037335239445581994,-0.02473819895996519,-0.009759339073595002,0.0477792560631281,0.002196161756768905,,
TNFSF13,,,0.03572915252691459,,,,,,0.07770979445705954,
WNT5A,-0.0406598462378548,-0.08857712011181838,-0.010079334376395367,-0.13502376625346524,0.04704537640272566,0.007624241402644434,0.04682874491254461,-0.05522648733390268,-0.05522540681683086,-0.09141614362848456
