,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,-0.0043706980218802625,,,,,,,-0.01929670137138974,,-0.022546137175087768
BMP1,0.03921404801351929,-0.009419266079107794,0.10327971416909143,0.019817499010847988,0.006209148311171496,-0.10308649772136837,0.021196271378995418,0.006458555906167468,-0.026941809415350737,0.024355545049858672,-0.022945231614685736,0.1260325261238965
NDP,0.02985623180229725,0.0068212820258333915,0.017653218799887155,0.04956993840730244,-0.027781270974564738,0.05500718585753374,-0.09139418509602386,0.1067790504086695,0.10234474693068575,-0.0037472555372376065,0.04280364379967102,-0.019469056951570505
TNFSF18,-0.03151832187460322,,0.0652492087014999,-0.017103082243987936,,,-0.011197198864427334,,,0.08072699918039142,,0.028958118753980452
RTN4,0.05543736716998923,0.030039034265270464,-0.14752392224906036,0.0004380841407062944,0.03577210848608641,-0.04830611417629098,0.013664877017132655,-0.003856619467323613,-0.05506055837236275,0.010982137523495016,0.116196533956655,-0.054053191752381706
HEBP1,0.0003756957797856445,-0.056447774188104434,0.05078989475351486,0.012074650347177737,-0.01197718249104512,-0.031152559462078757,-0.08390783570688577,0.06636452281309344,0.052801312293716214,0.0005921948292962844,0.022272692704353662,0.011026994083014306
WNT7B,-0.04664365914657915,0.01960657439585464,-0.01100811351433672,-0.04281495975182565,-0.01262603429846746,-0.005325499823263722,,-0.005663005033366903,-0.01167168145031675,0.05858776573862241,0.004644056117360521,-0.013241407409675202
PTMA,-0.09165643653893406,-0.016905334891720317,-0.08541729109610584,-0.010604772734074714,-0.014474462648071777,0.0659112658301762,0.029905307082100197,-0.10288656921529654,0.03403917570090045,0.06253945194326233,-0.02898013966620059,0.0884154847721534
FASLG,,,,,,,,,,,,0.06484680506815028
CEACAM1,0.013255985235420369,0.011374646349191305,0.05290641561224903,-0.026899073833457722,,0.07636450838607863,0.016013458448562376,-0.050147368018191335,0.07968346540874424,-0.028594721758293383,-0.034102076508052345,-0.011160492289550199
PDAP1,-0.008510030109049193,-0.050028664825740615,0.10481603276754096,-0.011636655006344821,0.0566218358231384,-0.027833198554584857,0.10174706320394741,0.026849600497380114,0.00159716555044648,-0.030134796456311775,0.03754621286406277,-0.02766772754164413
QDPR,-0.040249609163257594,-0.038200600161829246,-0.1527452206195448,-0.012514938869730999,0.02381967015280092,0.06870190650638403,0.014527995454297535,0.08583127778853857,0.06800529483803996,0.10188261751908864,0.026645898949167846,-0.05601768356380677
POMC,0.05286729154252661,-0.028401716685390696,-0.005916948400580107,-0.006087076394911368,-0.007233817731418977,-0.05580544516049899,0.12512319051851456,0.08032395204650822,0.03587021800868674,0.008569846791178906,-0.040856531977167564,0.05966831471145418
CCL18,-0.025033668616951006,,,,,0.13552363668971992,,0.010044489213238257,0.07077434223366028,,-0.046229562428479656,
CCL17,,-0.01767747963661658,,0.0314671736753232,-0.015627491031090086,,,-0.006884565081559014,-0.022814451379974343,0.03431316280704458,,-0.017723737716522928
VEGFD,0.03130413289010074,-0.019694664434325784,0.0015336920376688283,-0.009958641106856072,0.08582800893910729,-0.038300522163477686,-0.029235614674107794,,0.010365089625707728,-0.007730700392308821,,
TNFSF13,-0.018891215662908863,-0.01219352981966141,,,,,,0.008224723555188308,0.08126644888650947,-0.027282810889888858,-0.016670002477629637,0.0891359491424614
WNT5A,0.0014486178942739512,-0.006794473782528564,0.1132464486145374,0.022912789288924266,0.01141237223722282,-0.0363822440092849,-0.01743319794559162,0.05572932219731662,0.022710477034406047,0.05245608663106779,-0.006474194400781513,0.03331998903971521
CXCL8,0.053243484856327246,0.012518884274451325,0.04743636555263904,0.029171030885361836,-0.010674800875108458,0.017312800630639075,0.09500374186334327,-0.10441632914236183,-0.14350636153158178,-0.036121506364663256,-0.07363389819470158,-0.008991918812911628
GRN,-0.02150618198178482,-0.03105272027440524,0.10889589387951856,-0.014273129864952723,-0.024614803141545336,0.003181272327918317,-0.06774867650976779,0.027716495594841992,-0.044944959057146815,-0.022238143363982135,-0.06062895121760554,0.11029781531754121
MIA,0.07092563003573979,-0.004183758136537508,-0.009507383905688139,-0.04192611388181845,-0.013036695714056372,-0.012509444314424434,0.10056778207632804,0.11494725319417139,0.15609201206188442,-0.011135749060692523,-0.05548355513175935,-0.006548423600866515
COL4A4,-0.017749919693296985,0.016722160997037515,-0.017851232721746192,0.02932410685893832,-0.021900612025597375,,-0.037958905629200144,0.08083301111433579,0.023615620469659572,-0.026277564792596873,0.01486171022250791,-0.0009251585052330293
TAC1,-0.02308477072882213,0.015890006756283923,-0.0844699786788608,-0.007247042133954253,0.06595279365491842,,,,,,0.012074494838511822,0.04798556527650133
RARRES2,-0.011124567467810534,-0.002193283588215721,0.13840552411021886,0.014866489199228089,0.03992429422835036,0.04018340963107794,0.08502501792301283,-0.043493770323871396,-0.04916050233615073,0.011493429798102512,0.01587092735975114,-0.02082092812118972
FGF7,,0.010341613146191942,0.13139633640178527,-0.05076752160115212,-0.007898571393433994,0.07956764316229499,-0.03957605520154416,-0.03515406176275426,0.06996058368714218,-0.010182939480472077,0.053808868175116,-0.02613794078210533
EFNA2,,,,,,,,,-0.03555016546444645,,,
HBEGF,0.016056801723856214,0.04184546014642442,-0.014075569822583166,-0.0009166167012198992,-0.02943796409985532,0.00681177313689971,-0.0879165129200157,-0.011421542416136035,-0.027354322325563892,0.036169999086230836,0.021463510082450624,0.019086433454997876
CSF3,,-0.021070014373704694,-0.03253357698853134,,,,,-0.07418644781667787,-0.08298693608027678,,-0.04888998497244801,-0.01866036160624045
PI3,-0.012961598474486268,-0.019371844025761017,-0.03663323708582439,,,-0.03344483034138558,,-0.061810076403547666,-0.16461854324477768,-0.021616776807180594,-0.07033105658224884,-0.040542766472959756
PCSK1N,-0.01871187589967877,-0.003045607347634019,0.026279797064595545,-0.01846405271961987,-0.01879934975916291,0.024202755288611648,-0.08234272887595133,0.017386919109089974,0.05149250622611692,0.02454437938520128,0.11895575003502794,-0.028490201763492522
NTS,,,0.0008081574834563134,-0.0031437670598936335,-0.029856001482919312,,,-0.04090236801994632,-0.029779282799930792,,0.13729616925923724,-0.027633450989214752
