,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.03532318096707386,,,,,,,,,,-0.0066536854931419035,,,0.07521956509773661,,
BMP1,0.11855056645268683,0.04402055553193498,0.024438532591326518,0.04292373445966674,-0.049589705297674466,0.006798922540208358,0.0598359050052733,0.29598589900540867,-0.027342270004304857,0.06605938495518116,-0.041476503345250534,-0.08478328160941878,0.10579932170619083,0.04941589803267131,0.024812857938652705,0.03247570533534994,-0.05227469588111203,0.12241663811720048,-0.01729415948692031,0.06958896913024422,0.015519263423015982,0.11960433144652366,0.03299562817950329
NDP,0.039755583911228305,0.06828881666517311,0.08857135315628262,-0.01023716484515934,0.03241908240749663,0.07921168298826368,-0.0127421476668128,0.05783607666509404,0.00855061357138894,0.008259756344506847,0.08026619526274924,0.03658580890530132,0.017026597476396396,0.030062665995404726,-0.07798594850751267,0.08176587855964808,0.059867066031143154,0.06979170560266168,0.06484535821438596,-0.03867677575077409,0.2287965519538893,0.1266957316722698,0.05692868908443586
TNFSF18,0.004057431108062691,-0.019872599663920746,0.05363105828194237,0.010515899270221148,,,0.06566308040028618,0.06414742091082937,-0.0017125995897117152,,,,-0.02590978278022279,,,,,0.03496708387178193,,0.06308750135532157,0.0345962296466737,-0.03483791850069341,
IL36G,,,,,,,,,,,,0.011069454469409616,,,,,,,,,,,
RTN4,-0.21548203039718292,-0.0700993399495713,0.012750216591623429,0.010570958773548262,0.015275524808231666,0.035589054693504464,-0.060033593291211766,-0.33487820170605936,0.04368579052064868,-0.009435500699465901,0.09129037104812993,0.0353065943709734,0.037053110771186316,-0.035192699454481495,0.06108479063850183,-0.05822516284008391,-0.05083863716037114,-0.15952236577926504,0.06371853876494808,-0.06254821432191277,-0.019436520503565178,-0.09856675786308151,0.04081452202745377
HEBP1,-0.040876776178801026,-0.006521512004645578,0.01691043257060666,-0.004754781009988425,-0.013222915125884725,-0.036366150585052284,-0.033654061213941926,0.11882040736684626,0.016456873727507388,0.01468188435478603,-0.05220803222940838,-0.03419851323326892,0.018573401644945847,0.05329129918588158,0.04748467080084708,0.02420543907531212,0.02493906027421915,0.0012133515349171664,0.05899143383842502,-0.009515968120826305,0.18963273888610907,0.0654208918072801,-0.07111283297306922
WNT7B,-0.05164572178805804,-0.04638286852274462,0.002126181236165433,0.03266012534268687,-0.012754164726201262,-0.014679567851042656,-0.02601726066622779,-0.07686257542592582,0.012279221440536408,0.013187693233570797,,0.03216557854489856,0.07687306591784154,0.002425707455817191,0.1012587107538207,-0.008926568298578954,-0.018988456808330254,-0.07147989380719402,0.07573562021681166,0.017647176236421747,0.009851677286239072,0.0004927568227579165,-0.05281845044455645
PTMA,-0.12662610958589082,-0.05626568401962324,0.06380197019884615,-0.014508803258339264,0.028553049242623606,-0.0016611774642246646,0.07710163967320052,-0.08454070107754007,-0.005497594315549987,-0.02126331569907383,-0.09487674976838917,-0.10282627439764876,0.07854481260749642,0.0672365208284749,0.05486445551972567,-0.04754368956248995,-0.06608059877587727,-0.17734534745400535,-0.06243620568705571,-0.020602571998200755,-0.11779930425666847,-0.00976499536864028,0.0324807908319539
FASLG,0.012304699897017742,,,,,,,,,,,,,,,,,,,,-0.009790368856684346,,
CEACAM1,-0.04114687567726258,,-0.0388291428927059,-0.010074075193290049,-0.023256534156087208,-0.03540414844076518,,0.06751751795927911,0.0021215406652552856,,,,,0.07305039490958792,-0.021775641528350268,-0.0015618780481578508,-0.02181148720990809,0.08366329435309941,-0.013730725260774287,,0.04326087985502985,,
PDAP1,0.20832748973996354,-0.0468703661574233,0.05894239742222671,0.02706445725926392,0.04327860935667218,-0.02858025726382967,0.045265043603969476,0.224943424519047,0.039716659513637544,-0.016618713616432378,0.01232269184523754,-0.08342766493720284,0.10103468776429628,-0.043917636101542236,0.06512794012447512,-0.12202712724940708,-0.07949175549850115,0.03655974674192706,-0.021763119713310932,0.035624396790721685,-0.0035152399566169665,-0.09947966334256879,0.04042145146782492
QDPR,-0.3259976612267615,0.009262212074908526,0.1007347377033408,0.0019325375926397034,0.0028879624806747695,0.022450399234792986,-0.0006223529016203361,-0.26303917138530236,0.037364132492675416,0.05948175253987731,-0.04952062934152562,0.08437727850172357,-0.06526233116446944,0.06659388704785224,0.1428877490588525,0.10563542158508987,0.09470160457396987,-0.23591114481734685,0.056658176517865276,0.061832448499665224,0.1607458776309923,0.05550991596881502,0.05795837231400077
POMC,-0.027582617069978554,0.18699115353432202,0.044254573470908706,-0.00027398687646544947,0.0018922671129928954,0.05777855740037368,0.023279865955798094,0.057231262579710715,-0.013651048112453972,-0.0038165268828727725,-0.007520659626309731,0.037365176162094685,-0.01281087365134308,-0.04322994238699762,-0.005831035155759527,-0.010195046023235661,-0.012244378674816842,0.027339930027960112,-0.015872210773969272,,0.045446424654218325,-0.054327733339785786,-0.014730228233901849
CCL18,,-0.02665079015845497,-0.07270105270489592,,,,,,,,-0.05736324780697686,,,-0.0385025256429842,-0.01438252288127656,-0.04185160453570292,-0.06638540468655894,,-0.06603609346368666,,,,
