,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013794943466537608,,,,,,,,-0.025642306589141708,
BMP1,0.11386588108909623,-0.022068914980097547,0.01868253315567451,-0.02145254621720538,0.008560411237084585,0.08417394390732623,-0.0018858636118240335,-0.006951319241425205,-0.015545251261416638,0.0393002663416406,-0.055657577616490324,0.01946525057774205,-0.05156685913740993,0.03223260360563041,0.01993070253898279,0.08633427672002988
NDP,-0.007239343033253,0.006595426192034711,0.08324411683022147,-0.05883297667633668,-0.014055004807183415,0.00023855700795769123,-0.012878150883011277,-0.02862165060846211,0.008763757038218932,0.005495313916957226,0.07608982920786966,-0.04000949417537629,0.044819112952395226,-0.03458524484541616,0.06748180508728988,0.05817589073729857
TNFSF18,0.03838455372818119,0.023566464089975574,,,,-0.012941577752766264,0.053505107115019386,-0.019068247870745243,,,0.03149426210118271,,,,-0.005057136159119227,-0.002221714119063238
IL36G,,,,,,,,,,-0.03194706721339512,,,,,,
RTN4,-0.05812151310346364,-0.007700315754594429,0.040004146082582105,0.016099820905358126,-0.018346674946817694,-0.0614064358331515,0.04655546263233149,-0.035969454853352525,-0.02129899650095054,-0.10744422115025413,0.003498577793722668,-0.0039859968108822,-0.029280141656969596,0.07409066840828205,0.03798771838626481,-0.10335072909229975
HEBP1,-0.02404759010888922,-0.008353037086591597,0.007380564902570689,0.049585631544952366,0.02433753116404402,-0.01462819356014663,-0.01798740080932061,0.05075059155974395,0.03227327789269225,-0.012131053759497306,-0.008473914750192966,0.0409545200824833,0.07225961649493294,0.08153957105855786,0.0680950255379388,0.04584683945901064
WNT7B,-0.01953211768540046,-0.04578790018871554,0.13329192587895172,0.0011822069203320255,-0.023834465853343312,0.02865645362983754,0.11447402956002185,0.009674725895317211,-0.010749564810733485,-0.03511350849225635,,0.0144482799380074,0.0063477678801369345,0.0054240911236501455,0.01652591906909453,0.1207265874039121
PTMA,0.0009869601617689579,0.014341413244606707,0.008361483957513325,0.014054187837307237,0.0021996966889259073,0.0787853488430972,-0.012193495639734242,-0.0028492351791276167,0.018850709542295535,0.10071507432210243,0.008981064635195908,-0.09642850992350344,-0.007901429171312636,0.055142465312818856,-0.021979276570256206,0.06332474653315986
FASLG,,,,,,,,,,,,,,,-0.0222395637567633,
CEACAM1,,-0.01969250248705372,,-0.030172733556047267,0.12130490323702313,,-0.026957194473789685,-0.020800469140150935,,,-0.033632030186094286,0.001329748865255648,-0.03192522707425514,0.0005613126173288583,-0.017005899001412597,
PDAP1,-0.02125232682507358,0.016558952177020317,0.006370473943922215,0.004020150202273333,0.07086515197587699,0.031984361896309585,-0.04666901914802338,-0.00031386549348760834,-0.0017192260724411645,0.007933491509966301,0.0039181219778175345,-0.013136266674498416,-0.0681493676428685,0.06526459555598506,-0.015519349852556845,-0.0014340920419571557
QDPR,0.02459449460203635,0.002127754526175539,0.0493656628066496,-0.0013032156823760198,-0.010212229647059295,-0.025334247835089845,-0.031986550200705885,0.009867696674714009,-0.051355487122555846,-0.09468556342766844,0.03126814538195581,0.05346817215660141,0.03569691221849366,-0.044744228939848536,-0.02620558816397276,-0.12668036191688878
POMC,-0.037522772436387776,-0.04667343058162934,,0.07424210263068985,0.04833711300767896,-0.03414249230394779,0.009752174081051673,-0.022125286947690347,-0.028912064129201095,-0.0580878876516235,0.09664989033209415,0.021024603507296277,0.04954844956072566,-0.05763391069753319,-0.0804578904128528,-0.05648080413289423
CCL18,-0.026650781492332506,-0.02457438247690305,,,,,,,,,,0.04016405137200713,0.055048753554693346,-0.012146352612109931,,
CCL17,,,,0.030027564819301585,,,,-0.023781817568647265,-0.013304947832135188,-0.017170710676363474,,-0.02575016082116146,0.001180230502438759,,-0.020157666606179785,
VEGFD,0.10324888909817707,-0.02457439028042048,,-0.013033422297845106,-0.023925892323772263,,-0.023110230714019193,-0.02533751512558891,-0.009759340137267123,0.04847023509182119,-0.04572200803147665,,0.14858800416343745,,,
TNFSF13,,-0.01854462349316368,,-0.015464351877895636,,-0.01255063065477025,,,,,,0.13253154907469775,0.0002595109941696843,0.02030671896311012,0.017149426052150297,-0.025665216758463734
WNT5A,0.003182776538260858,-0.02172211866737906,-0.003758255410193115,-0.01906157778809595,-0.009083313926486154,0.08447258243509083,0.06056450321124659,0.031067354225855204,0.07737222452966888,0.014242365363477094,-0.07040491570110725,-0.010597756651083869,-0.016484810391672353,0.028664167352491277,-0.016404793982058047,0.01135018230325081
CXCL8,-0.05124726463876783,-0.025580081773988794,-0.044098545515526874,0.13959450386656178,0.036601628446728575,-0.017852458083104244,0.017682784817362684,-0.019928879939496047,-0.009088321886039953,0.142320576062933,-0.05775766291760259,-0.0612005080280049,-0.08217887068540541,-0.0001674400499138745,0.03950241262831277,0.06316236424123856
GRN,0.003614643954900475,-0.03733110341494542,0.029514328431469332,-0.04300369230467031,0.01804552930779648,0.04819513822964131,-0.003971897970200457,0.003368326328001477,-0.042137938344026085,-0.03840034702468889,-0.0773934022012292,-0.06611525691581073,-0.05560746125484891,-0.07208529540591392,0.02604150949291694,-0.05721152696654752
MIA,0.09338573374717153,0.025581279366239083,0.024579947246155264,0.055480781112996834,-0.01859032381805979,0.10703865207231267,0.02952968193176721,-0.02253809634436729,-0.01109919410824588,-0.00954227628713113,-0.01429470004083986,0.11523736728899404,0.15298463396506629,-0.008749219945273003,0.01734501342671142,0.11646004629018888
COL4A4,0.0635502326392528,-0.005485397749499941,-0.011993728603105928,-0.036417496355945184,-0.005239508132724136,0.018818809262374676,-0.013593892854288444,-0.024828953319509114,-0.01864576341222703,-0.008849472496637272,-0.008627977844974294,0.061131775011905205,0.053368215526694476,0.03512555571469854,0.056430110123988235,0.08022312296168996
