,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.02789740980543267,,,,,0.009071104212272604,
BMP1,0.030089783549152642,0.021366029024091036,0.028966716681345164,0.2714444767033472,-0.056700664091769826,0.014745710836303515,0.062045658184869165,0.10129986769428162,-0.025569312830471133,-0.040278844150582575
NDP,0.03954353510082332,0.08223646895046534,0.033265626661216054,0.06330365920854364,-0.024368373887055757,-0.0022593190627663317,0.056219524939335824,0.07624484041772973,0.14324640587505827,-0.005100449260685793
TNFSF18,-0.023606118723376153,,,0.10168349339701369,-0.023864527298112125,,0.08757051692348439,,0.08395931645429457,-0.0071306195662852595
RTN4,-0.005207360442280298,0.012921129431566132,-0.042570607946978915,-0.25835186367891927,0.022705822577992682,-0.04643147913592024,0.05374854953502031,-0.13096541824258026,-0.08265854866243981,-0.0583897167812504
HEBP1,0.0777610392654083,-0.05098486150638237,0.04112737793377854,0.09156609830762069,0.03992206204115681,0.0019266008456300142,-0.008365184938457903,0.07781974876028228,0.08111368425183077,0.009603766708023919
WNT7B,0.08033458629811528,-0.05069245811474804,-0.0077720310519661445,-0.10246407397029199,-0.02967336755830465,-0.035521306379739506,,0.017071326704938564,-0.030832283983129715,0.06628802784650756
PTMA,-0.06016894899764283,-0.037787737877207773,0.014716420806617145,-0.14011801836300503,-0.05335865958454873,0.03967276791566931,0.02390036529793203,-0.18335943349938996,-0.09408083837291216,-0.0310630047722367
FASLG,,,,,,,,,-0.03240531904365428,
CEACAM1,,0.08027219934975754,0.0498565181335027,0.03640460728021283,0.017330369092024685,,0.07313322575884046,0.08680948228596037,0.053607891269723824,
PDAP1,0.028920444908685734,0.03945319935604281,0.052242717893902675,0.21449919991008956,0.054327988597867846,0.06455440658159539,0.002320983541085896,0.06762272236869708,0.040082002228090406,0.04561498677639879
QDPR,0.0023194229641191715,0.0016387904301396485,0.002473569651560139,-0.24673073450188948,0.08227572464895404,0.0007449347823272522,0.015918539187855116,-0.14458657003927852,-0.007744983061459205,-0.003313825655827184
POMC,0.02309773157213702,0.0034370964799127187,0.012993498496152372,0.007297587987200617,-0.00013618659975309528,0.023659272769320228,-0.041899546059838914,0.0003358675053399185,0.0716397300177548,0.03824257490445211
CCL18,-0.0316577462029017,,,,,,,-0.0368467030847092,,
