,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.054039035746720025,,0.03487362238649913,
BMP1,0.14489431375398876,0.07040607785632806,0.14943554833612202,0.07564242578708685,0.06747842457994616,0.11830920135458728,0.13923386362076642,0.3657464277729297,0.1040294208191507
NDP,0.03449904293929862,0.09904932012352882,-0.03802143455698718,-0.029535070134499714,0.057425088913881824,0.11503933256869985,-0.04266280674554028,-0.01898999150636829,-0.01918086455558953
TNFSF18,0.05504622594140168,,,,,-0.02651349736417633,,0.1090524493359371,0.04526150383144498
RTN4,-0.08369889090583359,-0.1302830708610514,-0.052235236769692224,-0.011279195609643128,-0.048508851328050835,-0.1590268885828438,0.010779734825484217,-0.08995308770860921,0.05698680855199283
HEBP1,-0.06364180579645856,0.06388902395808566,-0.016416700508613404,0.03871161878309495,0.09812804259704457,0.024327297812598833,-0.045014012602658734,0.10668480412495862,0.002883526832067839
WNT7B,0.0005416442600302392,0.053866084349124696,-0.03097057964209565,0.014980722647172474,-0.04218323331544489,-0.0554418678746188,0.03760822518313155,0.10566099051337159,-0.04873952469309707
PTMA,0.08125413140966732,0.02325476588098272,-0.08270078835749672,-0.02308745299530408,-0.06030628934939211,-0.14197837537827523,0.0754542357045245,0.25652337155061206,0.021596923979761012
FASLG,,,,,,,,0.04043138442893733,
CEACAM1,,-0.051307549454647744,0.042508550605612413,-0.020585075943705504,0.0394763990599706,0.1066888824489937,0.0035014814071156683,0.05229453808314381,
PDAP1,-0.016904871956625687,-0.07702088341469396,0.0017303124290986031,0.02617132079986669,-0.013597945769369596,-0.028793766320031416,0.00825212293833057,-0.04638538888415441,-0.013670889244635866
QDPR,-0.04119222934772265,-0.06034760285194838,-0.14559814145119443,0.06126189041801056,0.06986075549088981,-0.13284967483719734,-0.08289243686165865,-0.043766844501566836,-0.04789651386316431
POMC,0.08635277576102532,0.0890881815703243,0.0661633687429315,0.002352743020919116,-0.029754576046657905,0.018105760209375703,-0.010994732397549695,0.13522462523468068,0.04937339751465627
CCL18,,0.009655260834018868,-0.04503093823079853,-0.03767043646820888,0.05653045873767192,,0.02139436851915367,,
CCL17,,,,-0.014604115036376809,0.0273891906248382,-0.0021486177855498776,,0.026788768531732014,
VEGFD,,-0.04956364193854099,,,-0.020435812648302368,0.025049875133885575,,,
TNFSF13,,,,0.14380946075348142,0.03480660864470366,0.005680054078131333,0.037571766596790214,0.03335267901331597,-0.00562305116027481
WNT5A,-0.012015042240331158,0.0367551410941209,0.04228409413022063,-0.036813512591873515,0.017965163746945085,0.004084716324449626,0.09445241506563783,0.20422291841596882,0.04995316814805715
CXCL8,,-0.020583509295565662,0.03951229832255184,-0.02800371730946071,-0.03856486308636299,0.06632594017020953,-0.010665622626818357,-0.09387434986459237,-0.024082133443040776
GRN,0.0549966642220732,0.12716226398307737,0.057233882483123,0.07870614833620378,0.03908292482183417,0.18372932795641345,0.04279514051358982,0.2235622233899336,0.05940624684469575
MIA,0.13538027514285855,-0.08767613936314099,0.06649258341010358,0.008800237245734628,0.025822947974534587,0.1073972732413256,-0.052719537343445394,0.10762738083659944,-0.032222726287444804
COL4A4,,,0.052876033184577204,-0.03858820256339558,0.03375777400483742,-0.052214299287258945,0.02972077098488604,0.007383095222930719,0.013166681146921877
TAC1,,,,,,,-0.03134954668548275,0.020272737879825604,0.09233981597018055
