,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03342071044569842,,,,,,,,,,,,
BMP1,-0.06868236317874746,-0.05896902247179144,0.023705288904478525,-0.017579163797449105,-0.025612676872053465,-0.08400858822565335,-0.009653339270055843,-0.27992296788768095,-0.052575058084825405,-0.051451532483977686,-0.10166815047864904,-0.18181177898503803,0.028894127444997458,-0.002511596443116719,-0.0031282207015767417,0.04726498145739091,-0.03266336588294029,0.04182436953213148,-0.044076322373014516,-0.046820890513374104
NDP,-0.052108403010468575,0.06960898064543707,-0.02974460879417336,0.04406107847336187,0.026983507452463116,0.0568761056508559,0.013107276397863736,-0.04891578589922616,0.004597636936938704,0.01798376026232907,-0.07701063164634685,0.010500227517337497,-0.008355313933320249,-0.01039664884680491,-0.00660720341147705,0.013595034915351542,-0.017279951551747743,0.021007053943608814,0.06096354595830311,-0.06761067611585328
TNFSF18,-0.038750561392162104,0.036820097317642006,0.0015286786501451015,,,,-0.001589238510660337,-0.04871059030940671,-0.032084832660335814,,,,-0.07906661557892164,,,,,0.06414705011590123,-0.07022439215967438,
IL36G,,,,,,,,,,,,-0.044437273503071875,,,,,,,,
RTN4,0.26938697362191977,0.021574307640767936,0.008021852368981395,-0.005625711013862511,0.08370308318646613,0.13141607965435353,0.16155269843366477,0.3791472107601184,0.06374395351429626,0.08439735884120125,0.3592299361021802,0.2899434576628486,0.015066979206143069,-0.08164392205860187,-0.025542883644671326,0.02770394344241052,0.1276548997151771,-0.029968219119194586,0.2652737947121941,-0.03900137451803568
HEBP1,-0.09327815403257142,-0.03179608022659581,0.002492001387452612,-0.02586166789466488,-0.04510898161780411,-0.038212114945985046,-0.036224761035808475,-0.07877492207476973,-0.018636027848681392,-0.04688085744348307,-0.1966119761090535,-0.012709206181346185,-0.019731477983718177,-0.01454347806580737,0.07125890319100113,0.05255362050559851,-0.00785505290486191,-0.02864278437240972,-0.03072117488489409,-0.12645565830412966
WNT7B,0.35490323206798646,0.056511027414233854,0.015394224220393372,-0.05134185433974229,0.07560373262208786,0.0754062154692664,0.08317986672123079,0.21441249808936172,0.021694383945382766,0.00655291418558436,,0.051564399155494135,,0.053706686512527343,0.06159498240302463,0.10130719121800864,0.049682507544294374,0.05963291157385339,-0.025296729247100427,0.07108402915865315
PTMA,-0.024960533678878204,0.08402677669036698,-0.03015127250353746,0.09905483559049633,0.016347302990176997,-0.12685752332420971,-0.1570094200194183,-0.021216543529922822,0.07826099854296413,-0.035298344748070525,-0.408297438757918,-0.2704451627896763,-0.07409092806455628,-0.08556937511761831,-0.03043376910911103,-0.03286410692070171,-0.05683145702777813,0.024808629640036484,-0.09417040944304175,-0.13797771569680972
CEACAM1,,-0.009473440545583647,-0.022723678691789193,,0.01548821347438829,-0.011346575448904151,,-0.06614017448919864,-0.004608636237579598,,,,0.021613306232030668,-0.03907914795879464,-0.0553237892481612,-0.0037952073709230415,-0.0026220798467433805,,,
PDAP1,-0.11630741450050122,0.04085035176763981,0.06646578814006499,0.0537562682907109,0.014189258539301985,-0.0455589832397849,-0.03260588708543154,-0.2312548907870583,-0.053919405431341834,0.04187923534996821,0.0456004087449243,-0.19147868035404692,0.06694782748663074,0.05696876319532562,0.022844683965038446,-0.04653223866474531,-0.005149544884436747,-0.0327752666115909,0.027715477155157858,0.005777879722499909
QDPR,0.20710800133657592,0.09523761846062083,-0.028906941805034853,0.09904207577507734,-0.024709496692048444,0.18207193678886566,0.01998973060478415,0.09221729163860846,0.034434742621575684,-0.0089589011859172,-0.3579048861218802,0.039766323117617554,0.055524317960276806,-0.07095618586250982,-0.005948562604243723,-0.0035500655319657963,-0.018962135506697717,-0.011641815018876163,0.16291123845022323,-0.09127984629706457
POMC,0.23689551196120556,0.0025164680018145568,0.04126643843325229,,-0.02584080412919002,0.0845000573323894,0.027507097957717164,0.05085301954148105,-0.022231823775764964,0.043056161259464085,-0.07793040597683709,0.057093094198230644,-0.046928115006501965,-0.004256717284583206,-0.007974504515413962,0.05527877870131721,-0.023900204334436608,,0.054678783382979816,0.0070856188463850715
CCL18,0.027402964345999214,-0.008932514846881467,,,,,,,,,-0.10271123745025457,,,-0.02770775842561261,0.06925930743732452,0.09944748839604561,0.009227828084969386,,,
CCL17,,,,,-0.035766848128103754,,,,-0.0048690777704453285,-0.005955452206025357,,-0.008092525611782819,,,-0.05026323389749382,0.1132803300157961,,,,
VEGFD,0.033469782875210394,0.03475106567932774,-0.03254711068873626,,-0.01005263843706666,0.008064074356954498,,-0.07944256885817236,0.030116542482566087,0.013915038639852592,0.002267972994275333,-0.035211677468413145,0.05896713371113713,,,0.10719791608226655,,,,
TNFSF13,,0.009232967122484169,,,-0.0014474262637451305,,4.527981610790859e-05,,,,,,,,-0.05977530118077867,0.053730579049723295,-0.01797356468322111,,-0.05220316805780072,
