,UKF266,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk
DCN,-0.03934515363626494,-0.04369625251709121,-0.046761583631506294,0.027704920742206728,0.08109106791283727,0.04266053097781239
RARRES2,0.018570873051777955,-0.10462499706221766,0.0937116833725614,0.014912014896995833,-0.036095030810746546,0.0033170988814140595
SEMA4A,0.01909191874218128,0.060716376359680295,-0.0051360480396981795,0.0033873181432844714,0.03872824166423341,-0.03648140036629123
GDF11,0.021433134103754498,-0.06502134448937523,0.025018759396240743,0.012757138813129676,0.03190217253202071,0.05163231043151797
GPC3,0.022330249953646596,-0.019381217616735252,-0.0025007587770799465,-0.000782557004753035,0.045710831109649255,0.001967552728537129
OSTN,,0.1147885539347254,-0.017581931421029994,-0.021749322231754346,,
GRN,-0.037330185613076244,-0.10405672710787098,-0.03774255966648454,-0.012185765546603633,0.05669255506183918,-0.03020576964329558
CALM1,0.01728362099404785,0.14659204502032339,-0.01964536755422391,0.013442915136858842,-0.01625531370058607,0.10086556524320857
ANGPTL4,-0.012879563284230103,-0.022054328167060423,0.05484807464482837,0.015560033932665446,-0.04912728451813941,-0.023945355819576797
BMP8B,0.07047812327818104,-0.029395219265306808,-0.001892028620376206,-0.01173047444489085,0.06466543571987943,0.017712660226362562
TNFSF4,-0.019266500831239382,-0.02275817097388877,-0.032600924013749984,-0.015876915966796357,0.04239068825952767,-0.001700945548915236
RBP4,-0.014865689974918729,0.11493462052281934,0.048197901115476685,0.04987030659560424,-0.012816733496941393,0.04739777526823197
DKK3,-0.02964562500441911,0.1475115378476795,0.08595899082384847,0.0493203596800337,0.06085336757310375,-0.028642781839973118
COL11A1,0.014370253772279396,-0.026066222578547987,-0.02831588669670766,0.10285182716847577,0.018508426842983348,0.1007285698718154
COL5A1,-0.006829316542723018,-0.055235468646984524,-0.04843880956791032,-0.0253333057329167,0.07132420660503666,0.013817743362926549
KISS1,,,,,0.09101201827135731,0.0037300389395652053
MEGF10,-0.03994948971644428,0.029079065991215604,0.03199424717047357,-0.03325010480404756,-0.0010722591295077646,-0.03037665532614447
CEACAM1,,-0.025856678396918756,0.002744270904529425,,-0.019823715242205445,-0.017888122572317627
EFEMP2,0.030877233329043106,-0.12166670217659815,-0.08399362529989783,-0.04461840985641996,-0.0035105674030494476,-0.009621755304029695
IGF1,-0.023719105144713405,0.00038225706786206633,0.002998433703996705,-0.0002633590274049591,0.07526798322741567,0.0182125454110884
COL6A3,0.006260908960908093,-0.0021992279609459983,0.01601633483814305,0.004586522330956147,0.12028964952988985,-0.00710920807862148
RLN2,-0.022633623258304633,-0.01649410223636792,-0.016202947554881716,0.04662830055314119,-0.015284230939102887,
WIF1,-0.0017933123436597155,0.09242446821813101,-0.014005705761673289,0.02762232113952034,,
IL13,,-0.014158616488713922,,,,
PLAU,-0.010553233354084056,-0.08515852590788031,-0.06951869336060623,0.0365079863143441,0.08924338024871169,-0.041836962299043705
CXCL12,-0.0006565478009762794,0.056252156110179884,-0.01874337419855373,-0.026316869784838392,0.07396215540793148,0.048897273816083324
MMP9,-0.012401883113757492,-0.046303425147298294,-0.021329626098827277,,-0.025178052354709417,-0.03910556398311304
TNFSF14,,-0.021805298896569663,-0.027629298364781653,-0.01325033414328329,-0.02090354624635969,-0.001604012819512906
HBEGF,0.06856963722884367,-0.024839040549877785,-0.10765717336088144,0.013803645519510865,0.014177719882333276,0.04740289401557656
NUCB2,-0.013748034834838047,-0.07564209204529257,-0.014049860501455963,0.04709881051955095,-0.022308732011790174,-0.031530373153936135
VCAN,0.0371317720704455,-0.11036459260459226,-0.00942276587182845,-0.02029912695007682,-0.06469197604288819,0.007298725850555145
