,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.032270353014405534,,,,,,,,,,,-0.03523783601537973,,0.14431601832956376,,
BMP1,0.03392590009568248,0.041062591120185954,0.051232959559578475,-0.017072158167962627,0.031085165473245586,-0.0024036653216706915,-0.031094790734984182,0.11523173851107024,0.13348330361838584,0.019947821122389575,-0.003012174632063557,-0.0025233889957122385,0.04375885554544277,0.09312976974060917,0.027079764083969886,0.08086394535845336,0.08130212292105272,-0.006586288478887922,0.09361652489007154,0.018425976996179178,-0.02126002087162956,0.04734919324004637,0.11782507985063222,0.08337801783689733
NDP,0.06340244433469941,0.020125522519049123,-0.009728041564318172,0.04495682616498907,-0.020151743560261455,0.05713193622090177,0.08138731231269422,0.08205102601940538,0.010349670496773739,-0.050365729384824136,0.03300260168504221,0.04473461468161292,0.10145893413834504,0.04948152142311226,0.07269966759022051,-0.06783141580731583,0.05474629165728002,0.07417014568248521,0.11850639945075227,0.05108953937520531,-0.04221191668875654,0.07724273335163996,0.013364122095680666,0.001629187008000641
TNFSF18,0.038208603318505584,0.007762836752039124,0.010360912488939063,0.04589275819890617,,,,-0.02207219221247678,0.0744383493777088,-0.005380868633157983,,,,,-0.04757744127495609,,-0.010246089548278945,,,0.021791525348644952,,0.05697172308842475,0.06293291164935227,
IL36G,,,,,,,,,,,,,,-0.002676922265293334,,,,,,,,,,
RTN4,-0.0337408637798453,0.07258634171115909,0.010949605171283834,0.004989435912930815,-0.04031856733174936,0.0035651650172384215,0.040068131874482944,-0.08596731914599362,-0.13735350236640265,-0.0274848812804416,-0.01668260010227847,0.020157328936458635,-0.07459262220736987,0.0362789949757095,0.038789747640333036,0.08686121059245121,-0.08373252528401985,-0.05015426634514186,-0.03507131487142157,0.007606601657778778,0.09053690903682429,-0.003213377924563082,-0.09299605776181068,-0.07958257539320274
HEBP1,-0.019974177874463345,0.06305974589480534,0.03689022781312951,0.03406502274792792,-0.0220713459268069,0.03824677070733396,-0.01877420978090607,0.013609210310662779,0.052432644323504564,-0.033390591947386396,0.03852017679513097,0.0008920322391715236,0.010148336819804347,0.03327557686541942,0.04127132553092092,-0.036441795133251416,-0.020163730459759388,0.07496935832791717,0.0025701156753116503,-0.041007518095919286,0.03852443350436426,0.015672827079978184,0.03753438830071746,0.038452767376382424
WNT7B,-0.03331727757460873,-0.05375704324710611,-0.03524795719592635,0.039971807527081196,-0.014618201018796045,0.021397027906942732,0.09750994668015825,0.018799777227370015,-0.04732816206056683,-0.010669551409266086,-0.02107366191597285,,-0.006930493696338314,-0.02982997226613532,0.005954686614469744,-0.04127150129152854,,0.019473770743810234,0.09383837829996708,-0.0009196333004173557,0.06894031363975374,0.07389184299773931,0.06973166377763024,-0.04503263102689978
PTMA,0.03585444862470304,-0.01532510640784433,-0.05328776781966856,0.006127791881394329,0.007598460020099074,0.03952951101263014,0.019696479664906626,0.12544526129236747,-0.11542577855414769,0.013678578250608637,0.051221149246281863,0.07162951428783965,0.06303383288751803,0.0005831135932774213,0.08139451865989507,0.01089121762430193,0.015355307196550583,-0.012030450110652784,-0.024660038126236915,0.01506185433623827,-0.006509104014434587,-0.020145905528653734,0.03656110106385238,-0.03224920672952633
FASLG,0.0276377419774421,,,,,,,,,,,,,,,,,,,,,0.003356481647606941,,
