,UKF243,UKF251,UKF255,UKF259,UKF260,UKF296,UKF304,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,0.03668851279048556,
BMP1,0.008887728785557334,-0.030745110128864193,0.08891183221855896,-0.009339112865053675,0.09899245874590848,0.028613040503792594,0.21714098620475172,0.21833023727963521,-0.009383899763085601,0.07035986597392045,0.09061805904416827,0.18917266874631603,0.15971805376049134,0.13420040904307143
NDP,0.07939345028313619,-0.03414913962061318,0.08965012863901323,0.02888010670175419,-0.02021412597952203,-0.017322216312619994,-0.004830150207066867,0.10066231552154956,-0.08469401937410874,0.02310437751796534,0.07983303513181206,-0.0877658714603854,-0.055489465025240936,-2.5684527985964692e-05
TNFSF18,0.030588417006327643,0.048324491829243456,,,,,,,,,,,0.026335908492967623,0.07566548348929611
RTN4,-0.0992830292930251,-0.027972039468292426,0.05982907672756911,-0.005106975590273769,0.030633394829900313,0.00800942510297035,-0.19000263390467717,-0.10411396898490008,-0.08849390945782988,-0.05743724978495963,-0.032031986873393606,-0.08965301759797033,-0.05374671372725363,-0.037504222422070445
HEBP1,0.01928039775473587,-0.04639987933850982,0.03618308543001999,0.0077825774350054585,0.003297758584861896,-0.027291087877472822,0.08949702436686285,0.03333627715230309,0.09608518265602818,0.014973172989282482,0.05954134299780501,-0.008138009175560705,0.037321374759788535,0.00796099439801698
WNT7B,-0.03359983002816789,-0.019778704879786408,0.04064530107728105,0.06668270662976279,-0.06360989602900624,-0.011246854873331763,,0.06856407667357839,0.016063911234126208,-0.03394281360411727,-0.019944715310091586,-0.022804097729041507,0.00521338654726678,0.01906860210530424
PTMA,-0.051240456707660476,0.0013379169224387662,-0.05522075380246985,0.02692465475631898,-0.009017047513436507,0.06162045316906976,0.2571485999509654,0.32384708329613476,0.04431767510205099,0.0033427739421211847,-0.0891335367310269,0.04687889407796552,0.204760615858671,0.06790456304447569
FASLG,,,,,,,,,,,,,0.07243521016384522,
CEACAM1,,0.03351596907934764,,0.02755904427714604,-0.046970215160959033,,,,-0.04382956012964093,-0.057670403645463865,0.04558270110422858,-0.04215780230476116,0.04460434778145237,
PDAP1,0.04965732559545616,-0.020888311487175473,-0.007694150808574161,0.047430640127108466,-0.0264005958662138,-0.001823303240760836,0.013213120174563223,0.20201630986469096,0.042650019702741064,0.025334808945347745,-0.010682572171345814,-0.025068382673203122,-0.04730588324670268,-0.17129919612712904
QDPR,0.04306417126862625,-0.03556347975431362,-0.010065499499919172,0.012559208447400305,-0.08674434555532302,0.03704820729817162,0.049854189307226966,0.1953150507124398,0.06831492918985699,0.01809356870658782,0.04458978292675959,-0.04272559306372837,-0.016705642146591027,-0.03231296306246234
POMC,0.01042425449970548,-0.007732214315808758,,0.002677376518199542,-0.013927161330503661,-0.011893770545246951,0.01631815379966427,0.03582808913371671,0.01513314721650041,0.09761377902455619,0.025856750985847245,-0.06674791113829794,0.06777738011165418,0.11446865622333331
CCL18,-0.039179111898390996,,,,,,0.07438927342269179,0.23124347827912325,-0.037581556407404584,0.07842713349093745,0.09497466435480917,0.12102677103755814,,
CCL17,,,,-0.022722726592648998,,-0.01392045352532407,,,,0.004372229571915188,-0.01030821838961261,,-0.03912305195935775,
VEGFD,-0.044143407652408116,-0.003278651154008086,,-0.013739830711302671,0.03847712097476422,-0.01021082100679344,0.03565816196397004,0.08664684659544156,0.15833711617791946,,-0.0033265427127497434,,,
TNFSF13,,,,0.05754605431300112,,,,,,0.04002146584138462,0.024173997821613426,0.08219330073941769,-0.014591605410615015,0.05379221863492642
WNT5A,-0.021181812389619935,0.008472446461111111,0.056951119800128604,-0.015450250771578142,-0.011522810161732405,-0.025204307193823338,0.03812623807468585,0.09345752272450518,-0.09089364970657007,-0.045352786786243104,0.08500738160311454,0.03961562572042153,0.1796828821790367,0.042101408870101685
CXCL8,-0.11577586944822679,-0.03137927344240074,-0.04994165811622205,0.06624744302212282,0.09021111860229444,0.0489308561356039,0.2288605083323734,0.04038199574992154,-0.010298395429965539,-0.112223174759301,-0.05308086049914467,0.06622990750883478,0.08137405980050844,0.08476503874308607
