,MGH258,UKF248,UKF251,UKF259,UKF260,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.018219039638952696,-0.0296916170588765,
BMP1,-0.04068282710407489,-0.04358975061366137,0.0794292513607409,-0.00846555170124713,0.03144367391639283,0.022698780645794718,-0.0044385920225089815,-0.01965064411838227,0.018765424695240368,0.1651055097766241,-0.02344457197083968
NDP,-0.07618799144762903,0.0738275727995909,0.04456258869365686,0.008145220786314775,0.019919858279362324,-0.029786619292636447,0.02147019141935661,-0.060303937189685436,0.07337994192602287,-0.027997569812869168,0.023511868549135655
TNFSF18,0.02927769450458916,-0.03346924207686808,-0.010679110329591892,,,,,,0.08591492761162699,0.08107989629391418,0.06294653338640742
RTN4,0.015864695376074725,0.05424060280123634,0.0180167551424053,-0.056072827311642745,0.03190926470447318,0.004697353881087415,-0.04021852824039861,0.05962269407878363,0.04190132269926646,-0.041142016507604746,-0.032929343613103686
HEBP1,-0.002475646951115596,0.00443198266803198,0.017553828806429014,0.0006163238058317394,-0.036794785199792825,0.06764101088421323,-0.04723557849546482,0.026896197355103367,-0.0682617289008275,0.042552097758980646,-0.008288469826375367
WNT7B,-0.022933610561462668,0.019083971506486733,-0.019754887969867994,0.0034606713124262587,-0.031419642521090495,-0.03318916733166083,0.12783222864411084,0.020724964278499326,-0.025834582302733628,0.03908793020619291,0.04641795293705226
PTMA,-0.05272151512728412,-0.05190833067361407,0.0314919515502587,-0.02213735237073919,0.01377012540027925,-0.024165311310449467,0.026945332737284864,-0.04979547534549089,0.0330874022968182,0.12156024741896232,-0.023525552635308974
FASLG,-0.02293361704473563,,,,,,,,,-0.02575152934572206,
CEACAM1,0.07091556740642287,-0.021302255334017646,-0.015160688340370213,0.04337928909585427,0.025055551469990594,0.06850254968124238,-0.01764416079422707,-0.015399748134025506,-0.026997794034973467,-0.024608015808687152,
PDAP1,-0.014646709610588197,0.05859447335179063,0.06853831663589889,0.03299183629634998,0.06167088817667745,0.05164619811296226,0.004312913693690518,0.011609500894704625,0.05885308500245652,-0.05661849198230632,-0.08062873929397898
QDPR,0.058570687372300534,0.002603338531385507,-0.008020564383439758,-0.07669725655430189,0.002666063304613095,-0.013189895321050171,0.03675538901386244,-0.006669390331673513,0.018051629379843084,-0.030938116201110026,-0.0280191136861477
POMC,0.004246982690709033,-0.0077983693939260145,-0.002490124458008098,0.06140969528510879,0.03075558454486098,0.0361113756702992,0.06536484824185111,0.0569878310270829,-0.05839071525935154,0.07564228317548466,0.1106440759440124
CCL18,,0.050872918107244314,,,,-0.021103574374215894,0.06807840154644554,0.02630710606113084,,,
CCL17,,,,0.13160670486435638,,,-0.012517678082116292,-0.02223050321893576,-0.024020751340786406,-0.023340868949934278,
VEGFD,,0.08118768572051237,-0.006166847111845261,-0.011494282377602307,0.006668063836940297,,,0.010572739980050545,0.05425510056754017,,
TNFSF13,,-0.02006054359948941,,0.08310298204274964,,,-0.024019544055487622,-0.02416379696225877,-0.025759149374717034,0.15854978614664644,0.012778661346571393
WNT5A,0.01740286274770598,0.042382931800345934,-0.009878970262265075,0.020144649682822757,-0.015604021163496467,0.09706835386901558,-0.006524406838300892,-0.007410252733701312,0.007790693911748129,0.06485435881007061,0.041818700414735004
CXCL8,,-0.01496346776511991,-0.020332305918446907,-0.029945915934899096,0.02371798969406481,0.0032771134383134245,-0.03500358615278338,-0.09890076056704908,0.026438269513024432,0.049654321403896605,0.019427273868517666
GRN,0.056531545055904214,0.019587278759408695,-0.015167197838813953,-0.033329271340090186,-0.03550626812121887,-0.047086777470196295,0.0063441530778496555,-0.0056911123799467354,-0.06089693416489936,0.0791224825682204,0.010414677090848666
