,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,-0.0027019441298945126,,,,,,
BMP1,-0.03810957394459624,0.027408083194225268,0.0006803567685625496,-0.024027644137166026,0.022350021364789942,0.01875589388350848,0.05355758011837695,-0.012053942872523721,0.008961488233303486,0.08149298944090291,0.05461054654543069,0.024541297443441634
NDP,-0.05775766197104452,0.024780230307759187,-0.018779755024503686,0.04080190765414265,-0.06121191787069654,0.0751819494726378,0.004997836270795463,-0.010323939349883711,-0.03469073146495451,0.02374727858448767,0.02776609817775319,-0.035938527086938905
TNFSF18,-0.02427898986215918,0.004245199533982946,-0.016393775912550566,,,0.039639345869620146,,,,,,
IL36G,,,,,,,,,-0.02108121345986875,,,
RTN4,-0.04160881919203046,0.012850073601819905,0.07613798698749165,0.04970208575188322,-0.1078236917724048,0.005052526266566771,-0.0640172453040013,-0.06719406912956763,-0.03682615228714487,-0.015295541777331077,-0.0510767655594352,-0.021242783567799354
HEBP1,-0.013852583224758774,0.01134926560937806,0.012816998148637022,-0.013511213291702101,-0.020482839444396266,0.014468244911862957,-0.04007663456087158,0.008016490342240317,0.03378142394839236,0.04444408061875147,0.05597799304722935,-0.04187754823476132
WNT7B,-0.021389029629453514,0.011879553938010101,-0.022339492349569983,0.08795077428566254,-0.06264852939575484,0.008039492363392693,,0.013729370607422825,-0.008310323587490986,-0.035085569755542056,0.027735846834413137,-0.018838793300507337
PTMA,0.06383054204231384,0.0827607214055776,-0.08178686848534868,-0.07262486720786657,0.01103628287535029,0.021194279721104797,-0.006256397412638596,-0.033283544670127875,0.0639360165551413,-0.05101309377168912,-0.015486776993453494,-0.03375747084428407
FASLG,0.0008356561369889966,,,,,,,,,,,
CEACAM1,-0.02969886322638338,0.037513067956786335,-0.01714421674830578,-0.01403774923001909,-0.02629979299988851,-0.005444526115673,,,,0.04717456671657063,-0.02111203573411512,-0.012503581099313267
