,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.016179714576711576,,,,,,,,,-0.032218805923788986,,0.012582042068688336,,
BMP1,-0.030620531259667527,0.023020062488325804,0.04151018310143015,-0.052287433754353366,0.017682810771368317,0.034385809593364756,0.11780259236869355,0.040507931878752915,0.05523689016250446,0.0894634735415037,-0.04142353011059557,0.0037699321924193605,-0.02937710687352794,-0.032302419558464676,0.019609667073494718,0.04518608659661635,-0.037393869804178206,0.007548463391610177,0.06301292275160328,0.027282676604380354
NDP,-0.002675872104741579,-0.0840482908953366,0.10812168893436452,-0.03769674088220404,0.022666821676161252,0.03912535357155619,0.004854702013473115,-0.0557738581657212,0.0005465839197749396,0.030009117197693228,0.04754412480852122,0.009708448720584689,-0.03373201760392617,0.0374141713335531,0.017622414194471102,0.0970571057048229,0.05714563777445032,0.03171617012654772,-0.035864269487705824,0.08881353497133343
TNFSF18,0.03824333749174442,0.012110704911483836,,,,-0.012763184040397293,-0.024026390418074667,-0.016091835037603374,,,,0.02273844168117898,,,,0.12555649713787592,,-0.009300107335035477,0.03260417568710401,
IL36G,,,,,,,,,,-0.005923421154139893,,,,,,,,,,
RTN4,0.049446446868807864,0.01016372667361007,-0.03264593694632407,-0.009946969169952835,0.055535577768290365,0.007925577833439336,-0.11010530215180757,-0.02985234287773735,0.04835553745636786,-0.11880862849434234,0.024034328191806897,0.05504910212893291,-0.04741805180826391,0.03136411734636008,-0.07747373839243162,-0.09695664767518793,0.058529500551021026,-0.0026700073224436125,-0.0602776420322473,0.0838298949767365
HEBP1,0.09449010376175197,0.040111567054084744,0.023552671836038975,-0.0209849371518744,-0.0192061376761156,-0.016965629135486323,0.054151414407838244,0.013924029670975316,-0.05600381162337127,0.01601414419100598,0.11110963687540684,0.02401510288184912,0.0317603383914943,-0.011862711116859565,-0.017512728660095258,-0.008262999553309615,0.04732177124592985,0.006604592658433516,0.006642098878670769,-0.017005744622512798
WNT7B,-0.038270341385576966,-0.012076751049076143,0.029129390102661582,0.08369458955543738,0.007270301996951619,-0.019950701217055805,-0.043978435838564756,0.05616417670433997,-0.01108347965141775,-0.042765298004554954,-0.039128937086033384,,-0.03274973232369459,0.04721816855961452,0.0361696093842293,-0.061262032775776486,0.046158287436470984,0.017384329466136852,0.06575422589863585,0.14195309726228636
PTMA,0.01716768407090584,-0.07967861925384712,0.06390010186844232,0.0203951648589302,-0.05142948591554727,0.05397778445477257,-0.07654962016574315,0.011098495477924172,-0.02405147573593752,0.15177078553934328,-0.05975310520076752,-0.01451904930929204,-0.007326489396610522,-0.003444048972330717,-0.03434901035557912,-0.13360981914715658,0.10702002726683671,-0.021062346917093168,0.008951335018356453,-0.04319564844720021
FASLG,,,,,,,,,,,,,,,,,,-0.014876855558031128,,
