,UKF259,UKF296,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,-0.018186170135250895
BMP1,-0.027258631957143876,0.03352782733594367,0.11645322694758739,-0.014411437060752201,0.038312506737469214
NDP,-0.005873067683051984,0.03135739640495281,-0.03522460457796492,-0.002657822566047791,0.026325916960734545
TNFSF18,,,0.0216629039407308,,-0.030676817664692005
RTN4,-0.006249646667981111,-0.017620787516909927,0.10523918520300164,-0.03437443599583689,0.007567043092526866
HEBP1,0.01771470653487177,-0.05530537119572944,-0.01897086320760269,0.007258874865178212,-0.034476345879962636
WNT7B,0.046371102505685276,-0.011246855396774986,,-0.034870368884340766,-0.027426501571002588
PTMA,0.024010671882951234,-0.04385575371747145,0.005269062080067009,-0.04404722069819528,0.005926070813151371
FASLG,,,,,0.010112343033650413
CEACAM1,-0.025112435852723904,,-0.038344907567011845,0.07982923065617456,-0.021945616901457816
PDAP1,-0.05523759638076277,-0.024234180603764286,-0.0032138505857494267,-0.0244835559429084,-0.00878564952935096
QDPR,-0.005537272334728587,-0.018223650628763702,-0.0012465498142051922,0.04301071103415242,-0.021967658343324828
POMC,-0.023385719166064283,-0.03024957849072425,-0.04456883697348325,0.14110544418534318,0.007731557335280301
CCL18,,,,0.016779929320538886,
CCL17,-0.014555478421428687,-0.013920454173200043,,-0.024386207502383635,-0.01429632522157288
VEGFD,0.01869392157018694,-0.010210821482018302,0.04215409445808956,0.030459062716426247,
TNFSF13,-0.010040043253875223,,,-0.02650697381718197,-0.023294668682771576
WNT5A,-0.012926452989122022,0.049994059077713995,0.020210904891282855,0.03273998870200488,0.054809220107224596
CXCL8,0.06559594817728649,-0.00950876094533376,0.08382759928141208,-0.09631799611397523,-0.008021751823752345
GRN,-0.03927243697921178,0.01009832365785932,0.06804763205221787,0.05841801624466055,0.03420636715598321
MIA,0.027326665419632835,-0.011612659056814467,0.05823018867928533,0.044804341687751166,-0.07015145302824724
COL4A4,-0.03508066867995072,-0.019508343691309497,0.11980556191569872,-0.02704844691792195,0.01832175934559138
TAC1,-0.019695946971421015,0.05207998246862653,,,0.1393036633577798
RARRES2,0.02403170980546048,-0.025192575504450178,0.03173326457886328,-0.03660125590873766,-0.01426617568905777
FGF7,-0.0029578622165620564,0.0481685038704067,0.011185666318849726,-0.02248398619606915,-0.024974816985802003
EFNA2,,,,-0.01605573277530622,
HBEGF,0.04473320392035789,-0.026222368606009013,0.012737228605421546,-0.036222299843417995,0.049375043763349925
CSF3,0.05063552400726679,,,-0.0758740159285508,-0.015051824989842035
PI3,0.000182682340836886,,,-0.11407316960388986,-0.0327026152242916
PCSK1N,0.04386581176872337,0.003981862262650088,0.09422505623885158,0.019427471816831653,-0.015208785192651649
NTS,,-0.03859313030501552,,-0.019560863595887126,-0.022289700324775057
SFRP1,-0.012700217544198802,0.006538846645679226,-0.03034805269994148,0.0886070601051919,-0.02177174415888753
CXCL13,,,,-0.04125175450834775,
MICA,0.020245764299769556,-0.03329725499718604,-0.05234901655677925,0.07288015393314377,0.017497882716191245
TG,-0.0137055468795501,-0.010074172233886458,-0.021834139129535392,0.06346435748447883,0.1657936389085249
ADA,-0.04288230552045306,0.01868741472642823,-0.04313922071840037,0.042055373324588,0.03805150357070912
LAMC3,-0.00016225410818809715,-0.02217392986329484,0.023241870527615817,0.0851602401719521,0.06776698712761928
CCL7,-0.009909088496160819,,,,-0.015772853545361062
NGF,0.029821761951850503,,0.07982135075260495,0.009866792483571122,-0.00034583306902895614
TNFSF15,-0.011034254687785168,,-0.006782731904885263,,0.031334426280983596
