,MGH258,UKF243,UKF251,UKF259,UKF269,UKF275
IGFL3,,,,,-0.013231780592814936,
BMP1,-0.029981245717571787,0.05928416100053988,-0.029953914677794992,-0.011165493454560525,0.09288633440547675,0.043696936839084086
NDP,0.04333827042012185,0.02687543558700768,0.029289073543521314,-0.037671678413518594,0.0015530806170688247,-0.07710177093443936
TNFSF18,-0.020895692950133347,0.08341553358476225,0.0760648409691164,,0.06115373286698564,-0.010492886197030175
RTN4,-0.05501743793999697,-0.03315135070977725,0.021176180673422074,0.03059420580696619,-0.1030276667236143,0.026703028851141043
HEBP1,-0.04149294310820165,0.07095007159091159,0.06669927733070534,-0.015613659738734985,-0.0056142322504057094,-0.05840970380048954
WNT7B,-0.018408451017764785,0.04512717638966635,-0.01680713812969923,0.056877174935585605,-0.05476593121328174,0.03552361620047375
PTMA,0.010344543072030504,-0.05186026145588647,0.04228091925941546,0.0038052112734917377,-0.03993296352523905,0.07512311194936325
FASLG,-0.01840845622178673,,,,,
CEACAM1,-0.007368878063458099,,-0.012898467633255093,-0.006312368154557357,0.050659483090639966,0.017756290942240453
PDAP1,-0.01764462069990274,0.07388305055702048,0.0011058176729871279,-0.005139617648177166,0.13559005231498103,0.06253562664510966
QDPR,-0.08730946215498932,0.025556946343027805,0.032501766291719504,0.015799065627812726,-0.0863465206022694,-0.03806133116357082
POMC,-0.04333231391491972,0.15026983806008504,-0.022918519129263355,-0.031041468056027675,-0.009596261596183138,-0.01217511538513887
CCL18,,-0.02925182179441565,,,,
CCL17,,,,-0.01932048423443968,,-0.01308667198988933
VEGFD,,-0.014647759675802986,-0.01847446707325279,0.07543294995266339,0.048846185582828786,-0.013942742119281272
TNFSF13,,,,-0.01332683761971108,,
WNT5A,0.03030443560407311,0.02260205849175989,-0.026540317291646548,0.03240847696287808,0.03661694802629256,0.02714022775628635
CXCL8,,-0.10725487828007325,0.02133284031563959,0.041801410808271884,0.021569334562169987,0.01809859780184389
GRN,-0.04848502439175117,0.007652422117785801,-0.01194500097293463,0.06164817661123367,0.05105809035375263,-0.010195080599863696
MIA,0.014429727255108304,0.004747814685776635,0.1209734511627983,0.017520140474306726,0.10811806730561575,0.030979714002104447
COL4A4,-0.021319235363271738,0.10980574723848877,-0.027630196602348858,0.007999532454956116,-0.013038937643093175,0.0064785259716408404
TAC1,0.032477803423497764,-0.027718317353871088,-0.04501084575026742,0.016616193704587886,-0.04935161811811379,-0.0025486164846987317
RARRES2,0.038420819781512676,-0.04966372296074286,0.03410727607070635,-0.010364631866868413,0.07323351798706598,-0.001336192926068288
FGF7,0.007635690721179468,0.0839426823562076,-0.020851852167669545,0.017373485197394678,0.02628005924316052,0.05472634566056963
HBEGF,0.017731765016150213,-0.00040492681685407446,-0.05267687055787694,0.049029384601599446,-0.004682488352529274,0.06222384484255219
CSF3,,-0.03317820758605066,,0.03957943307532227,-0.0137949450580075,
PI3,,-0.039304534452617064,,0.04294923932342391,0.009216032457016902,
PCSK1N,0.08849600130375916,0.028600706568451456,-0.016973386506852196,-0.03817931891088224,-0.012661209451854477,-0.009698286283087722
NTS,,,,,0.07373548013231247,-0.015608264120363747
SFRP1,-0.026784754223891236,0.07270657130575078,-0.01723576064900447,-0.01685786930063426,-0.04975921651391201,-0.009294513684316644
CXCL13,,,-0.031189601338219863,,,
MICA,-0.016748268856652232,-0.030959956161233745,0.003201756426358458,0.04512175141228635,0.02222172335314179,-0.03744874400359255
TG,-0.021319230558899963,-0.02644832707891347,-0.01753931714243783,0.01360748039543801,0.0764492916378782,-0.013184326784429217
ADA,-0.020353628551542963,0.019843520544692413,-0.005496187021004079,0.010144153176936671,0.055225431161213055,-0.0021367114870664058
LAMC3,-0.010264153578068614,-0.058618535884047716,0.03344448751752253,1.3223392135804966e-05,0.08084811832859366,-0.003993200891582635
CCL7,,,,-0.013153012393319265,,
NGF,,0.010738738388397945,,0.05701364197567423,,
TNFSF15,,0.04864822010872845,,-0.014646522605556522,,
HMGB1,-0.06709009566304057,0.032160618677846836,0.08695502995792125,0.0026263383585104,0.10063300795529842,0.02798984925493402
ITGB3BP,0.04631487841412405,0.0024289449966650644,-0.022432716015653057,0.00941664394631708,0.10237404111556694,0.01643628196909652
AANAT,,-0.017380327370106793,,-0.013326839042059094,-0.012443413760030126,-0.011856742126682751
RELN,-0.017674207352015966,0.037840945321284895,-0.033142984243872645,0.07818749409064861,-0.026058750874168247,-0.026104718793904514
IL15,-0.038671870174662636,0.03606081443694091,0.09665739810568533,-0.04625706179304461,0.15343304462411647,0.08539859315621978
UTS2,,,,,0.020139162310585042,
BSG,0.04053401371997222,0.018433137336592256,-0.005866297359794615,0.028513413812782065,0.015203906626657352,0.044699145797905834
ADAMTS3,-0.004615255077432816,-0.04469633101641558,0.012155410081767832,0.07189749452903017,0.10919493572974984,-0.015043685000560369
CD34,0.021001883554970117,-0.02104059851160208,-0.003352317778346032,0.0019235737100424695,0.0226898528287407,-0.02555246481081667
CCL23,,,,,-0.014158629596989929,
PLAT,-0.03204006041440989,0.004876953444224489,0.04934622355919865,-0.04300641306945009,0.08529974343920266,0.0007559130711313743
LTA,,,-0.012898468956868907,-0.016857868511996638,,0.012536730092420319
